"ple0020","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","general elemantary","Urban Area","1192","0.982166528154002","0.974697141315168","0.989635914992836","2"
"No","2009","vocational + Abi","Urban Area","746","1","1","1","2"
"No","2009","higher education","Urban Area","2848","0.997729536551833","0.995982761412243","0.999476311691423","2"
"No","2009","in school","Urban Area","219","1","1","1","2"
"No","2009","in school","Rural Area","94","1","1","1","2"
"No","2009","general elemantary","Rural Area","601","0.993555666561047","0.987184823850829","0.999926509271264","2"
"No","2009","vocational + Abi","Rural Area","256","0.994743025015774","0.985901952843378","1.00358409718817","2"
"No","2009","higher education","Rural Area","1197","1","1","1","2"
"No","2009","inadequately","Urban Area","125","0.97877474114453","0.953607784974573","1.00394169731449","2"
"No","2009","inadequately","Rural Area","42","0.935316581293683","0.861799261986371","1.00883390060099","2"
"No","2009","middle vocational","Urban Area","5667","0.997558507179421","0.996275081167149","0.998841933191693","2"
"No","2009","middle vocational","Rural Area","3423","0.998657592830132","0.997432445923856","0.999882739736408","2"
"No","2009","higher vocational","Urban Area","821","1","1","1","2"
"No","2009","higher vocational","Rural Area","515","0.998170612347249","0.994487134341881","1.00185409035262","2"
"Yes","2009","in school","Urban Area","","","","","1"
"Yes","2009","in school","Rural Area","","","","","1"
"Yes","2009","inadequately","Urban Area","1","","","","1"
"Yes","2009","inadequately","Rural Area","1","","","","1"
"Yes","2009","general elemantary","Urban Area","14","","","","1"
"Yes","2009","general elemantary","Rural Area","5","","","","1"
"Yes","2009","middle vocational","Urban Area","13","","","","1"
"Yes","2009","middle vocational","Rural Area","8","","","","1"
"Yes","2009","vocational + Abi","Urban Area","","","","","1"
"Yes","2009","vocational + Abi","Rural Area","1","","","","1"
"Yes","2009","higher vocational","Urban Area","","","","","1"
"Yes","2009","higher vocational","Rural Area","2","","","","1"
"Yes","2009","higher education","Urban Area","4","","","","1"
"Yes","2009","higher education","Rural Area","","","","","1"
"No","2010","in school","Urban Area","","","","","2"
"No","2010","in school","Rural Area","","","","","2"
"No","2010","general elemantary","Urban Area","","","","","2"
"No","2010","general elemantary","Rural Area","","","","","2"
"No","2010","vocational + Abi","Urban Area","","","","","2"
"No","2010","vocational + Abi","Rural Area","","","","","2"
"No","2010","higher education","Urban Area","","","","","2"
"No","2010","higher education","Rural Area","","","","","2"
"No","2010","inadequately","Urban Area","","","","","2"
"No","2010","inadequately","Rural Area","","","","","2"
"No","2010","middle vocational","Urban Area","","","","","2"
"No","2010","middle vocational","Rural Area","","","","","2"
"No","2010","higher vocational","Urban Area","","","","","2"
"No","2010","higher vocational","Rural Area","","","","","2"
"Yes","2010","in school","Urban Area","","","","","1"
"Yes","2010","in school","Rural Area","","","","","1"
