"ple0020","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2009","general elemantary","Male","561","1","1","1","2"
"No","2009","vocational + Abi","Male","393","1","1","1","2"
"No","2009","higher education","Male","2189","0.998441583312188","0.996790264451358","1.00009290217302","2"
"No","2009","in school","Male","169","1","1","1","2"
"No","2009","in school","Female","144","1","1","1","2"
"No","2009","general elemantary","Female","1232","0.979193948888744","0.971284456231929","0.98710344154556","2"
"No","2009","vocational + Abi","Female","609","0.997857132662824","0.994187564163063","1.00152670116259","2"
"No","2009","higher education","Female","1856","0.99811580139408","0.996143397080059","1.0000882057081","2"
"No","2009","inadequately","Male","69","0.966381533672978","0.924157246088542","1.00860582125741","2"
"No","2009","inadequately","Female","98","0.969603361024121","0.935785951830942","1.0034207702173","2"
"No","2009","middle vocational","Male","4288","0.998598565371782","0.997479775830066","0.999717354913498","2"
"No","2009","middle vocational","Female","4802","0.997328873617315","0.995871163169289","0.998786584065341","2"
"No","2009","higher vocational","Male","785","0.998926990549959","0.996639657674206","1.00121432342571","2"
"No","2009","higher vocational","Female","551","1","1","1","2"
"Yes","2009","in school","Male","","","","","1"
"Yes","2009","in school","Female","","","","","1"
"Yes","2009","inadequately","Male","1","","","","1"
"Yes","2009","inadequately","Female","1","","","","1"
"Yes","2009","general elemantary","Male","","","","","1"
"Yes","2009","general elemantary","Female","19","","","","1"
"Yes","2009","middle vocational","Male","7","","","","1"
"Yes","2009","middle vocational","Female","14","","","","1"
"Yes","2009","vocational + Abi","Male","","","","","1"
"Yes","2009","vocational + Abi","Female","1","","","","1"
"Yes","2009","higher vocational","Male","2","","","","1"
"Yes","2009","higher vocational","Female","","","","","1"
"Yes","2009","higher education","Male","3","","","","1"
"Yes","2009","higher education","Female","1","","","","1"
"No","2010","in school","Male","","","","","2"
"No","2010","in school","Female","","","","","2"
"No","2010","general elemantary","Male","","","","","2"
"No","2010","general elemantary","Female","","","","","2"
"No","2010","vocational + Abi","Male","","","","","2"
"No","2010","vocational + Abi","Female","","","","","2"
"No","2010","higher education","Male","","","","","2"
"No","2010","higher education","Female","","","","","2"
"No","2010","inadequately","Male","","","","","2"
"No","2010","inadequately","Female","","","","","2"
"No","2010","middle vocational","Male","","","","","2"
"No","2010","middle vocational","Female","","","","","2"
"No","2010","higher vocational","Male","","","","","2"
"No","2010","higher vocational","Female","","","","","2"
"Yes","2010","in school","Male","","","","","1"
"Yes","2010","in school","Female","","","","","1"
"Yes","2010","inadequately","Male","","","","","1"
"Yes","2010","inadequately","Female","","","","","1"
"Yes","2010","general elemantary","Male","","","","","1"
"Yes","2010","general elemantary","Female","","","","","1"
"Yes","2010","middle vocational","Male","","","","","1"
"Yes","2010","middle vocational","Female","","","","","1"
"Yes","2010","vocational + Abi","Male","","","","","1"
"Yes","2010","vocational + Abi","Female","","","","","1"
"Yes","2010","higher vocational","Male","","","","","1"
"Yes","2010","higher vocational","Female","","","","","1"
"Yes","2010","higher education","Male","","","","","1"
