"ple0020","year","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","43","0.00339242161690844","0.00248413827983243","0.00430070495398446"
"Yes","2009","direct migration background","7","","",""
"Yes","2009","indirect migration background","","","",""
"No","2009","no migration background","15700","0.996607578383092","0.995699295046016","0.997515861720168"
"No","2009","direct migration background","1661","0.993359578693173","0.989461944047532","0.997257213338814"
"No","2009","indirect migration background","715","1","1","1"
"Yes","2010","no migration background","","","",""
"Yes","2010","direct migration background","","","",""
"Yes","2010","indirect migration background","","","",""
"No","2010","no migration background","","","",""
"No","2010","direct migration background","","","",""
"No","2010","indirect migration background","","","",""
"Yes","2011","no migration background","55","0.00413383785400802","0.0031975810330864","0.00507009467492964"
"Yes","2011","direct migration background","9","","",""
"Yes","2011","indirect migration background","","","",""
"No","2011","no migration background","17986","0.995866162145992","0.99492990532507","0.996802418966914"
"No","2011","direct migration background","2011","0.993632028655916","0.990163176842409","0.997100880469423"
"No","2011","indirect migration background","799","1","1","1"
"Yes","2012","no migration background","","","",""
"Yes","2012","direct migration background","","","",""
"Yes","2012","indirect migration background","","","",""
"No","2012","no migration background","","","",""
"No","2012","direct migration background","","","",""
"No","2012","indirect migration background","","","",""
"Yes","2013","no migration background","57","0.00390667364807527","0.00295654017239616","0.00485680712375437"
"Yes","2013","direct migration background","10","","",""
"Yes","2013","indirect migration background","1","","",""
"No","2013","no migration background","16502","0.996093326351925","0.995143192876246","0.997043459827604"
"No","2013","direct migration background","1686","0.990286448670016","0.985618730728371","0.994954166611661"
"No","2013","indirect migration background","715","0.99909721634721","0.996897395580369","1.00129703711405"
"Yes","2014","no migration background","","","",""
"Yes","2014","direct migration background","","","",""
"Yes","2014","indirect migration background","","","",""
"No","2014","no migration background","","","",""
"No","2014","direct migration background","","","",""
"No","2014","indirect migration background","","","",""
"Yes","2015","no migration background","63","0.00465824018808465","0.00369548992136197","0.00562099045480734"
"Yes","2015","direct migration background","11","","",""
"Yes","2015","indirect migration background","1","","",""
"No","2015","no migration background","19153","0.995341759811915","0.994379009545193","0.996304510078638"
"No","2015","direct migration background","4310","0.995927472231152","0.99402857333875","0.997826371123553"
"No","2015","indirect migration background","1632","0.999841097281254","0.999229752576949","1.00045244198556"
"Yes","2016","no migration background","","","",""
"Yes","2016","direct migration background","","","",""
"Yes","2016","indirect migration background","","","",""
"No","2016","no migration background","","","",""
"No","2016","direct migration background","","","",""
"No","2016","indirect migration background","","","",""
"Yes","2017","no migration background","59","0.00442028945540557","0.00350862296905763","0.00533195594175351"
"Yes","2017","direct migration background","8","","",""
"Yes","2017","indirect migration background","2","","",""
"No","2017","no migration background","20281","0.995579710544594","0.994668044058247","0.996491377030942"
"No","2017","direct migration background","4660","0.997016986100321","0.99545253647156","0.998581435729081"
"No","2017","indirect migration background","1713","0.998961006066681","0.997436262524175","1.00048574960919"
"Yes","2018","no migration background","","","",""
"Yes","2018","direct migration background","","","",""
"Yes","2018","indirect migration background","","","",""
"No","2018","no migration background","","","",""
"No","2018","direct migration background","","","",""
"No","2018","indirect migration background","","","",""
"Yes","2019","no migration background","74","0.00407464888153332","0.00319855304091235","0.00495074472215429"
"Yes","2019","direct migration background","11","","",""
"Yes","2019","indirect migration background","2","","",""
"No","2019","no migration background","20236","0.995925351118467","0.995049255277846","0.996801446959088"
"No","2019","direct migration background","3848","0.997150980042485","0.995469317279557","0.998832642805414"
"No","2019","indirect migration background","1709","0.999427556983315","0.998294204822182","1.00056090914445"
