"ple0020","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","no migration background","2","","",""
"Yes","2009","Schleswig-Holstein","direct migration background","","","",""
"Yes","2009","Schleswig-Holstein","indirect migration background","","","",""
"Yes","2009","Hamburg","no migration background","","","",""
"Yes","2009","Hamburg","direct migration background","","","",""
"Yes","2009","Hamburg","indirect migration background","","","",""
"Yes","2009","Lower Saxony","no migration background","5","","",""
"Yes","2009","Lower Saxony","direct migration background","","","",""
"Yes","2009","Lower Saxony","indirect migration background","","","",""
"Yes","2009","Bremen","no migration background","","","",""
"Yes","2009","Bremen","direct migration background","","","",""
"Yes","2009","Bremen","indirect migration background","","","",""
"Yes","2009","North Rhine-Westphalia","no migration background","8","","",""
"Yes","2009","North Rhine-Westphalia","direct migration background","","","",""
"Yes","2009","North Rhine-Westphalia","indirect migration background","","","",""
"Yes","2009","Hesse","no migration background","3","","",""
"Yes","2009","Hesse","direct migration background","2","","",""
"Yes","2009","Hesse","indirect migration background","","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","no migration background","2","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","direct migration background","1","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Yes","2009","Baden-Württemberg","no migration background","7","","",""
"Yes","2009","Baden-Württemberg","direct migration background","2","","",""
"Yes","2009","Baden-Württemberg","indirect migration background","","","",""
"Yes","2009","Bavaria","no migration background","2","","",""
"Yes","2009","Bavaria","direct migration background","1","","",""
"Yes","2009","Bavaria","indirect migration background","","","",""
"Yes","2009","Berlin","no migration background","3","","",""
"Yes","2009","Berlin","direct migration background","","","",""
"Yes","2009","Berlin","indirect migration background","","","",""
"Yes","2009","Brandenburg","no migration background","3","","",""
"Yes","2009","Brandenburg","direct migration background","","","",""
"Yes","2009","Brandenburg","indirect migration background","","","",""
"Yes","2009","Mecklenburg-Western Pomerania","no migration background","1","","",""
"Yes","2009","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","2009","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2009","Saxony","no migration background","2","","",""
"Yes","2009","Saxony","direct migration background","","","",""
"Yes","2009","Saxony","indirect migration background","","","",""
"Yes","2009","Saxony-Anhalt","no migration background","2","","",""
"Yes","2009","Saxony-Anhalt","direct migration background","","","",""
"Yes","2009","Saxony-Anhalt","indirect migration background","","","",""
"Yes","2009","Thuringia","no migration background","3","","",""
"Yes","2009","Thuringia","direct migration background","1","","",""
"Yes","2009","Thuringia","indirect migration background","","","",""
"No","2009","Schleswig-Holstein","no migration background","460","0.995473952037236","0.989353244483577","1.00159465959089"
"No","2009","Schleswig-Holstein","direct migration background","45","1","1","1"
"No","2009","Schleswig-Holstein","indirect migration background","9","","",""
"No","2009","Hamburg","no migration background","250","1","1","1"
"No","2009","Hamburg","direct migration background","13","","",""
"No","2009","Hamburg","indirect migration background","8","","",""
"No","2009","Lower Saxony","no migration background","1465","0.997834261118034","0.995457849449162","1.00021067278691"
"No","2009","Lower Saxony","direct migration background","132","1","1","1"
"No","2009","Lower Saxony","indirect migration background","45","1","1","1"
"No","2009","Bremen","no migration background","113","1","1","1"
"No","2009","Bremen","direct migration background","5","","",""
"No","2009","Bremen","indirect migration background","2","","",""
"No","2009","North Rhine-Westphalia","no migration background","2993","0.996153765082341","0.993939160537654","0.998368369627027"
"No","2009","North Rhine-Westphalia","direct migration background","447","1","1","1"
"No","2009","North Rhine-Westphalia","indirect migration background","197","1","1","1"
"No","2009","Hesse","no migration background","1001","0.994979077343661","0.990607079143092","0.99935107554423"
"No","2009","Hesse","direct migration background","159","0.981954920723146","0.96139315883438","1.00251668261191"
"No","2009","Hesse","indirect migration background","61","1","1","1"
"No","2009","Rhineland-Palatinate,Saarland","no migration background","836","0.997902328285343","0.994804631816182","1.0010000247545"
"No","2009","Rhineland-Palatinate,Saarland","direct migration background","132","0.99373828497148","0.980332108530044","1.00714446141292"
"No","2009","Rhineland-Palatinate,Saarland","indirect migration background","56","1","1","1"
"No","2009","Baden-Württemberg","no migration background","1604","0.993391636613913","0.989435169787838","0.997348103439989"
"No","2009","Baden-Württemberg","direct migration background","350","0.988698737500274","0.977656114882608","0.999741360117939"
"No","2009","Baden-Württemberg","indirect migration background","155","1","1","1"
"No","2009","Bavaria","no migration background","2240","0.99897853636124","0.997656267345743","1.00030080537674"
"No","2009","Bavaria","direct migration background","261","0.991112727340961","0.979748413361567","1.00247704132036"
"No","2009","Bavaria","indirect migration background","124","1","1","1"
"No","2009","Berlin","no migration background","611","0.992932754524575","0.986306792959998","0.999558716089151"
"No","2009","Berlin","direct migration background","50","1","1","1"
"No","2009","Berlin","indirect migration background","22","","",""
"No","2009","Brandenburg","no migration background","767","0.993996121100708","0.988539660355754","0.999452581845661"
"No","2009","Brandenburg","direct migration background","13","","",""
"No","2009","Brandenburg","indirect migration background","12","","",""
"No","2009","Mecklenburg-Western Pomerania","no migration background","469","0.998283470892505","0.994541058105695","1.00202588367931"
"No","2009","Mecklenburg-Western Pomerania","direct migration background","5","","",""
"No","2009","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"No","2009","Saxony","no migration background","1339","0.998975988242267","0.997264146159934","1.0006878303246"
"No","2009","Saxony","direct migration background","24","","",""
"No","2009","Saxony","indirect migration background","9","","",""
"No","2009","Saxony-Anhalt","no migration background","751","0.995319029280523","0.990443747535648","1.0001943110254"
"No","2009","Saxony-Anhalt","direct migration background","13","","",""
"No","2009","Saxony-Anhalt","indirect migration background","6","","",""
"No","2009","Thuringia","no migration background","801","0.998517495669907","0.995858020797483","1.00117697054233"
"No","2009","Thuringia","direct migration background","12","","",""
"No","2009","Thuringia","indirect migration background","8","","",""
"Yes","2010","Schleswig-Holstein","no migration background","","","",""
"Yes","2010","Schleswig-Holstein","direct migration background","","","",""
"Yes","2010","Schleswig-Holstein","indirect migration background","","","",""
"Yes","2010","Hamburg","no migration background","","","",""
"Yes","2010","Hamburg","direct migration background","","","",""
"Yes","2010","Hamburg","indirect migration background","","","",""
"Yes","2010","Lower Saxony","no migration background","","","",""
"Yes","2010","Lower Saxony","direct migration background","","","",""
"Yes","2010","Lower Saxony","indirect migration background","","","",""
"Yes","2010","Bremen","no migration background","","","",""
"Yes","2010","Bremen","direct migration background","","","",""
"Yes","2010","Bremen","indirect migration background","","","",""
"Yes","2010","North Rhine-Westphalia","no migration background","","","",""
"Yes","2010","North Rhine-Westphalia","direct migration background","","","",""
"Yes","2010","North Rhine-Westphalia","indirect migration background","","","",""
"Yes","2010","Hesse","no migration background","","","",""
"Yes","2010","Hesse","direct migration background","","","",""
"Yes","2010","Hesse","indirect migration background","","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Yes","2010","Baden-Württemberg","no migration background","","","",""
"Yes","2010","Baden-Württemberg","direct migration background","","","",""
"Yes","2010","Baden-Württemberg","indirect migration background","","","",""
"Yes","2010","Bavaria","no migration background","","","",""
"Yes","2010","Bavaria","direct migration background","","","",""
"Yes","2010","Bavaria","indirect migration background","","","",""
"Yes","2010","Berlin","no migration background","","","",""
"Yes","2010","Berlin","direct migration background","","","",""
"Yes","2010","Berlin","indirect migration background","","","",""
"Yes","2010","Brandenburg","no migration background","","","",""
"Yes","2010","Brandenburg","direct migration background","","","",""
"Yes","2010","Brandenburg","indirect migration background","","","",""
"Yes","2010","Mecklenburg-Western Pomerania","no migration background","","","",""
"Yes","2010","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","2010","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2010","Saxony","no migration background","","","",""
"Yes","2010","Saxony","direct migration background","","","",""
"Yes","2010","Saxony","indirect migration background","","","",""
"Yes","2010","Saxony-Anhalt","no migration background","","","",""
"Yes","2010","Saxony-Anhalt","direct migration background","","","",""
"Yes","2010","Saxony-Anhalt","indirect migration background","","","",""
"Yes","2010","Thuringia","no migration background","","","",""
"Yes","2010","Thuringia","direct migration background","","","",""
"Yes","2010","Thuringia","indirect migration background","","","",""
"No","2010","Schleswig-Holstein","no migration background","","","",""
"No","2010","Schleswig-Holstein","direct migration background","","","",""
"No","2010","Schleswig-Holstein","indirect migration background","","","",""
"No","2010","Hamburg","no migration background","","","",""
"No","2010","Hamburg","direct migration background","","","",""
"No","2010","Hamburg","indirect migration background","","","",""
"No","2010","Lower Saxony","no migration background","","","",""
"No","2010","Lower Saxony","direct migration background","","","",""
"No","2010","Lower Saxony","indirect migration background","","","",""
"No","2010","Bremen","no migration background","","","",""
"No","2010","Bremen","direct migration background","","","",""
"No","2010","Bremen","indirect migration background","","","",""
"No","2010","North Rhine-Westphalia","no migration background","","","",""
"No","2010","North Rhine-Westphalia","direct migration background","","","",""
"No","2010","North Rhine-Westphalia","indirect migration background","","","",""
"No","2010","Hesse","no migration background","","","",""
"No","2010","Hesse","direct migration background","","","",""
"No","2010","Hesse","indirect migration background","","","",""
"No","2010","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","2010","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"No","2010","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"No","2010","Baden-Württemberg","no migration background","","","",""
"No","2010","Baden-Württemberg","direct migration background","","","",""
"No","2010","Baden-Württemberg","indirect migration background","","","",""
"No","2010","Bavaria","no migration background","","","",""
"No","2010","Bavaria","direct migration background","","","",""
"No","2010","Bavaria","indirect migration background","","","",""
"No","2010","Berlin","no migration background","","","",""
"No","2010","Berlin","direct migration background","","","",""
"No","2010","Berlin","indirect migration background","","","",""
"No","2010","Brandenburg","no migration background","","","",""
"No","2010","Brandenburg","direct migration background","","","",""
"No","2010","Brandenburg","indirect migration background","","","",""
"No","2010","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2010","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No","2010","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2010","Saxony","no migration background","","","",""
"No","2010","Saxony","direct migration background","","","",""
"No","2010","Saxony","indirect migration background","","","",""
"No","2010","Saxony-Anhalt","no migration background","","","",""
"No","2010","Saxony-Anhalt","direct migration background","","","",""
"No","2010","Saxony-Anhalt","indirect migration background","","","",""
"No","2010","Thuringia","no migration background","","","",""
"No","2010","Thuringia","direct migration background","","","",""
"No","2010","Thuringia","indirect migration background","","","",""
"Yes","2011","Schleswig-Holstein","no migration background","2","","",""
"Yes","2011","Schleswig-Holstein","direct migration background","","","",""
"Yes","2011","Schleswig-Holstein","indirect migration background","","","",""
"Yes","2011","Hamburg","no migration background","","","",""
"Yes","2011","Hamburg","direct migration background","","","",""
"Yes","2011","Hamburg","indirect migration background","","","",""
"Yes","2011","Lower Saxony","no migration background","4","","",""
"Yes","2011","Lower Saxony","direct migration background","","","",""
"Yes","2011","Lower Saxony","indirect migration background","","","",""
"Yes","2011","Bremen","no migration background","1","","",""
"Yes","2011","Bremen","direct migration background","","","",""
"Yes","2011","Bremen","indirect migration background","","","",""
"Yes","2011","North Rhine-Westphalia","no migration background","13","","",""
"Yes","2011","North Rhine-Westphalia","direct migration background","2","","",""
"Yes","2011","North Rhine-Westphalia","indirect migration background","","","",""
"Yes","2011","Hesse","no migration background","3","","",""
"Yes","2011","Hesse","direct migration background","2","","",""
"Yes","2011","Hesse","indirect migration background","","","",""
