"ple0020","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","66 and older","inadequately","43","1","1","1","2"
"No","2009","66 and older","vocational + Abi","96","0.990480784273326","0.971157282309466","1.00980428623719","2"
"No","2009","66 and older","higher vocational","318","0.997517176746614","0.99206454465435","1.00296980883888","2"
"No","2009","66 and older","middle vocational","2178","0.99377835461806","0.990489616313752","0.997067092922367","2"
"No","2009","66 and older","general elemantary","653","0.967560777622064","0.954135929627034","0.980985625617095","2"
"No","2009","35-65 y.","higher vocational","909","1","1","1","2"
"No","2009","35-65 y.","higher education","2619","1","1","1","2"
"No","2009","66 and older","higher education","886","0.992188334043162","0.986404418034304","0.997972250052019","2"
"No","2009","35-65 y.","middle vocational","5113","0.999010351276309","0.998148745996357","0.999871956556261","2"
"No","2009","35-65 y.","vocational + Abi","568","1","1","1","2"
"No","2009","66 and older","in school","","","","","2"
"No","2009","35-65 y.","in school","","","","","2"
"No","2009","35-65 y.","inadequately","83","0.933979303560288","0.881189833150595","0.98676877396998","2"
"No","2009","35-65 y.","general elemantary","587","0.993521337786444","0.987047626107881","0.999995049465008","2"
"No","2009","16-34 y.","higher vocational","109","1","1","1","2"
"No","2009","16-34 y.","higher education","540","1","1","1","2"
"No","2009","16-34 y.","general elemantary","553","1","1","1","2"
"No","2009","16-34 y.","middle vocational","1799","1","1","1","2"
"No","2009","16-34 y.","vocational + Abi","338","1","1","1","2"
"No","2009","16-34 y.","in school","313","1","1","1","2"
"No","2009","16-34 y.","inadequately","41","1","1","1","2"
"Yes","2009","16-34 y.","in school","","","","","1"
"Yes","2009","16-34 y.","inadequately","","","","","1"
"Yes","2009","16-34 y.","general elemantary","","","","","1"
"Yes","2009","16-34 y.","middle vocational","","","","","1"
"Yes","2009","16-34 y.","vocational + Abi","","","","","1"
"Yes","2009","16-34 y.","higher vocational","","","","","1"
"Yes","2009","16-34 y.","higher education","","","","","1"
"Yes","2009","35-65 y.","in school","","","","","1"
"Yes","2009","35-65 y.","inadequately","2","","","","1"
"Yes","2009","35-65 y.","general elemantary","3","","","","1"
"Yes","2009","35-65 y.","middle vocational","3","","","","1"
"Yes","2009","35-65 y.","vocational + Abi","","","","","1"
"Yes","2009","35-65 y.","higher vocational","","","","","1"
"Yes","2009","35-65 y.","higher education","","","","","1"
"Yes","2009","66 and older","in school","","","","","1"
"Yes","2009","66 and older","inadequately","","","","","1"
"Yes","2009","66 and older","general elemantary","16","","","","1"
"Yes","2009","66 and older","middle vocational","18","","","","1"
"Yes","2009","66 and older","vocational + Abi","1","","","","1"
"Yes","2009","66 and older","higher vocational","2","","","","1"
"Yes","2009","66 and older","higher education","4","","","","1"
"No","2010","66 and older","inadequately","","","","","2"
"No","2010","66 and older","vocational + Abi","","","","","2"
"No","2010","66 and older","general elemantary","","","","","2"
"No","2010","66 and older","middle vocational","","","","","2"
"No","2010","35-65 y.","middle vocational","","","","","2"
"No","2010","35-65 y.","vocational + Abi","","","","","2"
"No","2010","66 and older","higher vocational","","","","","2"
"No","2010","35-65 y.","higher vocational","","","","","2"
"No","2010","66 and older","higher education","","","","","2"
"No","2010","35-65 y.","higher education","","","","","2"
"No","2010","66 and older","in school","","","","","2"
"No","2010","16-34 y.","higher vocational","","","","","2"
"No","2010","16-34 y.","higher education","","","","","2"
"No","2010","35-65 y.","in school","","","","","2"
"No","2010","35-65 y.","inadequately","","","","","2"
"No","2010","35-65 y.","general elemantary","","","","","2"
"No","2010","16-34 y.","in school","","","","","2"
"No","2010","16-34 y.","inadequately","","","","","2"
"No","2010","16-34 y.","general elemantary","","","","","2"
"No","2010","16-34 y.","middle vocational","","","","","2"
"No","2010","16-34 y.","vocational + Abi","","","","","2"
"Yes","2010","35-65 y.","general elemantary","","","","","1"
"Yes","2010","35-65 y.","middle vocational","","","","","1"
"Yes","2010","35-65 y.","vocational + Abi","","","","","1"
"Yes","2010","35-65 y.","higher vocational","","","","","1"
"Yes","2010","16-34 y.","in school","","","","","1"
"Yes","2010","16-34 y.","inadequately","","","","","1"
"Yes","2010","16-34 y.","general elemantary","","","","","1"
"Yes","2010","16-34 y.","middle vocational","","","","","1"
"Yes","2010","16-34 y.","vocational + Abi","","","","","1"
"Yes","2010","16-34 y.","higher vocational","","","","","1"
"Yes","2010","16-34 y.","higher education","","","","","1"
"Yes","2010","35-65 y.","in school","","","","","1"
"Yes","2010","35-65 y.","inadequately","","","","","1"
"Yes","2010","35-65 y.","higher education","","","","","1"
"Yes","2010","66 and older","in school","","","","","1"
"Yes","2010","66 and older","inadequately","","","","","1"
"Yes","2010","66 and older","general elemantary","","","","","1"
"Yes","2010","66 and older","middle vocational","","","","","1"
"Yes","2010","66 and older","vocational + Abi","","","","","1"
"Yes","2010","66 and older","higher vocational","","","","","1"
