"ple0020","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2009","16-34 y.","1-pers.-HH","552","1","1","1","2"
"No","2009","16-34 y.","Couple + C. GT 16 ","1081","1","1","1","2"
"No","2009","35-65 y.","Couple + C. GT 16 ","1903","0.997427724456312","0.995152553258757","0.999702895653868","2"
"No","2009","16-34 y.","Single parent ","403","1","1","1","2"
"No","2009","16-34 y.","Couple + C. LE 16 ","759","1","1","1","2"
"No","2009","66 and older","1-pers.-HH","1161","0.983318693838056","0.976008088100931","0.990629299575181","2"
"No","2009","66 and older","(Married) couple without C. ","2702","0.995016823365548","0.992368130957869","0.997665515773228","2"
"No","2009","66 and older","Couple + C. LE 16 ","5","","","","2"
"No","2009","66 and older","Couple + C. GT 16 ","178","0.993278222180457","0.981341382201713","1.0052150621592","2"
"No","2009","66 and older","Couple + C. LE and GT 16","2","","","","2"
"No","2009","35-65 y.","Couple + C. LE and GT 16","806","0.999102471398611","0.997036423010166","1.00116851978706","2"
"No","2009","16-34 y.","(Married) couple without C. ","744","1","1","1","2"
"No","2009","66 and older","Single parent ","59","0.895592971166063","0.819477585364883","0.971708356967243","2"
"No","2009","16-34 y.","Couple + C. LE and GT 16","372","1","1","1","2"
"No","2009","35-65 y.","1-pers.-HH","1177","0.997513123086573","0.994670117960546","1.0003561282126","2"
"No","2009","35-65 y.","(Married) couple without C. ","3219","0.998474075253017","0.997126291310981","0.999821859195053","2"
"No","2009","35-65 y.","Single parent ","531","1","1","1","2"
"No","2009","35-65 y.","Couple + C. LE 16 ","2095","0.998097784752501","0.99623239826299","0.999963171242011","2"
"Yes","2009","16-34 y.","1-pers.-HH","","","","","1"
"Yes","2009","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","2009","16-34 y.","Single parent ","","","","","1"
"Yes","2009","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","2009","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","2009","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","2009","35-65 y.","1-pers.-HH","2","","","","1"
"Yes","2009","35-65 y.","(Married) couple without C. ","3","","","","1"
"Yes","2009","35-65 y.","Single parent ","","","","","1"
"Yes","2009","35-65 y.","Couple + C. LE 16 ","1","","","","1"
"Yes","2009","35-65 y.","Couple + C. GT 16 ","1","","","","1"
"Yes","2009","35-65 y.","Couple + C. LE and GT 16","1","","","","1"
"Yes","2009","66 and older","1-pers.-HH","18","","","","1"
"Yes","2009","66 and older","(Married) couple without C. ","13","","","","1"
"Yes","2009","66 and older","Single parent ","3","","","","1"
"Yes","2009","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","2009","66 and older","Couple + C. GT 16 ","2","","","","1"
"Yes","2009","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","2010","35-65 y.","Couple + C. GT 16 ","","","","","2"
"No","2010","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"No","2010","66 and older","1-pers.-HH","","","","","2"
"No","2010","66 and older","(Married) couple without C. ","","","","","2"
"No","2010","16-34 y.","1-pers.-HH","","","","","2"
"No","2010","16-34 y.","Single parent ","","","","","2"
"No","2010","16-34 y.","Couple + C. LE 16 ","","","","","2"
"No","2010","16-34 y.","Couple + C. GT 16 ","","","","","2"
"No","2010","66 and older","Single parent ","","","","","2"
"No","2010","66 and older","Couple + C. LE 16 ","","","","","2"
"No","2010","66 and older","Couple + C. GT 16 ","","","","","2"
