"ple0020","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","in school","","","",""
"Yes","2009","1-pers.-HH","inadequately","","","",""
"Yes","2009","1-pers.-HH","general elemantary","8","","",""
"Yes","2009","1-pers.-HH","middle vocational","9","","",""
"Yes","2009","1-pers.-HH","vocational + Abi","1","","",""
"Yes","2009","1-pers.-HH","higher vocational","","","",""
"Yes","2009","1-pers.-HH","higher education","1","","",""
"Yes","2009","(Married) couple without C. ","in school","","","",""
"Yes","2009","(Married) couple without C. ","inadequately","1","","",""
"Yes","2009","(Married) couple without C. ","general elemantary","6","","",""
"Yes","2009","(Married) couple without C. ","middle vocational","6","","",""
"Yes","2009","(Married) couple without C. ","vocational + Abi","","","",""
"Yes","2009","(Married) couple without C. ","higher vocational","","","",""
"Yes","2009","(Married) couple without C. ","higher education","3","","",""
"Yes","2009","Single parent ","in school","","","",""
"Yes","2009","Single parent ","inadequately","","","",""
"Yes","2009","Single parent ","general elemantary","2","","",""
"Yes","2009","Single parent ","middle vocational","1","","",""
"Yes","2009","Single parent ","vocational + Abi","","","",""
"Yes","2009","Single parent ","higher vocational","","","",""
"Yes","2009","Single parent ","higher education","","","",""
"Yes","2009","Couple + C. LE 16 ","in school","","","",""
"Yes","2009","Couple + C. LE 16 ","inadequately","1","","",""
"Yes","2009","Couple + C. LE 16 ","general elemantary","","","",""
"Yes","2009","Couple + C. LE 16 ","middle vocational","","","",""
"Yes","2009","Couple + C. LE 16 ","vocational + Abi","","","",""
"Yes","2009","Couple + C. LE 16 ","higher vocational","","","",""
"Yes","2009","Couple + C. LE 16 ","higher education","","","",""
"Yes","2009","Couple + C. GT 16 ","in school","","","",""
"Yes","2009","Couple + C. GT 16 ","inadequately","","","",""
"Yes","2009","Couple + C. GT 16 ","general elemantary","1","","",""
"Yes","2009","Couple + C. GT 16 ","middle vocational","","","",""
"Yes","2009","Couple + C. GT 16 ","vocational + Abi","","","",""
"Yes","2009","Couple + C. GT 16 ","higher vocational","2","","",""
"Yes","2009","Couple + C. GT 16 ","higher education","","","",""
"Yes","2009","Couple + C. LE and GT 16","in school","","","",""
"Yes","2009","Couple + C. LE and GT 16","inadequately","","","",""
"Yes","2009","Couple + C. LE and GT 16","general elemantary","","","",""
"Yes","2009","Couple + C. LE and GT 16","middle vocational","1","","",""
"Yes","2009","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Yes","2009","Couple + C. LE and GT 16","higher vocational","","","",""
"Yes","2009","Couple + C. LE and GT 16","higher education","","","",""
"No","2009","1-pers.-HH","in school","1","","",""
"No","2009","1-pers.-HH","inadequately","25","","",""
"No","2009","1-pers.-HH","general elemantary","388","0.974536497970171","0.959021253654864","0.990051742285477"
"No","2009","1-pers.-HH","middle vocational","1495","0.994936497373823","0.991349365244436","0.99852362950321"
"No","2009","1-pers.-HH","vocational + Abi","154","0.994468164505274","0.982791674480568","1.00614465452998"
"No","2009","1-pers.-HH","higher vocational","188","1","1","1"
"No","2009","1-pers.-HH","higher education","611","0.996535986817257","0.991881105191804","1.00119086844271"
"No","2009","(Married) couple without C. ","in school","3","","",""
"No","2009","(Married) couple without C. ","inadequately","53","0.948724099687587","0.889896947502428","1.00755125187275"
"No","2009","(Married) couple without C. ","general elemantary","513","0.990043205077044","0.981501368329047","0.998585041825042"
"No","2009","(Married) couple without C. ","middle vocational","3512","0.998679029822349","0.997478813177567","0.999879246467131"
"No","2009","(Married) couple without C. ","vocational + Abi","294","1","1","1"
"No","2009","(Married) couple without C. ","higher vocational","517","1","1","1"
"No","2009","(Married) couple without C. ","higher education","1741","0.997777874972275","0.99556795762555","0.999987792319001"
"No","2009","Single parent ","in school","45","1","1","1"
"No","2009","Single parent ","inadequately","18","","",""
"No","2009","Single parent ","general elemantary","170","0.975748838836502","0.952759887655222","0.998737790017782"
