"ple0020","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","1-pers.-HH","13","","",""
"Yes","2009","lower secondary degree","(Married) couple without C. ","10","","",""
"Yes","2009","lower secondary degree","Single parent ","2","","",""
"Yes","2009","lower secondary degree","Couple + C. LE 16 ","","","",""
"Yes","2009","lower secondary degree","Couple + C. GT 16 ","1","","",""
"Yes","2009","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Yes","2009","secondary school degree","1-pers.-HH","4","","",""
"Yes","2009","secondary school degree","(Married) couple without C. ","2","","",""
"Yes","2009","secondary school degree","Single parent ","1","","",""
"Yes","2009","secondary school degree","Couple + C. LE 16 ","","","",""
"Yes","2009","secondary school degree","Couple + C. GT 16 ","1","","",""
"Yes","2009","secondary school degree","Couple + C. LE and GT 16","1","","",""
"Yes","2009","college entrance qualification","1-pers.-HH","1","","",""
"Yes","2009","college entrance qualification","(Married) couple without C. ","2","","",""
"Yes","2009","college entrance qualification","Single parent ","","","",""
"Yes","2009","college entrance qualification","Couple + C. LE 16 ","","","",""
"Yes","2009","college entrance qualification","Couple + C. GT 16 ","","","",""
"Yes","2009","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Yes","2009","Other degree","1-pers.-HH","1","","",""
"Yes","2009","Other degree","(Married) couple without C. ","1","","",""
"Yes","2009","Other degree","Single parent ","","","",""
"Yes","2009","Other degree","Couple + C. LE 16 ","","","",""
"Yes","2009","Other degree","Couple + C. GT 16 ","1","","",""
"Yes","2009","Other degree","Couple + C. LE and GT 16","","","",""
"Yes","2009","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2009","no degree/no degree yet","(Married) couple without C. ","1","","",""
"Yes","2009","no degree/no degree yet","Single parent ","","","",""
"Yes","2009","no degree/no degree yet","Couple + C. LE 16 ","1","","",""
"Yes","2009","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Yes","2009","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
