"ple0020","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","(0) in school","Male","","","",""
"Yes","2009","(0) in school","Female","","","",""
"Yes","2009","(1a) inadequately completed","Male","1","","",""
"Yes","2009","(1a) inadequately completed","Female","1","","",""
"Yes","2009","(1b) general elementary school","Male","","","",""
"Yes","2009","(1b) general elementary school","Female","19","","",""
"Yes","2009","(1c) basic vocational qualification","Male","8","","",""
"Yes","2009","(1c) basic vocational qualification","Female","7","","",""
"Yes","2009","(2a) intermediate vocational","Male","1","","",""
"Yes","2009","(2a) intermediate vocational","Female","7","","",""
"Yes","2009","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2009","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2009","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2009","(2c_voc) vocational maturity certificate","Female","1","","",""
"Yes","2009","(3a) lower tertiary education","Male","1","","",""
"Yes","2009","(3a) lower tertiary education","Female","1","","",""
"Yes","2009","(3b) higher tertiary education","Male","2","","",""
"Yes","2009","(3b) higher tertiary education","Female","","","",""
"Yes","2010","(0) in school","Male","","","",""
"Yes","2010","(0) in school","Female","","","",""
"Yes","2010","(1a) inadequately completed","Male","","","",""
"Yes","2010","(1a) inadequately completed","Female","","","",""
"Yes","2010","(1b) general elementary school","Male","","","",""
"Yes","2010","(1b) general elementary school","Female","","","",""
"Yes","2010","(1c) basic vocational qualification","Male","","","",""
"Yes","2010","(1c) basic vocational qualification","Female","","","",""
"Yes","2010","(2a) intermediate vocational","Male","","","",""
"Yes","2010","(2a) intermediate vocational","Female","","","",""
"Yes","2010","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2010","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2010","(3a) lower tertiary education","Male","","","",""
"Yes","2010","(3a) lower tertiary education","Female","","","",""
"Yes","2010","(3b) higher tertiary education","Male","","","",""
"Yes","2010","(3b) higher tertiary education","Female","","","",""
"Yes","2011","(0) in school","Male","","","",""
"Yes","2011","(0) in school","Female","","","",""
"Yes","2011","(1a) inadequately completed","Male","","","",""
"Yes","2011","(1a) inadequately completed","Female","","","",""
"Yes","2011","(1b) general elementary school","Male","5","","",""
"Yes","2011","(1b) general elementary school","Female","24","","",""
"Yes","2011","(1c) basic vocational qualification","Male","10","","",""
"Yes","2011","(1c) basic vocational qualification","Female","12","","",""
"Yes","2011","(2a) intermediate vocational","Male","2","","",""
"Yes","2011","(2a) intermediate vocational","Female","2","","",""
"Yes","2011","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2011","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2011","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2011","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2011","(3a) lower tertiary education","Male","1","","",""
"Yes","2011","(3a) lower tertiary education","Female","2","","",""
"Yes","2011","(3b) higher tertiary education","Male","5","","",""
"Yes","2011","(3b) higher tertiary education","Female","","","",""
"Yes","2012","(0) in school","Male","","","",""
"Yes","2012","(0) in school","Female","","","",""
"Yes","2012","(1a) inadequately completed","Male","","","",""
"Yes","2012","(1a) inadequately completed","Female","","","",""
"Yes","2012","(1b) general elementary school","Male","","","",""
"Yes","2012","(1b) general elementary school","Female","","","",""
"Yes","2012","(1c) basic vocational qualification","Male","","","",""
"Yes","2012","(1c) basic vocational qualification","Female","","","",""
"Yes","2012","(2a) intermediate vocational","Male","","","",""
"Yes","2012","(2a) intermediate vocational","Female","","","",""
"Yes","2012","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2012","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2012","(3a) lower tertiary education","Male","","","",""
"Yes","2012","(3a) lower tertiary education","Female","","","",""
"Yes","2012","(3b) higher tertiary education","Male","","","",""
"Yes","2012","(3b) higher tertiary education","Female","","","",""
"Yes","2013","(0) in school","Male","","","",""
"Yes","2013","(0) in school","Female","","","",""
"Yes","2013","(1a) inadequately completed","Male","","","",""
"Yes","2013","(1a) inadequately completed","Female","2","","",""
"Yes","2013","(1b) general elementary school","Male","4","","",""
"Yes","2013","(1b) general elementary school","Female","15","","",""
"Yes","2013","(1c) basic vocational qualification","Male","12","","",""
"Yes","2013","(1c) basic vocational qualification","Female","17","","",""
"Yes","2013","(2a) intermediate vocational","Male","2","","",""
"Yes","2013","(2a) intermediate vocational","Female","8","","",""
"Yes","2013","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2013","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2013","(2c_voc) vocational maturity certificate","Male","1","","",""
"Yes","2013","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2013","(3a) lower tertiary education","Male","","","",""
"Yes","2013","(3a) lower tertiary education","Female","2","","",""
"Yes","2013","(3b) higher tertiary education","Male","","","",""
"Yes","2013","(3b) higher tertiary education","Female","5","","",""
"Yes","2014","(0) in school","Male","","","",""
"Yes","2014","(0) in school","Female","","","",""
"Yes","2014","(1a) inadequately completed","Male","","","",""
"Yes","2014","(1a) inadequately completed","Female","","","",""
"Yes","2014","(1b) general elementary school","Male","","","",""
"Yes","2014","(1b) general elementary school","Female","","","",""
"Yes","2014","(1c) basic vocational qualification","Male","","","",""
"Yes","2014","(1c) basic vocational qualification","Female","","","",""
"Yes","2014","(2a) intermediate vocational","Male","","","",""
"Yes","2014","(2a) intermediate vocational","Female","","","",""
"Yes","2014","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2014","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2014","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2014","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2014","(3a) lower tertiary education","Male","","","",""
"Yes","2014","(3a) lower tertiary education","Female","","","",""
"Yes","2014","(3b) higher tertiary education","Male","","","",""
"Yes","2014","(3b) higher tertiary education","Female","","","",""
"Yes","2015","(0) in school","Male","","","",""
"Yes","2015","(0) in school","Female","","","",""
"Yes","2015","(1a) inadequately completed","Male","3","","",""
"Yes","2015","(1a) inadequately completed","Female","2","","",""
"Yes","2015","(1b) general elementary school","Male","5","","",""
"Yes","2015","(1b) general elementary school","Female","14","","",""
"Yes","2015","(1c) basic vocational qualification","Male","9","","",""
"Yes","2015","(1c) basic vocational qualification","Female","13","","",""
"Yes","2015","(2a) intermediate vocational","Male","4","","",""
"Yes","2015","(2a) intermediate vocational","Female","9","","",""
"Yes","2015","(2c_gen) general maturity certificate","Male","2","","",""
"Yes","2015","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2015","(2c_voc) vocational maturity certificate","Male","3","","",""
"Yes","2015","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2015","(3a) lower tertiary education","Male","4","","",""
"Yes","2015","(3a) lower tertiary education","Female","2","","",""
"Yes","2015","(3b) higher tertiary education","Male","2","","",""
"Yes","2015","(3b) higher tertiary education","Female","2","","",""
"Yes","2016","(0) in school","Male","","","",""
"Yes","2016","(0) in school","Female","","","",""
"Yes","2016","(1a) inadequately completed","Male","","","",""
"Yes","2016","(1a) inadequately completed","Female","","","",""
"Yes","2016","(1b) general elementary school","Male","","","",""
"Yes","2016","(1b) general elementary school","Female","","","",""
"Yes","2016","(1c) basic vocational qualification","Male","","","",""
"Yes","2016","(1c) basic vocational qualification","Female","","","",""
"Yes","2016","(2a) intermediate vocational","Male","","","",""
"Yes","2016","(2a) intermediate vocational","Female","","","",""
"Yes","2016","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2016","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2016","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2016","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2016","(3a) lower tertiary education","Male","","","",""
"Yes","2016","(3a) lower tertiary education","Female","","","",""
"Yes","2016","(3b) higher tertiary education","Male","","","",""
"Yes","2016","(3b) higher tertiary education","Female","","","",""
"Yes","2017","(0) in school","Male","","","",""
"Yes","2017","(0) in school","Female","1","","",""
"Yes","2017","(1a) inadequately completed","Male","2","","",""
"Yes","2017","(1a) inadequately completed","Female","1","","",""
"Yes","2017","(1b) general elementary school","Male","5","","",""
"Yes","2017","(1b) general elementary school","Female","13","","",""
"Yes","2017","(1c) basic vocational qualification","Male","9","","",""
"Yes","2017","(1c) basic vocational qualification","Female","12","","",""
"Yes","2017","(2a) intermediate vocational","Male","7","","",""
"Yes","2017","(2a) intermediate vocational","Female","7","","",""
"Yes","2017","(2c_gen) general maturity certificate","Male","1","","",""
"Yes","2017","(2c_gen) general maturity certificate","Female","1","","",""
"Yes","2017","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2017","(2c_voc) vocational maturity certificate","Female","1","","",""
"Yes","2017","(3a) lower tertiary education","Male","3","","",""
"Yes","2017","(3a) lower tertiary education","Female","1","","",""
"Yes","2017","(3b) higher tertiary education","Male","3","","",""
"Yes","2017","(3b) higher tertiary education","Female","2","","",""
"Yes","2018","(0) in school","Male","","","",""
"Yes","2018","(0) in school","Female","","","",""
"Yes","2018","(1a) inadequately completed","Male","","","",""
"Yes","2018","(1a) inadequately completed","Female","","","",""
"Yes","2018","(1b) general elementary school","Male","","","",""
"Yes","2018","(1b) general elementary school","Female","","","",""
"Yes","2018","(1c) basic vocational qualification","Male","","","",""
"Yes","2018","(1c) basic vocational qualification","Female","","","",""
"Yes","2018","(2a) intermediate vocational","Male","","","",""
"Yes","2018","(2a) intermediate vocational","Female","","","",""
