"ple0020","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","","","",""
"Yes","2009","35-65 y.","8","","",""
"Yes","2009","66 and older","42","0.0112099261250793","0.00803307580901168","0.014386776441147"
"No","2009","16-34 y.","4006","1","1","1"
"No","2009","35-65 y.","9893","0.998200043284559","0.997365116518842","0.999034970050277"
"No","2009","66 and older","4177","0.988790073874921","0.985613223558853","0.991966924190988"
"Yes","2010","16-34 y.","","","",""
"Yes","2010","35-65 y.","","","",""
"Yes","2010","66 and older","","","",""
"No","2010","16-34 y.","","","",""
"No","2010","35-65 y.","","","",""
"No","2010","66 and older","","","",""
"Yes","2011","16-34 y.","1","","",""
"Yes","2011","35-65 y.","7","","",""
"Yes","2011","66 and older","56","0.0137536306153647","0.0105850424270374","0.0169222188036919"
"No","2011","16-34 y.","4306","0.999549114664664","0.998915105143656","1.00018312418567"
"No","2011","35-65 y.","11356","0.999072775328319","0.998513156085637","0.999632394571"
"No","2011","66 and older","5134","0.986246369384635","0.983077781196308","0.989414957572962"
"Yes","2012","16-34 y.","","","",""
"Yes","2012","35-65 y.","","","",""
"Yes","2012","66 and older","","","",""
"No","2012","16-34 y.","","","",""
"No","2012","35-65 y.","","","",""
"No","2012","66 and older","","","",""
"Yes","2013","16-34 y.","1","","",""
"Yes","2013","35-65 y.","12","","",""
"Yes","2013","66 and older","55","0.0117898150605172","0.00879855338718586","0.0147810767338485"
"No","2013","16-34 y.","3708","0.999579333342304","0.99891940412877","1.00023926255584"
"No","2013","35-65 y.","10248","0.998256943890372","0.997449799441478","0.999064088339267"
"No","2013","66 and older","4947","0.988210184939483","0.985218923266152","0.991201446612814"
"Yes","2014","16-34 y.","","","",""
"Yes","2014","35-65 y.","","","",""
"Yes","2014","66 and older","","","",""
"No","2014","16-34 y.","","","",""
"No","2014","35-65 y.","","","",""
"No","2014","66 and older","","","",""
"Yes","2015","16-34 y.","3","","",""
"Yes","2015","35-65 y.","14","","",""
"Yes","2015","66 and older","58","0.012667655209399","0.00955248753746929","0.0157828228813286"
"No","2015","16-34 y.","5767","0.999882747229658","0.999603366608792","1.00016212785052"
"No","2015","35-65 y.","14435","0.997868479832931","0.99711649242083","0.998620467245032"
"No","2015","66 and older","4893","0.987332344790601","0.984217177118671","0.990447512462531"
"Yes","2016","16-34 y.","","","",""
"Yes","2016","35-65 y.","","","",""
"Yes","2016","66 and older","","","",""
"No","2016","16-34 y.","","","",""
"No","2016","35-65 y.","","","",""
"No","2016","66 and older","","","",""
"Yes","2017","16-34 y.","4","","",""
"Yes","2017","35-65 y.","14","","",""
"Yes","2017","66 and older","51","0.0133900841694781","0.0102146799517279","0.0165654883872284"
"No","2017","16-34 y.","6241","0.999424458277318","0.998829624991921","1.00001929156272"
"No","2017","35-65 y.","15431","0.998881529714326","0.998354392895454","0.999408666533198"
"No","2017","66 and older","4982","0.986609915830522","0.983434511612772","0.989785320048272"
"Yes","2018","16-34 y.","","","",""
"Yes","2018","35-65 y.","","","",""
"Yes","2018","66 and older","","","",""
"No","2018","16-34 y.","","","",""
"No","2018","35-65 y.","","","",""
"No","2018","66 and older","","","",""
"Yes","2019","16-34 y.","6","","",""
"Yes","2019","35-65 y.","21","","",""
"Yes","2019","66 and older","60","0.0116197620340504","0.00872006113887297","0.0145194629292278"
"No","2019","16-34 y.","5450","0.999078493372884","0.998273374611912","0.999883612133855"
"No","2019","35-65 y.","15156","0.998883894732795","0.998352685997212","0.999415103468378"
"No","2019","66 and older","5187","0.98838023796595","0.985480537070772","0.991279938861127"
