"ple0020","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","Male","13","","",""
"Yes","2009","no migration background","Female","30","0.00483349378223771","0.00333299954499082","0.0063339880194846"
"Yes","2009","direct migration background","Male","","","",""
"Yes","2009","direct migration background","Female","7","","",""
"Yes","2009","indirect migration background","Male","","","",""
"Yes","2009","indirect migration background","Female","","","",""
"No","2009","no migration background","Male","7523","0.998117478109689","0.99713880311105","0.999096153108327"
"No","2009","no migration background","Female","8177","0.995166506217762","0.993666011980515","0.996667000455009"
"No","2009","direct migration background","Male","763","1","1","1"
"No","2009","direct migration background","Female","898","0.98754032063303","0.980313377240529","0.99476726402553"
"No","2009","indirect migration background","Male","345","1","1","1"
"No","2009","indirect migration background","Female","370","1","1","1"
"Yes","2010","no migration background","Male","","","",""
"Yes","2010","no migration background","Female","","","",""
"Yes","2010","direct migration background","Male","","","",""
"Yes","2010","direct migration background","Female","","","",""
"Yes","2010","indirect migration background","Male","","","",""
"Yes","2010","indirect migration background","Female","","","",""
"No","2010","no migration background","Male","","","",""
"No","2010","no migration background","Female","","","",""
"No","2010","direct migration background","Male","","","",""
"No","2010","direct migration background","Female","","","",""
"No","2010","indirect migration background","Male","","","",""
"No","2010","indirect migration background","Female","","","",""
"Yes","2011","no migration background","Male","21","","",""
"Yes","2011","no migration background","Female","34","0.00556185545052815","0.00406454661686378","0.00705916428419253"
"Yes","2011","direct migration background","Male","2","","",""
"Yes","2011","direct migration background","Female","7","","",""
"Yes","2011","indirect migration background","Male","","","",""
"Yes","2011","indirect migration background","Female","","","",""
"No","2011","no migration background","Male","8543","0.997348925128182","0.996259883902424","0.99843796635394"
"No","2011","no migration background","Female","9443","0.994438144549472","0.992940835715807","0.995935453383136"
"No","2011","direct migration background","Male","892","0.998582669953654","0.996116591771253","1.00104874813605"
"No","2011","direct migration background","Female","1119","0.989433872060573","0.983461728826264","0.995406015294882"
"No","2011","indirect migration background","Male","381","1","1","1"
"No","2011","indirect migration background","Female","418","1","1","1"
"Yes","2012","no migration background","Male","","","",""
"Yes","2012","no migration background","Female","","","",""
"Yes","2012","direct migration background","Male","","","",""
"Yes","2012","direct migration background","Female","","","",""
"Yes","2012","indirect migration background","Male","","","",""
"Yes","2012","indirect migration background","Female","","","",""
"No","2012","no migration background","Male","","","",""
"No","2012","no migration background","Female","","","",""
"No","2012","direct migration background","Male","","","",""
"No","2012","direct migration background","Female","","","",""
"No","2012","indirect migration background","Male","","","",""
"No","2012","indirect migration background","Female","","","",""
"Yes","2013","no migration background","Male","17","","",""
"Yes","2013","no migration background","Female","40","0.00559450660202183","0.00403303250731644","0.00715598069672722"
"Yes","2013","direct migration background","Male","2","","",""
"Yes","2013","direct migration background","Female","8","","",""
"Yes","2013","indirect migration background","Male","","","",""
"Yes","2013","indirect migration background","Female","1","","",""
"No","2013","no migration background","Male","7777","0.997867628590617","0.996843544114538","0.998891713066695"
"No","2013","no migration background","Female","8725","0.994405493397978","0.992844019303273","0.995966967492684"
"No","2013","direct migration background","Male","733","0.993685876199782","0.987959425496873","0.999412326902692"
"No","2013","direct migration background","Female","953","0.987297786522849","0.980217510603576","0.994378062442122"
"No","2013","indirect migration background","Male","345","1","1","1"
"No","2013","indirect migration background","Female","370","0.99810638808676","0.993682592587923","1.0025301835856"
"Yes","2014","no migration background","Male","","","",""
"Yes","2014","no migration background","Female","","","",""
"Yes","2014","direct migration background","Male","","","",""
"Yes","2014","direct migration background","Female","","","",""
"Yes","2014","indirect migration background","Male","","","",""
"Yes","2014","indirect migration background","Female","","","",""
"No","2014","no migration background","Male","","","",""
"No","2014","no migration background","Female","","","",""
"No","2014","direct migration background","Male","","","",""
"No","2014","direct migration background","Female","","","",""
"No","2014","indirect migration background","Male","","","",""
"No","2014","indirect migration background","Female","","","",""
"Yes","2015","no migration background","Male","27","","",""
"Yes","2015","no migration background","Female","36","0.00545639603648428","0.00404047823723502","0.00687231383573355"
"Yes","2015","direct migration background","Male","5","","",""
"Yes","2015","direct migration background","Female","6","","",""
"Yes","2015","indirect migration background","Male","","","",""
"Yes","2015","indirect migration background","Female","1","","",""
"No","2015","no migration background","Male","8791","0.996184862053845","0.994898129953402","0.997471594154288"
"No","2015","no migration background","Female","10362","0.994543603963516","0.993127686164267","0.995959521762765"
"No","2015","direct migration background","Male","1941","0.997404595660654","0.995144041749995","0.999665149571312"
"No","2015","direct migration background","Female","2369","0.994570151542162","0.991614672737159","0.997525630347164"
"No","2015","indirect migration background","Male","753","1","1","1"
"No","2015","indirect migration background","Female","879","0.999665415456564","0.998457081373018","1.00087374954011"
"Yes","2016","no migration background","Male","","","",""
"Yes","2016","no migration background","Female","","","",""
"Yes","2016","direct migration background","Male","","","",""
"Yes","2016","direct migration background","Female","","","",""
"Yes","2016","indirect migration background","Male","","","",""
"Yes","2016","indirect migration background","Female","","","",""
"No","2016","no migration background","Male","","","",""
"No","2016","no migration background","Female","","","",""
"No","2016","direct migration background","Male","","","",""
"No","2016","direct migration background","Female","","","",""
"No","2016","indirect migration background","Male","","","",""
"No","2016","indirect migration background","Female","","","",""
"Yes","2017","no migration background","Male","27","","",""
"Yes","2017","no migration background","Female","32","0.00541639766663419","0.00403680996067858","0.0067959853725898"
"Yes","2017","direct migration background","Male","3","","",""
"Yes","2017","direct migration background","Female","5","","",""
"Yes","2017","indirect migration background","Male","","","",""
"Yes","2017","indirect migration background","Female","2","","",""
"No","2017","no migration background","Male","9440","0.996608840494778","0.995437782565948","0.997779898423608"
"No","2017","no migration background","Female","10841","0.994583602333366","0.99320401462741","0.995963190039321"
"No","2017","direct migration background","Male","2080","0.997728581262318","0.995684217073666","0.999772945450971"
"No","2017","direct migration background","Female","2580","0.996394681367996","0.994084184712943","0.99870517802305"
"No","2017","indirect migration background","Male","789","1","1","1"
"No","2017","indirect migration background","Female","924","0.997828222924038","0.994829902026014","1.00082654382206"
"Yes","2018","no migration background","Male","","","",""
"Yes","2018","no migration background","Female","","","",""
"Yes","2018","direct migration background","Male","","","",""
"Yes","2018","direct migration background","Female","","","",""
"Yes","2018","indirect migration background","Male","","","",""
"Yes","2018","indirect migration background","Female","","","",""
"No","2018","no migration background","Male","","","",""
"No","2018","no migration background","Female","","","",""
"No","2018","direct migration background","Male","","","",""
"No","2018","direct migration background","Female","","","",""
"No","2018","indirect migration background","Male","","","",""
"No","2018","indirect migration background","Female","","","",""
"Yes","2019","no migration background","Male","43","0.00429548766798594","0.00300094039069415","0.00559003494527773"
"Yes","2019","no migration background","Female","31","0.00386465458407736","0.00267776771892304","0.00505154144923167"
"Yes","2019","direct migration background","Male","4","","",""
"Yes","2019","direct migration background","Female","7","","",""
"Yes","2019","indirect migration background","Male","","","",""
"Yes","2019","indirect migration background","Female","2","","",""
"No","2019","no migration background","Male","9761","0.995704512332014","0.994409965054722","0.996999059609306"
"No","2019","no migration background","Female","10467","0.996135345415923","0.994948458550768","0.997322232281077"
"No","2019","direct migration background","Male","1742","0.999161748430913","0.997804275874037","1.00051922098779"
"No","2019","direct migration background","Female","2106","0.995328348444264","0.992420868346396","0.998235828542132"
"No","2019","indirect migration background","Male","803","1","1","1"
"No","2019","indirect migration background","Female","905","0.998828844396853","0.996602987264456","1.00105470152925"
