"ple0020","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","West Germany","19","","",""
"Yes","2009","lower secondary degree","East Germany","12","","",""
"Yes","2009","secondary school degree","West Germany","9","","",""
"Yes","2009","secondary school degree","East Germany","1","","",""
"Yes","2009","college entrance qualification","West Germany","3","","",""
"Yes","2009","college entrance qualification","East Germany","","","",""
"Yes","2009","Other degree","West Germany","3","","",""
"Yes","2009","Other degree","East Germany","","","",""
"Yes","2009","no degree/no degree yet","West Germany","2","","",""
"Yes","2009","no degree/no degree yet","East Germany","","","",""
"Yes","2010","lower secondary degree","West Germany","","","",""
"Yes","2010","lower secondary degree","East Germany","","","",""
"Yes","2010","secondary school degree","West Germany","","","",""
"Yes","2010","secondary school degree","East Germany","","","",""
"Yes","2010","college entrance qualification","West Germany","","","",""
"Yes","2010","college entrance qualification","East Germany","","","",""
"Yes","2010","Other degree","West Germany","","","",""
"Yes","2010","Other degree","East Germany","","","",""
"Yes","2010","no degree/no degree yet","West Germany","","","",""
"Yes","2010","no degree/no degree yet","East Germany","","","",""
"Yes","2011","lower secondary degree","West Germany","38","1","1","1"
"Yes","2011","lower secondary degree","East Germany","10","","",""
"Yes","2011","secondary school degree","West Germany","2","","",""
"Yes","2011","secondary school degree","East Germany","2","","",""
"Yes","2011","college entrance qualification","West Germany","5","","",""
"Yes","2011","college entrance qualification","East Germany","1","","",""
"Yes","2011","Other degree","West Germany","5","","",""
"Yes","2011","Other degree","East Germany","","","",""
"Yes","2011","no degree/no degree yet","West Germany","","","",""
"Yes","2011","no degree/no degree yet","East Germany","","","",""
"Yes","2012","lower secondary degree","West Germany","","","",""
"Yes","2012","lower secondary degree","East Germany","","","",""
"Yes","2012","secondary school degree","West Germany","","","",""
"Yes","2012","secondary school degree","East Germany","","","",""
"Yes","2012","college entrance qualification","West Germany","","","",""
"Yes","2012","college entrance qualification","East Germany","","","",""
"Yes","2012","Other degree","West Germany","","","",""
"Yes","2012","Other degree","East Germany","","","",""
"Yes","2012","no degree/no degree yet","West Germany","","","",""
"Yes","2012","no degree/no degree yet","East Germany","","","",""
"Yes","2013","lower secondary degree","West Germany","26","","",""
"Yes","2013","lower secondary degree","East Germany","16","","",""
"Yes","2013","secondary school degree","West Germany","8","","",""
"Yes","2013","secondary school degree","East Germany","3","","",""
"Yes","2013","college entrance qualification","West Germany","2","","",""
"Yes","2013","college entrance qualification","East Germany","2","","",""
"Yes","2013","Other degree","West Germany","6","","",""
"Yes","2013","Other degree","East Germany","3","","",""
"Yes","2013","no degree/no degree yet","West Germany","2","","",""
"Yes","2013","no degree/no degree yet","East Germany","","","",""
"Yes","2014","lower secondary degree","West Germany","","","",""
"Yes","2014","lower secondary degree","East Germany","","","",""
"Yes","2014","secondary school degree","West Germany","","","",""
"Yes","2014","secondary school degree","East Germany","","","",""
"Yes","2014","college entrance qualification","West Germany","","","",""
"Yes","2014","college entrance qualification","East Germany","","","",""
"Yes","2014","Other degree","West Germany","","","",""
"Yes","2014","Other degree","East Germany","","","",""
"Yes","2014","no degree/no degree yet","West Germany","","","",""
"Yes","2014","no degree/no degree yet","East Germany","","","",""
"Yes","2015","lower secondary degree","West Germany","25","","",""
"Yes","2015","lower secondary degree","East Germany","13","","",""
"Yes","2015","secondary school degree","West Germany","11","","",""
"Yes","2015","secondary school degree","East Germany","5","","",""
"Yes","2015","college entrance qualification","West Germany","8","","",""
"Yes","2015","college entrance qualification","East Germany","2","","",""
"Yes","2015","Other degree","West Germany","5","","",""
"Yes","2015","Other degree","East Germany","","","",""
"Yes","2015","no degree/no degree yet","West Germany","4","","",""
"Yes","2015","no degree/no degree yet","East Germany","1","","",""
"Yes","2016","lower secondary degree","West Germany","","","",""
"Yes","2016","lower secondary degree","East Germany","","","",""
"Yes","2016","secondary school degree","West Germany","","","",""
"Yes","2016","secondary school degree","East Germany","","","",""
"Yes","2016","college entrance qualification","West Germany","","","",""
"Yes","2016","college entrance qualification","East Germany","","","",""
"Yes","2016","Other degree","West Germany","","","",""
"Yes","2016","Other degree","East Germany","","","",""
"Yes","2016","no degree/no degree yet","West Germany","","","",""
"Yes","2016","no degree/no degree yet","East Germany","","","",""
"Yes","2017","lower secondary degree","West Germany","27","","",""
"Yes","2017","lower secondary degree","East Germany","9","","",""
"Yes","2017","secondary school degree","West Germany","10","","",""
"Yes","2017","secondary school degree","East Germany","6","","",""
"Yes","2017","college entrance qualification","West Germany","5","","",""
"Yes","2017","college entrance qualification","East Germany","3","","",""
"Yes","2017","Other degree","West Germany","4","","",""
"Yes","2017","Other degree","East Germany","1","","",""
"Yes","2017","no degree/no degree yet","West Germany","4","","",""
"Yes","2017","no degree/no degree yet","East Germany","","","",""
"Yes","2018","lower secondary degree","West Germany","","","",""
"Yes","2018","lower secondary degree","East Germany","","","",""
"Yes","2018","secondary school degree","West Germany","","","",""
"Yes","2018","secondary school degree","East Germany","","","",""
"Yes","2018","college entrance qualification","West Germany","","","",""
"Yes","2018","college entrance qualification","East Germany","","","",""
"Yes","2018","Other degree","West Germany","","","",""
"Yes","2018","Other degree","East Germany","","","",""
"Yes","2018","no degree/no degree yet","West Germany","","","",""
"Yes","2018","no degree/no degree yet","East Germany","","","",""
"Yes","2019","lower secondary degree","West Germany","24","","",""
"Yes","2019","lower secondary degree","East Germany","15","","",""
"Yes","2019","secondary school degree","West Germany","12","","",""
"Yes","2019","secondary school degree","East Germany","5","","",""
"Yes","2019","college entrance qualification","West Germany","13","","",""
"Yes","2019","college entrance qualification","East Germany","5","","",""
"Yes","2019","Other degree","West Germany","7","","",""
"Yes","2019","Other degree","East Germany","2","","",""
"Yes","2019","no degree/no degree yet","West Germany","3","","",""
"Yes","2019","no degree/no degree yet","East Germany","","","",""
