"ple0020","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Not Working","Male","2867","0.997297859211922","0.995401288122112","0.999194430301732","2"
"No","2009","Full Time","Male","4590","1","1","1","2"
"No","2009","Full Time","Female","2424","1","1","1","2"
"No","2009","Not Working","Female","3967","0.987623295543467","0.984197923713564","0.991048667373369","2"
"No","2009","Part Time","Male","1174","0.995222778527693","0.991281907048587","0.999163650006799","2"
"No","2009","Part Time","Female","3054","0.999619013328125","0.998927112960159","1.00031091369609","2"
"Yes","2009","Full Time","Male","","","","","1"
"Yes","2009","Full Time","Female","","","","","1"
"Yes","2009","Part Time","Male","2","","","","1"
"Yes","2009","Part Time","Female","2","","","","1"
"Yes","2009","Not Working","Male","11","","","","1"
"Yes","2009","Not Working","Female","35","0.0123767044565333","0.00895133262663051","0.015802076286436","1"
"No","2010","Not Working","Male","","","","","2"
"No","2010","Full Time","Male","","","","","2"
"No","2010","Not Working","Female","","","","","2"
"No","2010","Full Time","Female","","","","","2"
"No","2010","Part Time","Male","","","","","2"
"No","2010","Part Time","Female","","","","","2"
"Yes","2010","Full Time","Male","","","","","1"
"Yes","2010","Full Time","Female","","","","","1"
"Yes","2010","Part Time","Male","","","","","1"
"Yes","2010","Part Time","Female","","","","","1"
"Yes","2010","Not Working","Male","","","","","1"
"Yes","2010","Not Working","Female","","","","","1"
"No","2011","Full Time","Male","5023","0.99931670634222","0.998594210542272","1.00003920214217","2"
"No","2011","Not Working","Male","3406","0.994114133820176","0.991552731917293","0.99667553572306","2"
"No","2011","Not Working","Female","4679","0.986466012085544","0.983169679321602","0.989762344849487","2"
"No","2011","Full Time","Female","2785","1","1","1","2"
"No","2011","Part Time","Male","1387","0.99934923621068","0.998007634232176","1.00069083818918","2"
"No","2011","Part Time","Female","3516","1","1","1","2"
"Yes","2011","Full Time","Male","2","","","","1"
"Yes","2011","Full Time","Female","","","","","1"
"Yes","2011","Part Time","Male","1","","","","1"
"Yes","2011","Part Time","Female","","","","","1"
"Yes","2011","Not Working","Male","20","","","","1"
"Yes","2011","Not Working","Female","41","0.0135339879144557","0.0102376551505134","0.0168303206783981","1"
"No","2012","Full Time","Male","","","","","2"
"No","2012","Full Time","Female","","","","","2"
"No","2012","Not Working","Male","","","","","2"
"No","2012","Not Working","Female","","","","","2"
"No","2012","Part Time","Male","","","","","2"
"No","2012","Part Time","Female","","","","","2"
"Yes","2012","Full Time","Male","","","","","1"
"Yes","2012","Full Time","Female","","","","","1"
"Yes","2012","Part Time","Male","","","","","1"
"Yes","2012","Part Time","Female","","","","","1"
"Yes","2012","Not Working","Male","","","","","1"
"Yes","2012","Not Working","Female","","","","","1"
"No","2013","Full Time","Male","4420","1","1","1","2"
"No","2013","Full Time","Female","2577","1","1","1","2"
"No","2013","Part Time","Male","1264","1","1","1","2"
"No","2013","Part Time","Female","3330","0.998194744126009","0.996753816008368","0.999635672243649","2"
"No","2013","Not Working","Male","3171","0.993068419193327","0.990189307719695","0.995947530666959","2"
"No","2013","Not Working","Female","4141","0.987297208832888","0.983904691987361","0.990689725678415","2"
"Yes","2013","Full Time","Male","","","","","1"
"Yes","2013","Full Time","Female","","","","","1"
"Yes","2013","Part Time","Male","","","","","1"
"Yes","2013","Part Time","Female","4","","","","1"
"Yes","2013","Not Working","Male","19","","","","1"
"Yes","2013","Not Working","Female","45","0.0127027911671121","0.00931027432158482","0.0160953080126393","1"
"No","2014","Full Time","Male","","","","","2"
