"ple0020","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2009","general elemantary","West Germany","1532","0.987103794413616","0.981479659490998","0.992727929336234","2"
"No","2009","vocational + Abi","West Germany","849","0.998609034289386","0.996103533259515","1.00111453531926","2"
"No","2009","higher education","West Germany","2836","0.997812703887026","0.996094529557833","0.999530878216219","2"
"No","2009","in school","West Germany","258","1","1","1","2"
"No","2009","in school","East Germany","55","1","1","1","2"
"No","2009","general elemantary","East Germany","261","0.974849365351188","0.956032360209161","0.993666370493216","2"
"No","2009","vocational + Abi","East Germany","153","1","1","1","2"
"No","2009","higher education","East Germany","1209","1","1","1","2"
"No","2009","inadequately","West Germany","151","0.965052368379894","0.935952790397721","0.994151946362068","2"
"No","2009","inadequately","East Germany","16","","","","2"
"No","2009","middle vocational","West Germany","6688","0.998185844888402","0.997167045228927","0.999204644547877","2"
"No","2009","middle vocational","East Germany","2402","0.996982981090311","0.994792887977228","0.999173074203395","2"
"No","2009","higher vocational","West Germany","964","0.99963545074288","0.998431015741414","1.00083988574435","2"
"No","2009","higher vocational","East Germany","372","0.998432353750988","0.994417432496603","1.00244727500537","2"
"Yes","2009","in school","West Germany","","","","","1"
"Yes","2009","in school","East Germany","","","","","1"
"Yes","2009","inadequately","West Germany","2","","","","1"
"Yes","2009","inadequately","East Germany","","","","","1"
"Yes","2009","general elemantary","West Germany","14","","","","1"
"Yes","2009","general elemantary","East Germany","5","","","","1"
"Yes","2009","middle vocational","West Germany","14","","","","1"
"Yes","2009","middle vocational","East Germany","7","","","","1"
"Yes","2009","vocational + Abi","West Germany","1","","","","1"
"Yes","2009","vocational + Abi","East Germany","","","","","1"
"Yes","2009","higher vocational","West Germany","1","","","","1"
"Yes","2009","higher vocational","East Germany","1","","","","1"
"Yes","2009","higher education","West Germany","4","","","","1"
"Yes","2009","higher education","East Germany","","","","","1"
"No","2010","in school","West Germany","","","","","2"
"No","2010","in school","East Germany","","","","","2"
"No","2010","general elemantary","West Germany","","","","","2"
"No","2010","general elemantary","East Germany","","","","","2"
"No","2010","vocational + Abi","West Germany","","","","","2"
"No","2010","vocational + Abi","East Germany","","","","","2"
"No","2010","higher education","West Germany","","","","","2"
"No","2010","higher education","East Germany","","","","","2"
"No","2010","inadequately","West Germany","","","","","2"
"No","2010","inadequately","East Germany","","","","","2"
"No","2010","middle vocational","West Germany","","","","","2"
"No","2010","middle vocational","East Germany","","","","","2"
"No","2010","higher vocational","West Germany","","","","","2"
"No","2010","higher vocational","East Germany","","","","","2"
"Yes","2010","in school","West Germany","","","","","1"
"Yes","2010","in school","East Germany","","","","","1"
"Yes","2010","inadequately","West Germany","","","","","1"
"Yes","2010","inadequately","East Germany","","","","","1"
"Yes","2010","general elemantary","West Germany","","","","","1"
"Yes","2010","general elemantary","East Germany","","","","","1"
"Yes","2010","middle vocational","West Germany","","","","","1"
"Yes","2010","middle vocational","East Germany","","","","","1"
"Yes","2010","vocational + Abi","West Germany","","","","","1"
"Yes","2010","vocational + Abi","East Germany","","","","","1"
"Yes","2010","higher vocational","West Germany","","","","","1"
"Yes","2010","higher vocational","East Germany","","","","","1"
"Yes","2010","higher education","West Germany","","","","","1"
"Yes","2010","higher education","East Germany","","","","","1"
"No","2011","in school","West Germany","278","1","1","1","2"
"No","2011","general elemantary","West Germany","1865","0.97995537400646","0.97363512425618","0.98627562375674","2"
"No","2011","vocational + Abi","West Germany","1031","1","1","1","2"
"No","2011","in school","East Germany","35","1","1","1","2"
"No","2011","general elemantary","East Germany","295","0.991221194169055","0.980647773569603","1.00179461476851","2"
"No","2011","vocational + Abi","East Germany","178","1","1","1","2"
"No","2011","inadequately","West Germany","203","0.989822395091739","0.976049208250745","1.00359558193273","2"
"No","2011","inadequately","East Germany","29","","","","2"
"No","2011","middle vocational","West Germany","7884","0.99698449855371","0.995775638369809","0.998193358737612","2"
"No","2011","middle vocational","East Germany","2640","0.997646538512817","0.99579992014636","0.999493156879274","2"
"No","2011","higher vocational","West Germany","1050","1","1","1","2"
"No","2011","higher vocational","East Germany","402","0.996304524792071","0.990387701401633","1.00222134818251","2"
"No","2011","higher education","West Germany","3302","0.998170068788787","0.996713654288109","0.999626483289464","2"
"No","2011","higher education","East Germany","1290","0.998460512569015","0.996322696412592","1.00059832872544","2"
"Yes","2011","in school","West Germany","","","","","1"
"Yes","2011","in school","East Germany","","","","","1"
"Yes","2011","inadequately","West Germany","1","","","","1"
"Yes","2011","inadequately","East Germany","","","","","1"
"Yes","2011","general elemantary","West Germany","24","","","","1"
"Yes","2011","general elemantary","East Germany","4","","","","1"
"Yes","2011","middle vocational","West Germany","19","","","","1"
"Yes","2011","middle vocational","East Germany","5","","","","1"
"Yes","2011","vocational + Abi","West Germany","","","","","1"
"Yes","2011","vocational + Abi","East Germany","","","","","1"
