"ple0020","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2009","66 and older","direct migration background","336","0.981524747391092","0.967231966990346","0.995817527791838","2"
"No","2009","66 and older","indirect migration background","6","","","","2"
"No","2009","16-34 y.","no migration background","3190","1","1","1","2"
"No","2009","16-34 y.","indirect migration background","518","1","1","1","2"
"No","2009","35-65 y.","no migration background","8675","0.998771731531416","0.998034942782488","0.999508520280344","2"
"No","2009","35-65 y.","direct migration background","1027","0.9946034106469","0.990127050074616","0.999079771219184","2"
"No","2009","66 and older","no migration background","3835","0.989515364570445","0.986307113449785","0.992723615691105","2"
"No","2009","16-34 y.","direct migration background","298","1","1","1","2"
"No","2009","35-65 y.","indirect migration background","191","1","1","1","2"
"Yes","2009","16-34 y.","no migration background","","","","","1"
"Yes","2009","16-34 y.","direct migration background","","","","","1"
"Yes","2009","16-34 y.","indirect migration background","","","","","1"
"Yes","2009","35-65 y.","no migration background","6","","","","1"
"Yes","2009","35-65 y.","direct migration background","2","","","","1"
"Yes","2009","35-65 y.","indirect migration background","","","","","1"
"Yes","2009","66 and older","no migration background","37","0.0104846354295554","0.00727638430889547","0.0136928865502153","1"
"Yes","2009","66 and older","direct migration background","5","","","","1"
"Yes","2009","66 and older","indirect migration background","","","","","1"
"No","2010","16-34 y.","no migration background","","","","","2"
"No","2010","16-34 y.","indirect migration background","","","","","2"
"No","2010","35-65 y.","no migration background","","","","","2"
"No","2010","35-65 y.","direct migration background","","","","","2"
"No","2010","66 and older","no migration background","","","","","2"
"No","2010","66 and older","direct migration background","","","","","2"
"No","2010","66 and older","indirect migration background","","","","","2"
"No","2010","16-34 y.","direct migration background","","","","","2"
"No","2010","35-65 y.","indirect migration background","","","","","2"
"Yes","2010","16-34 y.","no migration background","","","","","1"
"Yes","2010","16-34 y.","direct migration background","","","","","1"
"Yes","2010","16-34 y.","indirect migration background","","","","","1"
"Yes","2010","35-65 y.","no migration background","","","","","1"
"Yes","2010","35-65 y.","direct migration background","","","","","1"
"Yes","2010","35-65 y.","indirect migration background","","","","","1"
"Yes","2010","66 and older","no migration background","","","","","1"
"Yes","2010","66 and older","direct migration background","","","","","1"
"Yes","2010","66 and older","indirect migration background","","","","","1"
"No","2011","16-34 y.","no migration background","3415","0.999407502685173","0.99859147732474","1.00022352804561","2"
"No","2011","16-34 y.","direct migration background","369","1","1","1","2"
"No","2011","16-34 y.","indirect migration background","522","1","1","1","2"
"No","2011","35-65 y.","no migration background","9858","0.999226373161984","0.998677665174439","0.999775081149529","2"
"No","2011","35-65 y.","direct migration background","1227","0.99803766813433","0.995563484988648","1.00051185128001","2"
"No","2011","66 and older","no migration background","4713","0.987421461969913","0.984256126383689","0.990586797556137","2"
"No","2011","66 and older","direct migration background","415","0.974833033837097","0.95988884258492","0.989777225089275","2"
"No","2011","66 and older","indirect migration background","6","","","","2"
"No","2011","35-65 y.","indirect migration background","271","1","1","1","2"
"Yes","2011","16-34 y.","no migration background","1","","","","1"
"Yes","2011","16-34 y.","direct migration background","","","","","1"
"Yes","2011","16-34 y.","indirect migration background","","","","","1"
"Yes","2011","35-65 y.","no migration background","5","","","","1"
"Yes","2011","35-65 y.","direct migration background","2","","","","1"
"Yes","2011","35-65 y.","indirect migration background","","","","","1"
"Yes","2011","66 and older","no migration background","49","0.0125785380300868","0.00941320244386312","0.0157438736163105","1"
"Yes","2011","66 and older","direct migration background","7","","","","1"
"Yes","2011","66 and older","indirect migration background","","","","","1"
"No","2012","16-34 y.","no migration background","","","","","2"
"No","2012","16-34 y.","direct migration background","","","","","2"
"No","2012","16-34 y.","indirect migration background","","","","","2"
"No","2012","35-65 y.","no migration background","","","","","2"
"No","2012","35-65 y.","direct migration background","","","","","2"
"No","2012","66 and older","no migration background","","","","","2"
"No","2012","66 and older","direct migration background","","","","","2"
"No","2012","66 and older","indirect migration background","","","","","2"
"No","2012","35-65 y.","indirect migration background","","","","","2"
"Yes","2012","16-34 y.","no migration background","","","","","1"
"Yes","2012","16-34 y.","direct migration background","","","","","1"
"Yes","2012","16-34 y.","indirect migration background","","","","","1"
"Yes","2012","35-65 y.","no migration background","","","","","1"
"Yes","2012","35-65 y.","direct migration background","","","","","1"
"Yes","2012","35-65 y.","indirect migration background","","","","","1"
"Yes","2012","66 and older","no migration background","","","","","1"
"Yes","2012","66 and older","direct migration background","","","","","1"
"Yes","2012","66 and older","indirect migration background","","","","","1"
"No","2013","16-34 y.","no migration background","2997","0.999498920457134","0.998697838818099","1.00030000209617","2"
"No","2013","16-34 y.","direct migration background","286","1","1","1","2"
"No","2013","16-34 y.","indirect migration background","425","1","1","1","2"
"No","2013","35-65 y.","no migration background","8930","0.999055634721857","0.998418921052258","0.999692348391457","2"
"No","2013","35-65 y.","direct migration background","1032","0.991008553720267","0.985254932067592","0.996762175372943","2"
"No","2013","35-65 y.","indirect migration background","286","1","1","1","2"
"No","2013","66 and older","no migration background","4575","0.988815179250538","0.985783018768815","0.991847339732261","2"
"No","2013","66 and older","direct migration background","368","0.982501886012172","0.969248816202903","0.995754955821442","2"
"No","2013","66 and older","indirect migration background","4","","","","2"
"Yes","2013","16-34 y.","no migration background","1","","","","1"
"Yes","2013","16-34 y.","direct migration background","","","","","1"
"Yes","2013","16-34 y.","indirect migration background","","","","","1"
"Yes","2013","35-65 y.","no migration background","10","","","","1"
"Yes","2013","35-65 y.","direct migration background","2","","","","1"
"Yes","2013","35-65 y.","indirect migration background","","","","","1"
"Yes","2013","66 and older","no migration background","46","0.011184820749462","0.00815266026773932","0.0142169812311848","1"
"Yes","2013","66 and older","direct migration background","8","","","","1"
"Yes","2013","66 and older","indirect migration background","1","","","","1"
"No","2014","16-34 y.","no migration background","","","","","2"
"No","2014","16-34 y.","direct migration background","","","","","2"
"No","2014","16-34 y.","indirect migration background","","","","","2"
"No","2014","35-65 y.","no migration background","","","","","2"
"No","2014","35-65 y.","direct migration background","","","","","2"
"No","2014","35-65 y.","indirect migration background","","","","","2"
"No","2014","66 and older","no migration background","","","","","2"
"No","2014","66 and older","direct migration background","","","","","2"
"No","2014","66 and older","indirect migration background","","","","","2"
"Yes","2014","16-34 y.","no migration background","","","","","1"
"Yes","2014","16-34 y.","direct migration background","","","","","1"
"Yes","2014","16-34 y.","indirect migration background","","","","","1"
"Yes","2014","35-65 y.","no migration background","","","","","1"
"Yes","2014","35-65 y.","direct migration background","","","","","1"
"Yes","2014","35-65 y.","indirect migration background","","","","","1"
"Yes","2014","66 and older","no migration background","","","","","1"
"Yes","2014","66 and older","direct migration background","","","","","1"
"Yes","2014","66 and older","indirect migration background","","","","","1"
"No","2015","16-34 y.","no migration background","3730","0.999886429825456","0.999544541117277","1.00022831853363","2"
"No","2015","16-34 y.","direct migration background","1080","1","1","1","2"
"No","2015","16-34 y.","indirect migration background","957","0.999761193347448","0.998782747747494","1.0007396389474","2"
"No","2015","35-65 y.","no migration background","10952","0.997578875305766","0.996659006325954","0.998498744285577","2"
"No","2015","35-65 y.","direct migration background","2813","0.998940177783337","0.997737990043644","1.00014236552303","2"
"No","2015","35-65 y.","indirect migration background","670","1","1","1","2"
"No","2015","66 and older","no migration background","4471","0.988059492796133","0.984892625571539","0.991226360020727","2"
"No","2015","66 and older","direct migration background","417","0.979717352912266","0.966346876850873","0.99308782897366","2"
"No","2015","66 and older","indirect migration background","5","","","","2"
"Yes","2015","16-34 y.","no migration background","2","","","","1"
"Yes","2015","16-34 y.","direct migration background","","","","","1"
"Yes","2015","16-34 y.","indirect migration background","1","","","","1"
"Yes","2015","35-65 y.","no migration background","13","","","","1"
"Yes","2015","35-65 y.","direct migration background","1","","","","1"
"Yes","2015","35-65 y.","indirect migration background","","","","","1"
"Yes","2015","66 and older","no migration background","48","0.0119405072038669","0.00877363997927295","0.0151073744284609","1"
"Yes","2015","66 and older","direct migration background","10","","","","1"
"Yes","2015","66 and older","indirect migration background","","","","","1"
"No","2016","16-34 y.","no migration background","","","","","2"
"No","2016","16-34 y.","direct migration background","","","","","2"
"No","2016","16-34 y.","indirect migration background","","","","","2"
"No","2016","35-65 y.","no migration background","","","","","2"
"No","2016","35-65 y.","direct migration background","","","","","2"
"No","2016","35-65 y.","indirect migration background","","","","","2"
"No","2016","66 and older","no migration background","","","","","2"
"No","2016","66 and older","direct migration background","","","","","2"
"No","2016","66 and older","indirect migration background","","","","","2"
"Yes","2016","35-65 y.","no migration background","","","","","1"
"Yes","2016","16-34 y.","no migration background","","","","","1"
"Yes","2016","16-34 y.","direct migration background","","","","","1"
"Yes","2016","16-34 y.","indirect migration background","","","","","1"
"Yes","2016","35-65 y.","direct migration background","","","","","1"
"Yes","2016","35-65 y.","indirect migration background","","","","","1"
"Yes","2016","66 and older","no migration background","","","","","1"
"Yes","2016","66 and older","direct migration background","","","","","1"
"Yes","2016","66 and older","indirect migration background","","","","","1"
"No","2017","16-34 y.","no migration background","4094","0.999528688595106","0.998863997709823","1.00019337948039","2"
"No","2017","16-34 y.","direct migration background","1174","1","1","1","2"
"No","2017","16-34 y.","indirect migration background","973","0.998408272704668","0.995906002524145","1.00091054288519","2"
"No","2017","35-65 y.","no migration background","11649","0.998721200713993","0.998072561022485","0.9993698404055","2"
"No","2017","35-65 y.","direct migration background","3058","0.9993631320821","0.998469263391499","1.0002570007727","2"
"No","2017","35-65 y.","indirect migration background","724","1","1","1","2"
"No","2017","66 and older","no migration background","4538","0.986843463007288","0.983544571048474","0.990142354966101","2"
"No","2017","66 and older","direct migration background","428","0.98410351451467","0.972336286291811","0.99587074273753","2"
"No","2017","66 and older","indirect migration background","16","","","","2"
"Yes","2017","35-65 y.","no migration background","12","","","","1"
"Yes","2017","16-34 y.","no migration background","2","","","","1"
"Yes","2017","16-34 y.","direct migration background","","","","","1"
"Yes","2017","16-34 y.","indirect migration background","2","","","","1"
"Yes","2017","35-65 y.","direct migration background","2","","","","1"
"Yes","2017","35-65 y.","indirect migration background","","","","","1"
"Yes","2017","66 and older","no migration background","45","0.0131565369927125","0.00985764503389918","0.0164554289515258","1"
"Yes","2017","66 and older","direct migration background","6","","","","1"
"Yes","2017","66 and older","indirect migration background","","","","","1"
"No","2018","16-34 y.","no migration background","","","","","2"
"No","2018","16-34 y.","direct migration background","","","","","2"
"No","2018","16-34 y.","indirect migration background","","","","","2"
"No","2018","35-65 y.","no migration background","","","","","2"
"No","2018","35-65 y.","direct migration background","","","","","2"
"No","2018","35-65 y.","indirect migration background","","","","","2"
"No","2018","66 and older","no migration background","","","","","2"
"No","2018","66 and older","direct migration background","","","","","2"
