"ple0020","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Employed","Part Time","4228","0.998291651213338","0.997047445323647","0.999535857103029","2"
"No","2009","Not Employed","Full Time","","","","","2"
"No","2009","Not Employed","Part Time","","","","","2"
"No","2009","Employed","Not Working","","","","","2"
"No","2009","Not Employed","Not Working","6834","0.991590086557437","0.989432264028918","0.993747909085955","2"
"No","2009","Employed","Full Time","7014","1","1","1","2"
"Yes","2009","Not Employed","Full Time","","","","","1"
"Yes","2009","Not Employed","Part Time","","","","","1"
"Yes","2009","Not Employed","Not Working","46","0.00840991344256332","0.00625209091404465","0.010567735971082","1"
"Yes","2009","Employed","Full Time","","","","","1"
"Yes","2009","Employed","Part Time","4","","","","1"
"Yes","2009","Employed","Not Working","","","","","1"
"No","2010","Employed","Part Time","","","","","2"
"No","2010","Not Employed","Full Time","","","","","2"
"No","2010","Employed","Not Working","","","","","2"
"No","2010","Not Employed","Part Time","","","","","2"
"No","2010","Not Employed","Not Working","","","","","2"
"No","2010","Employed","Full Time","","","","","2"
"Yes","2010","Not Employed","Full Time","","","","","1"
"Yes","2010","Not Employed","Part Time","","","","","1"
"Yes","2010","Not Employed","Not Working","","","","","1"
"Yes","2010","Employed","Full Time","","","","","1"
"Yes","2010","Employed","Part Time","","","","","1"
"Yes","2010","Employed","Not Working","","","","","1"
"No","2011","Not Employed","Full Time","","","","","2"
"No","2011","Employed","Part Time","4903","0.999782950300032","0.999370657910449","1.00019524268962","2"
"No","2011","Employed","Not Working","","","","","2"
"No","2011","Not Employed","Part Time","","","","","2"
"No","2011","Not Employed","Not Working","8085","0.989641996172519","0.98744336196823","0.991840630376807","2"
"No","2011","Employed","Full Time","7808","0.999557368012527","0.999090872109078","1.00002386391598","2"
"Yes","2011","Not Employed","Full Time","","","","","1"
"Yes","2011","Not Employed","Part Time","","","","","1"
"Yes","2011","Not Employed","Not Working","61","0.0103580038274814","0.00815936962319295","0.0125566380317698","1"
"Yes","2011","Employed","Full Time","2","","","","1"
"Yes","2011","Employed","Part Time","1","","","","1"
"Yes","2011","Employed","Not Working","","","","","1"
"No","2012","Not Employed","Full Time","","","","","2"
"No","2012","Not Employed","Part Time","","","","","2"
"No","2012","Employed","Part Time","","","","","2"
"No","2012","Employed","Not Working","","","","","2"
"No","2012","Not Employed","Not Working","","","","","2"
"No","2012","Employed","Full Time","","","","","2"
"Yes","2012","Not Employed","Full Time","","","","","1"
"Yes","2012","Not Employed","Part Time","","","","","1"
"Yes","2012","Not Employed","Not Working","","","","","1"
"Yes","2012","Employed","Full Time","","","","","1"
"Yes","2012","Employed","Part Time","","","","","1"
"Yes","2012","Employed","Not Working","","","","","1"
"No","2013","Not Employed","Full Time","","","","","2"
"No","2013","Not Employed","Part Time","","","","","2"
"No","2013","Not Employed","Not Working","7312","0.989769821099541","0.987473427355373","0.992066214843709","2"
"No","2013","Employed","Full Time","6997","1","1","1","2"
"No","2013","Employed","Part Time","4594","0.998764978399136","0.997749822980595","0.999780133817677","2"
"No","2013","Employed","Not Working","","","","","2"
"Yes","2013","Not Employed","Full Time","","","","","1"
"Yes","2013","Not Employed","Part Time","","","","","1"
"Yes","2013","Not Employed","Not Working","64","0.0102301789004594","0.00793378515629126","0.0125265726446275","1"
"Yes","2013","Employed","Full Time","","","","","1"
"Yes","2013","Employed","Part Time","4","","","","1"
"Yes","2013","Employed","Not Working","","","","","1"
"No","2014","Not Employed","Full Time","","","","","2"
"No","2014","Not Employed","Part Time","","","","","2"
"No","2014","Not Employed","Not Working","","","","","2"
"No","2014","Employed","Full Time","","","","","2"
"No","2014","Employed","Part Time","","","","","2"
"No","2014","Employed","Not Working","","","","","2"
"Yes","2014","Not Employed","Full Time","","","","","1"
"Yes","2014","Not Employed","Part Time","","","","","1"
"Yes","2014","Not Employed","Not Working","","","","","1"
"Yes","2014","Employed","Full Time","","","","","1"
"Yes","2014","Employed","Part Time","","","","","1"
"Yes","2014","Employed","Not Working","","","","","1"
"No","2015","Not Employed","Full Time","","","","","2"
"No","2015","Not Employed","Part Time","","","","","2"
"No","2015","Not Employed","Not Working","8440","0.990372396541645","0.98829739589981","0.992447397183481","2"
"No","2015","Employed","Full Time","9521","0.998225119571376","0.99737976832932","0.999070470813433","2"
"No","2015","Employed","Part Time","7134","0.999544026066071","0.999048803561462","1.00003924857068","2"
"No","2015","Employed","Not Working","","","","","2"
"Yes","2015","Not Employed","Full Time","","","","","1"
"Yes","2015","Not Employed","Part Time","","","","","1"
"Yes","2015","Not Employed","Not Working","67","0.00962760345835498","0.0075526028165196","0.0117026041001904","1"
"Yes","2015","Employed","Full Time","3","","","","1"
"Yes","2015","Employed","Part Time","5","","","","1"
"Yes","2015","Employed","Not Working","","","","","1"
"No","2016","Not Employed","Full Time","","","","","2"
"No","2016","Not Employed","Part Time","","","","","2"
"No","2016","Not Employed","Not Working","","","","","2"
"No","2016","Employed","Full Time","","","","","2"
"No","2016","Employed","Part Time","","","","","2"
"No","2016","Employed","Not Working","","","","","2"
"Yes","2016","Not Employed","Not Working","","","","","1"
"Yes","2016","Employed","Full Time","","","","","1"
"Yes","2016","Not Employed","Full Time","","","","","1"
"Yes","2016","Not Employed","Part Time","","","","","1"
"Yes","2016","Employed","Part Time","","","","","1"
"Yes","2016","Employed","Not Working","","","","","1"
"No","2017","Not Employed","Full Time","","","","","2"
"No","2017","Not Employed","Part Time","","","","","2"
"No","2017","Not Employed","Not Working","8576","0.990259781226816","0.988188204634595","0.992331357819036","2"
"No","2017","Employed","Full Time","10400","0.999033639946724","0.998436737818407","0.999630542075042","2"
"No","2017","Employed","Part Time","7678","0.999401334191967","0.998854280855902","0.999948387528032","2"
"No","2017","Employed","Not Working","","","","","2"
"Yes","2017","Not Employed","Not Working","58","0.00974021877318438","0.00766864218096374","0.011811795365405","1"
"Yes","2017","Employed","Full Time","9","","","","1"
"Yes","2017","Employed","Part Time","2","","","","1"
"Yes","2017","Not Employed","Full Time","","","","","1"
"Yes","2017","Not Employed","Part Time","","","","","1"
"Yes","2017","Employed","Not Working","","","","","1"
"No","2018","Not Employed","Full Time","","","","","2"
"No","2018","Not Employed","Part Time","","","","","2"
"No","2018","Not Employed","Not Working","","","","","2"
"No","2018","Employed","Full Time","","","","","2"
"No","2018","Employed","Part Time","","","","","2"
"No","2018","Employed","Not Working","","","","","2"
"Yes","2018","Not Employed","Not Working","","","","","1"
"Yes","2018","Employed","Full Time","","","","","1"
"Yes","2018","Employed","Part Time","","","","","1"
"Yes","2018","Not Employed","Full Time","","","","","1"
"Yes","2018","Employed","Not Working","","","","","1"
"Yes","2018","Not Employed","Part Time","","","","","1"
"No","2019","Not Employed","Full Time","","","","","2"
"No","2019","Not Employed","Part Time","","","","","2"
"No","2019","Not Employed","Not Working","8049","0.990513788801774","0.988405678861883","0.992621898741665","2"
"No","2019","Employed","Full Time","10514","0.999576778121927","0.999183760779316","0.999969795464537","2"
"No","2019","Employed","Part Time","7230","0.99933008737968","0.998733969200838","0.999926205558521","2"
"No","2019","Employed","Not Working","","","","","2"
"Yes","2019","Not Employed","Not Working","73","0.0094862111982263","0.0073781012583353","0.0115943211381173","1"
"Yes","2019","Employed","Full Time","7","","","","1"
"Yes","2019","Not Employed","Full Time","","","","","1"
"Yes","2019","Employed","Part Time","7","","","","1"
"Yes","2019","Employed","Not Working","","","","","1"
"Yes","2019","Not Employed","Part Time","","","","","1"
