"year","migback","sampreg","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90","lowerci_median","upperci_median"
"2005","no migration background","Westdeutschland, alte Bundeslaender","Male","2.42","2","6010","2.38","2.46","1","1","3","5","2","2"
"2005","no migration background","Westdeutschland, alte Bundeslaender","Female","2.16","2","6558","2.12","2.2","1","1","3","4","2","2"
"2005","no migration background","Ostdeutschland, neue Bundeslaender","Male","2.33","2","2359","2.27","2.39","1","1","3","5","2","2"
"2005","no migration background","Ostdeutschland, neue Bundeslaender","Female","1.93","1","2542","1.88","1.98","1","1","2","4","1","1"
"2005","direct migration background","Westdeutschland, alte Bundeslaender","Male","2.21","2","1065","2.12","2.3","1","1","3","5","2","2"
"2005","direct migration background","Westdeutschland, alte Bundeslaender","Female","2","1","1193","1.92","2.08","1","1","2","4","1","1"
"2005","direct migration background","Ostdeutschland, neue Bundeslaender","Male","2.32","2","42","1.92","2.72","1","1","3","6","1","2"
"2005","direct migration background","Ostdeutschland, neue Bundeslaender","Female","2.01","2","58","1.72","2.3","1","1","3","4","1","2"
"2005","indirect migration background","Westdeutschland, alte Bundeslaender","Male","3.1","3","386","2.92","3.28","1","2","4","6","2","3"
"2005","indirect migration background","Westdeutschland, alte Bundeslaender","Female","2.48","2","407","2.33","2.63","1","1","4","5","2","2"
"2005","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2005","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2006","no migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2006","no migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2006","no migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2006","no migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2006","direct migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2006","direct migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2006","direct migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
