"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","2.1","1","2358","1","1","3","5","2.04","2.16","1","2"
"2005","indirect migration background","2.8","2","828","1","1","4","5","2.68","2.92","2","2"
"2005","no migration background","2.25","2","17469","1","1","3","5","2.23","2.27","2","2"
"2006","direct migration background","","","","","","","","","","",""
"2006","indirect migration background","","","","","","","","","","",""
"2006","no migration background","","","","","","","","","","",""
"2007","direct migration background","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","",""
"2008","direct migration background","","","","","","","","","","",""
"2008","indirect migration background","","","","","","","","","","",""
"2008","no migration background","","","","","","","","","","",""
"2009","direct migration background","2.29","2","1645","1","1","3","5","2.22","2.36","2","2"
"2009","indirect migration background","2.83","2","709","1","1","4","6","2.7","2.96","2","3"
"2009","no migration background","2.49","2","15602","1","1","4","5","2.47","2.51","2","2"
"2010","direct migration background","","","","","","","","","","",""
"2010","indirect migration background","","","","","","","","","","",""
"2010","no migration background","","","","","","","","","","",""
"2011","direct migration background","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","",""
"2012","direct migration background","2.19","2","1087","1","1","3","5","2.1","2.28","2","2"
"2012","indirect migration background","2.87","2","484","1","1","4","5","2.71","3.03","2","2"
"2012","no migration background","2.49","2","5553","1","1","4","5","2.45","2.53","2","2"
"2013","direct migration background","2.31","2","1675","1","1","3","5","2.24","2.38","2","2"
"2013","indirect migration background","2.97","3","714","1","1","4","6","2.84","3.1","2","3"
"2013","no migration background","2.49","2","16431","1","1","4","5","2.47","2.51","2","2"
"2014","direct migration background","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","",""
"2015","direct migration background","","","","","","","","","","",""
"2015","indirect migration background","","","","","","","","","","",""
"2015","no migration background","","","","","","","","","","",""
"2016","direct migration background","","","","","","","","","","",""
"2016","indirect migration background","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","",""
"2017","direct migration background","2.35","2","7268","1","1","3","5","2.32","2.38","1","1"
"2017","indirect migration background","3.23","3","1713","1","2","5","6","3.15","3.31","2","3"
"2017","no migration background","2.7","2","20279","1","1","4","5","2.68","2.72","2","2"
"2018","direct migration background","","","","","","","","","","",""
"2018","indirect migration background","","","","","","","","","","",""
"2018","no migration background","","","","","","","","","","",""
"2019","direct migration background","2.28","2","3827","1","1","3","5","2.23","2.33","2","2"
"2019","indirect migration background","3.01","3","1694","1","2","4","5","2.93","3.09","2","2"
"2019","no migration background","2.57","2","20197","1","1","4","5","2.55","2.59","2","2"
