"year","education","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","general elemantary","","","","","","","","","","",""
"2005","college entrance qualification","higher education","2.42","2","3161","1","1","3","5","2.37","2.47","2","2"
"2005","college entrance qualification","higher vocational","2.53","2","345","1","1","4","5","2.37","2.69","2","2"
"2005","college entrance qualification","in school","","","","","","","","","","",""
"2005","college entrance qualification","inadequately","","","","","","","","","","",""
"2005","college entrance qualification","middle vocational","3.31","3","731","1","2","5","6","3.19","3.43","3","3"
"2005","college entrance qualification","vocational + Abi","2.51","2","954","1","1","3","5","2.42","2.6","2","2"
"2005","lower secondary degree","general elemantary","2.11","1","1490","1","1","3","4","2.03","2.19","1","2"
"2005","lower secondary degree","higher education","2.01","2","182","1","1","2","5","1.81","2.21","1","2"
"2005","lower secondary degree","higher vocational","1.89","1","452","1","1","2","4","1.77","2.01","1","2"
"2005","lower secondary degree","in school","","","","","","","","","","",""
"2005","lower secondary degree","inadequately","","","","","","","","","","",""
"2005","lower secondary degree","middle vocational","2","1","4918","1","1","2","4","1.96","2.04","1","1"
"2005","lower secondary degree","vocational + Abi","","","","","","","","","","",""
"2005","no degree/no degree yet","general elemantary","","","","","","","","","","",""
"2005","no degree/no degree yet","higher education","","","","","","","","","","",""
"2005","no degree/no degree yet","higher vocational","","","","","","","","","","",""
"2005","no degree/no degree yet","in school","3.7","4","647","1","2","5","6","3.56","3.84","3","4"
"2005","no degree/no degree yet","inadequately","2.29","2","199","1","1","3","4","2.06","2.52","1","2"
"2005","no degree/no degree yet","middle vocational","2.62","3","46","1","1","4","6","2.12","3.12","1","3"
"2005","no degree/no degree yet","vocational + Abi","","","","","","","","","","",""
"2005","Other degree","general elemantary","1.87","1","328","1","1","2","4","1.73","2.01","1","2"
"2005","Other degree","higher education","1.88","1","187","1","1","2","4","1.69","2.07","1","2"
"2005","Other degree","higher vocational","1.88","1","54","1","1","2","4","1.54","2.22","1","2"
"2005","Other degree","in school","","","","","","","","","","",""
"2005","Other degree","inadequately","3.11","3","37","1","2","4","6","2.48","3.74","2","4"
"2005","Other degree","middle vocational","1.97","1","386","1","1","3","4","1.83","2.11","1","2"
"2005","Other degree","vocational + Abi","1.92","1","121","1","1","3","4","1.67","2.17","1","2"
"2005","secondary school degree","general elemantary","2.97","2","576","1","1","4","6","2.83","3.11","2","3"
"2005","secondary school degree","higher education","1.91","1","620","1","1","2","4","1.81","2.01","1","2"
"2005","secondary school degree","higher vocational","2.07","2","691","1","1","2","4","1.97","2.17","1","2"
"2005","secondary school degree","in school","","","","","","","","","","",""
"2005","secondary school degree","inadequately","","","","","","","","","","",""
"2005","secondary school degree","middle vocational","2.17","2","4080","1","1","3","5","2.13","2.21","2","2"
"2005","secondary school degree","vocational + Abi","2.71","2","35","1","1","4","5","2.21","3.21","1","3"
"2006","college entrance qualification","general elemantary","","","","","","","","","","",""
"2006","college entrance qualification","higher education","","","","","","","","","","",""
"2006","college entrance qualification","higher vocational","","","","","","","","","","",""
"2006","college entrance qualification","in school","","","","","","","","","","",""
"2006","college entrance qualification","inadequately","","","","","","","","","","",""
"2006","college entrance qualification","middle vocational","","","","","","","","","","",""
"2006","college entrance qualification","vocational + Abi","","","","","","","","","","",""
"2006","lower secondary degree","general elemantary","","","","","","","","","","",""
"2006","lower secondary degree","higher education","","","","","","","","","","",""
"2006","lower secondary degree","higher vocational","","","","","","","","","","",""
"2006","lower secondary degree","in school","","","","","","","","","","",""
"2006","lower secondary degree","inadequately","","","","","","","","","","",""
"2006","lower secondary degree","middle vocational","","","","","","","","","","",""
"2006","lower secondary degree","vocational + Abi","","","","","","","","","","",""
"2006","no degree/no degree yet","general elemantary","","","","","","","","","","",""
"2006","no degree/no degree yet","higher education","","","","","","","","","","",""
"2006","no degree/no degree yet","higher vocational","","","","","","","","","","",""
"2006","no degree/no degree yet","in school","","","","","","","","","","",""
"2006","no degree/no degree yet","inadequately","","","","","","","","","","",""
"2006","no degree/no degree yet","middle vocational","","","","","","","","","","",""
"2006","no degree/no degree yet","vocational + Abi","","","","","","","","","","",""
"2006","Other degree","general elemantary","","","","","","","","","","",""
"2006","Other degree","higher education","","","","","","","","","","",""
"2006","Other degree","higher vocational","","","","","","","","","","",""
"2006","Other degree","in school","","","","","","","","","","",""
"2006","Other degree","inadequately","","","","","","","","","","",""
"2006","Other degree","middle vocational","","","","","","","","","","",""
"2006","Other degree","vocational + Abi","","","","","","","","","","",""
"2006","secondary school degree","general elemantary","","","","","","","","","","",""
"2006","secondary school degree","higher education","","","","","","","","","","",""
"2006","secondary school degree","higher vocational","","","","","","","","","","",""
"2006","secondary school degree","in school","","","","","","","","","","",""
"2006","secondary school degree","inadequately","","","","","","","","","","",""
"2006","secondary school degree","middle vocational","","","","","","","","","","",""
"2006","secondary school degree","vocational + Abi","","","","","","","","","","",""
"2007","college entrance qualification","general elemantary","","","","","","","","","","",""
"2007","college entrance qualification","higher education","","","","","","","","","","",""
"2007","college entrance qualification","higher vocational","","","","","","","","","","",""
"2007","college entrance qualification","in school","","","","","","","","","","",""
"2007","college entrance qualification","inadequately","","","","","","","","","","",""
"2007","college entrance qualification","middle vocational","","","","","","","","","","",""
"2007","college entrance qualification","vocational + Abi","","","","","","","","","","",""
"2007","lower secondary degree","general elemantary","","","","","","","","","","",""
"2007","lower secondary degree","higher education","","","","","","","","","","",""
"2007","lower secondary degree","higher vocational","","","","","","","","","","",""
"2007","lower secondary degree","in school","","","","","","","","","","",""
"2007","lower secondary degree","inadequately","","","","","","","","","","",""
"2007","lower secondary degree","middle vocational","","","","","","","","","","",""
"2007","lower secondary degree","vocational + Abi","","","","","","","","","","",""
"2007","no degree/no degree yet","general elemantary","","","","","","","","","","",""
"2007","no degree/no degree yet","higher education","","","","","","","","","","",""
"2007","no degree/no degree yet","higher vocational","","","","","","","","","","",""
"2007","no degree/no degree yet","in school","","","","","","","","","","",""
"2007","no degree/no degree yet","inadequately","","","","","","","","","","",""
"2007","no degree/no degree yet","middle vocational","","","","","","","","","","",""
"2007","no degree/no degree yet","vocational + Abi","","","","","","","","","","",""
"2007","Other degree","general elemantary","","","","","","","","","","",""
