"plh0214","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","Male","1273","0.200104221991022","0.190457255592738","0.209751188389305","1"
"1 Strongly disagree","2005","Urban Area","Female","2245","0.327873943593595","0.317058418160694","0.338689469026496","1"
"1 Strongly disagree","2005","Rural Area","Male","572","0.196954766842","0.183359069394841","0.210550464289159","1"
"1 Strongly disagree","2005","Rural Area","Female","1016","0.31298655508541","0.297734856493475","0.328238253677345","1"
"2 on scale 1-7 ","2005","Urban Area","Female","1869","0.248990768170108","0.239027930250627","0.258953606089588","2"
"2 on scale 1-7 ","2005","Rural Area","Male","711","0.204640647547092","0.190848690822805","0.218432604271379","2"
"2 on scale 1-7 ","2005","Rural Area","Female","921","0.240629146256678","0.226569518191604","0.254688774321752","2"
"2 on scale 1-7 ","2005","Urban Area","Male","1470","0.214889207031846","0.204985022735005","0.224793391328687","2"
"3 on scale 1-7 ","2005","Urban Area","Female","1064","0.142878726073396","0.134816151833491","0.150941300313301","3"
"3 on scale 1-7 ","2005","Rural Area","Male","537","0.156356843633436","0.143940718516803","0.16877296875007","3"
"3 on scale 1-7 ","2005","Rural Area","Female","532","0.147490302150662","0.13582746661137","0.159153137689955","3"
"3 on scale 1-7 ","2005","Urban Area","Male","1136","0.165463920073238","0.156503669580953","0.174424170565522","3"
"4 on scale 1-7","2005","Rural Area","Female","447","0.119816774513529","0.109135622137512","0.130497926889546","4"
"4 on scale 1-7","2005","Urban Area","Female","871","0.121851665000642","0.114315186236837","0.129388143764447","4"
"4 on scale 1-7","2005","Rural Area","Male","610","0.190213311631564","0.176796355214619","0.20363026804851","4"
"4 on scale 1-7","2005","Urban Area","Male","1081","0.173759239257721","0.164622879359009","0.182895599156432","4"
"5 on scale 1-7","2005","Rural Area","Male","529","0.152300883076391","0.140017434413598","0.164584331739184","5"
"5 on scale 1-7","2005","Urban Area","Female","738","0.0999700744148842","0.0930592113571838","0.106880937472585","5"
"5 on scale 1-7","2005","Urban Area","Male","1032","0.154197639138313","0.145489622576381","0.162905655700246","5"
"5 on scale 1-7","2005","Rural Area","Female","386","0.105300145285515","0.0952046896765646","0.115395600894465","5"
"6 on scale 1-7","2005","Rural Area","Male","253","0.0749940816955298","0.0659901127084936","0.083998050682566","6"
"6 on scale 1-7","2005","Rural Area","Female","178","0.0504995734809304","0.043297389820167","0.0577017571416938","6"
"6 on scale 1-7","2005","Urban Area","Female","323","0.0406372141437838","0.0360881485142405","0.0451862797733271","6"
"6 on scale 1-7","2005","Urban Area","Male","424","0.0614211179135783","0.0556316295527211","0.0672106062744355","6"
"7 Strongly agree","2005","Rural Area","Female","71","0.0232775032272753","0.0183181327989889","0.0282368736555617","7"
"7 Strongly agree","2005","Urban Area","Female","127","0.0177976086035908","0.0147514667475159","0.0208437504596657","7"
