"plh0214","year","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","no migration background","4150","0.254908572227549","0.248449612066527","0.261367532388571","1"
"1 Strongly disagree","2005","direct migration background","767","0.323427557685297","0.304562688100038","0.342292427270557","1"
"1 Strongly disagree","2005","indirect migration background","189","0.230812222479644","0.202164297689015","0.259460147270273","1"
"2 on scale 1-7 ","2005","no migration background","4232","0.231624709875919","0.225372338856964","0.237877080894875","2"
"2 on scale 1-7 ","2005","indirect migration background","204","0.221574003449846","0.193337192436359","0.249810814463332","2"
"2 on scale 1-7 ","2005","direct migration background","535","0.218742629240449","0.202071234980505","0.235414023500394","2"
"3 on scale 1-7 ","2005","no migration background","2794","0.154316445779077","0.148962479263655","0.159670412294499","3"
"3 on scale 1-7 ","2005","direct migration background","330","0.137058279689264","0.123189076344428","0.150927483034101","3"
"3 on scale 1-7 ","2005","indirect migration background","145","0.184637574970094","0.158257078186062","0.211018071754126","3"
"4 on scale 1-7","2005","no migration background","2573","0.149618542762149","0.144332079684816","0.154905005839482","4"
"4 on scale 1-7","2005","indirect migration background","118","0.163573114744167","0.13842429935489","0.188721930133444","4"
"4 on scale 1-7","2005","direct migration background","318","0.142392452773614","0.128299696956882","0.156485208590346","4"
"5 on scale 1-7","2005","no migration background","2310","0.128115732270317","0.123162413767317","0.133069050773317","5"
"5 on scale 1-7","2005","direct migration background","266","0.116597423985777","0.103654513343251","0.129540334628303","5"
"5 on scale 1-7","2005","indirect migration background","109","0.134946799921717","0.111716742527334","0.1581768573161","5"
"6 on scale 1-7","2005","indirect migration background","45","0.0437462158100217","0.0298401459098334","0.05765228571021","6"
"6 on scale 1-7","2005","direct migration background","93","0.0382417274225258","0.0305076260442796","0.045975828800772","6"
"6 on scale 1-7","2005","no migration background","1040","0.0573926210720677","0.0539454800613768","0.0608397620827585","6"
"7 Strongly agree","2005","indirect migration background","21","","","","7"
"7 Strongly agree","2005","no migration background","390","0.0240233760129205","0.0217540215840255","0.0262927304418155","7"
"7 Strongly agree","2005","direct migration background","53","0.0235399292030723","0.0174257527943411","0.0296541056118034","7"
"1 Strongly disagree","2006","no migration background","","","","","1"
"1 Strongly disagree","2006","direct migration background","","","","","1"
"1 Strongly disagree","2006","indirect migration background","","","","","1"
"2 on scale 1-7 ","2006","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","no migration background","","","","","2"
"2 on scale 1-7 ","2006","direct migration background","","","","","2"
"3 on scale 1-7 ","2006","no migration background","","","","","3"
"3 on scale 1-7 ","2006","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","indirect migration background","","","","","3"
"4 on scale 1-7","2006","indirect migration background","","","","","4"
"4 on scale 1-7","2006","no migration background","","","","","4"
"4 on scale 1-7","2006","direct migration background","","","","","4"
"5 on scale 1-7","2006","indirect migration background","","","","","5"
"5 on scale 1-7","2006","no migration background","","","","","5"
"5 on scale 1-7","2006","direct migration background","","","","","5"
"6 on scale 1-7","2006","indirect migration background","","","","","6"
"6 on scale 1-7","2006","direct migration background","","","","","6"
"6 on scale 1-7","2006","no migration background","","","","","6"
"7 Strongly agree","2006","indirect migration background","","","","","7"
"7 Strongly agree","2006","no migration background","","","","","7"
"7 Strongly agree","2006","direct migration background","","","","","7"
"1 Strongly disagree","2007","direct migration background","","","","","1"
"1 Strongly disagree","2007","indirect migration background","","","","","1"
"1 Strongly disagree","2007","no migration background","","","","","1"
"2 on scale 1-7 ","2007","no migration background","","","","","2"
