"plh0214","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","West Germany","3067","0.265000009175947","0.257132170593763","0.272867847758131","1"
"1 Strongly disagree","2005","Urban Area","East Germany","451","0.273061239693522","0.252228751130447","0.293893728256598","1"
"1 Strongly disagree","2005","Rural Area","West Germany","815","0.257334554316053","0.242972063664311","0.271697044967795","1"
"1 Strongly disagree","2005","Rural Area","East Germany","773","0.255942466155432","0.241005863876908","0.270879068433956","1"
"2 on scale 1-7 ","2005","Urban Area","East Germany","450","0.263441510489202","0.242844322445428","0.284038698532976","2"
"2 on scale 1-7 ","2005","Rural Area","West Germany","822","0.215535199523222","0.202025990215292","0.229044408831152","2"
"2 on scale 1-7 ","2005","Rural Area","East Germany","810","0.235601003126416","0.221075673238587","0.250126333014246","2"
"2 on scale 1-7 ","2005","Urban Area","West Germany","2889","0.229109348948473","0.221617196167657","0.23660150172929","2"
"3 on scale 1-7 ","2005","Urban Area","East Germany","279","0.147761845921232","0.131168886507842","0.164354805334622","3"
"3 on scale 1-7 ","2005","Rural Area","West Germany","553","0.150700945140106","0.138947304577777","0.162454585702435","3"
"3 on scale 1-7 ","2005","Rural Area","East Germany","516","0.153534068631898","0.141194939656684","0.165873197607112","3"
"3 on scale 1-7 ","2005","Urban Area","West Germany","1921","0.154505012983825","0.148061604925668","0.160948421041981","3"
"4 on scale 1-7","2005","Rural Area","East Germany","478","0.147160409767098","0.135034717191129","0.159286102343066","4"
"4 on scale 1-7","2005","Urban Area","East Germany","241","0.133685605090521","0.117772962851278","0.149598247329763","4"
"4 on scale 1-7","2005","Rural Area","West Germany","579","0.158074164190889","0.146088793727132","0.170059534654646","4"
"4 on scale 1-7","2005","Urban Area","West Germany","1711","0.148507222261657","0.142167750060552","0.154846694462762","4"
"5 on scale 1-7","2005","Rural Area","West Germany","484","0.131645189054664","0.120537206202017","0.142753171907311","5"
"5 on scale 1-7","2005","Urban Area","East Germany","201","0.109254262247955","0.0946675209339066","0.123841003562004","5"
"5 on scale 1-7","2005","Urban Area","West Germany","1569","0.128145231705448","0.122186386155881","0.134104077255015","5"
"5 on scale 1-7","2005","Rural Area","East Germany","431","0.122259216413619","0.111046745597406","0.133471687229833","5"
"6 on scale 1-7","2005","Rural Area","West Germany","222","0.06265369278921","0.0546919623413015","0.0706154232371184","6"
"6 on scale 1-7","2005","Rural Area","East Germany","209","0.0618854145207688","0.0536383483537987","0.0701324806877389","6"
"6 on scale 1-7","2005","Urban Area","East Germany","98","0.0518698118742899","0.0415004141123462","0.0622392096362337","6"
"6 on scale 1-7","2005","Urban Area","West Germany","649","0.0506177547294213","0.0467096983421857","0.0545258111166569","6"
"7 Strongly agree","2005","Rural Area","East Germany","62","0.0236174213847681","0.0184198120614932","0.0288150307080429","7"
"7 Strongly agree","2005","Urban Area","East Germany","37","0.0209257246832779","0.0142328871349624","0.0276185622315934","7"
"7 Strongly agree","2005","Rural Area","West Germany","84","0.0240562549858561","0.0190222864268726","0.0290902235448395","7"
"7 Strongly agree","2005","Urban Area","West Germany","281","0.024115420195228","0.0213805578318645","0.0268502825585915","7"
"1 Strongly disagree","2006","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2006","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2006","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2006","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2006","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2006","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2006","Rural Area","East Germany","","","","","2"
"2 on scale 1-7 ","2006","Urban Area","West Germany","","","","","2"
"3 on scale 1-7 ","2006","Urban Area","East Germany","","","","","3"
"3 on scale 1-7 ","2006","Rural Area","East Germany","","","","","3"
"3 on scale 1-7 ","2006","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2006","Rural Area","West Germany","","","","","3"
"4 on scale 1-7","2006","Urban Area","East Germany","","","","","4"
"4 on scale 1-7","2006","Rural Area","West Germany","","","","","4"
"4 on scale 1-7","2006","Rural Area","East Germany","","","","","4"
"4 on scale 1-7","2006","Urban Area","West Germany","","","","","4"
"5 on scale 1-7","2006","Rural Area","West Germany","","","","","5"
"5 on scale 1-7","2006","Urban Area","East Germany","","","","","5"
"5 on scale 1-7","2006","Rural Area","East Germany","","","","","5"
"5 on scale 1-7","2006","Urban Area","West Germany","","","","","5"
"6 on scale 1-7","2006","Rural Area","West Germany","","","","","6"
"6 on scale 1-7","2006","Urban Area","East Germany","","","","","6"
"6 on scale 1-7","2006","Rural Area","East Germany","","","","","6"
"6 on scale 1-7","2006","Urban Area","West Germany","","","","","6"
"7 Strongly agree","2006","Urban Area","East Germany","","","","","7"
"7 Strongly agree","2006","Rural Area","West Germany","","","","","7"
"7 Strongly agree","2006","Rural Area","East Germany","","","","","7"
"7 Strongly agree","2006","Urban Area","West Germany","","","","","7"
"1 Strongly disagree","2007","Urban Area","West Germany","","","","","1"
"1 Strongly disagree","2007","Urban Area","East Germany","","","","","1"
"1 Strongly disagree","2007","Rural Area","West Germany","","","","","1"
"1 Strongly disagree","2007","Rural Area","East Germany","","","","","1"
"2 on scale 1-7 ","2007","Urban Area","East Germany","","","","","2"
"2 on scale 1-7 ","2007","Urban Area","West Germany","","","","","2"
"2 on scale 1-7 ","2007","Rural Area","West Germany","","","","","2"
"2 on scale 1-7 ","2007","Rural Area","East Germany","","","","","2"
"3 on scale 1-7 ","2007","Urban Area","West Germany","","","","","3"
"3 on scale 1-7 ","2007","Urban Area","East Germany","","","","","3"
