"plh0214","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","in school","","","",""
"1 Strongly disagree","2005","lower secondary degree","inadequately","","","",""
"1 Strongly disagree","2005","lower secondary degree","general elemantary","489","0.345380870895694","0.321269812304393","0.369491929486995"
"1 Strongly disagree","2005","lower secondary degree","middle vocational","1316","0.283887846334678","0.271299268665379","0.296476424003977"
"1 Strongly disagree","2005","lower secondary degree","vocational + Abi","8","","",""
"1 Strongly disagree","2005","lower secondary degree","higher vocational","107","0.287670094708676","0.245845688777244","0.329494500640108"
"1 Strongly disagree","2005","lower secondary degree","higher education","53","0.318111174567783","0.250632150094964","0.385590199040602"
"1 Strongly disagree","2005","secondary school degree","in school","","","",""
"1 Strongly disagree","2005","secondary school degree","inadequately","","","",""
"1 Strongly disagree","2005","secondary school degree","general elemantary","122","0.225101593670133","0.190934832371733","0.259268354968533"
"1 Strongly disagree","2005","secondary school degree","middle vocational","986","0.250549728348818","0.237259770512787","0.263839686184849"
"1 Strongly disagree","2005","secondary school degree","vocational + Abi","14","","",""
"1 Strongly disagree","2005","secondary school degree","higher vocational","157","0.205619387859312","0.175507263675883","0.235731512042741"
"1 Strongly disagree","2005","secondary school degree","higher education","148","0.264344519578901","0.229660878463167","0.299028160694635"
"1 Strongly disagree","2005","college entrance qualification","in school","","","",""
"1 Strongly disagree","2005","college entrance qualification","inadequately","","","",""
"1 Strongly disagree","2005","college entrance qualification","general elemantary","","","",""
"1 Strongly disagree","2005","college entrance qualification","middle vocational","127","0.177471104125041","0.14979327918928","0.205148929060803"
"1 Strongly disagree","2005","college entrance qualification","vocational + Abi","198","0.223085686659964","0.196654050023983","0.249517323295945"
"1 Strongly disagree","2005","college entrance qualification","higher vocational","62","0.189799392921121","0.14853959987746","0.231059185964781"
"1 Strongly disagree","2005","college entrance qualification","higher education","615","0.197924066366213","0.184027769817905","0.21182036291452"
"1 Strongly disagree","2005","Other degree","in school","","","",""
"1 Strongly disagree","2005","Other degree","inadequately","10","","",""
"1 Strongly disagree","2005","Other degree","general elemantary","120","0.379848159493755","0.327482671778226","0.432213647209285"
"1 Strongly disagree","2005","Other degree","middle vocational","132","0.317101076242577","0.270738273667193","0.363463878817961"
"1 Strongly disagree","2005","Other degree","vocational + Abi","38","0.340467097778516","0.256034293598048","0.424899901958984"
"1 Strongly disagree","2005","Other degree","higher vocational","22","","",""
"1 Strongly disagree","2005","Other degree","higher education","65","0.350695902392361","0.282302106918976","0.419089697865747"
