"plh0214","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","Urban Area","2736","0.258803716532816","0.250678612080205","0.266928820985426"
"1 Strongly disagree","2005","no migration background","Rural Area","1414","0.247393852741008","0.236761545779761","0.258026159702256"
"1 Strongly disagree","2005","direct migration background","Urban Area","616","0.311581742978477","0.291067573544236","0.332095912412719"
"1 Strongly disagree","2005","direct migration background","Rural Area","151","0.380709038118461","0.33336106711486","0.428057009122063"
"1 Strongly disagree","2005","indirect migration background","Urban Area","166","0.230293909229662","0.199626118186209","0.260961700273116"
"1 Strongly disagree","2005","indirect migration background","Rural Area","23","","",""
"2 on scale 1-7 ","2005","no migration background","Urban Area","2712","0.235420730471037","0.227550078794854","0.24329138214722"
"2 on scale 1-7 ","2005","no migration background","Rural Area","1520","0.224301225121101","0.214023155636456","0.234579294605746"
"2 on scale 1-7 ","2005","direct migration background","Urban Area","452","0.220663990997471","0.202295653383577","0.239032328611366"
"2 on scale 1-7 ","2005","direct migration background","Rural Area","83","0.209451715224504","0.169772454743285","0.249130975705722"
"2 on scale 1-7 ","2005","indirect migration background","Urban Area","175","0.221370992216273","0.191129413898393","0.251612570534153"
"2 on scale 1-7 ","2005","indirect migration background","Rural Area","29","","",""
"3 on scale 1-7 ","2005","no migration background","Urban Area","1787","0.153316480515764","0.146632548010432","0.160000413021096"
"3 on scale 1-7 ","2005","no migration background","Rural Area","1007","0.156245631930133","0.147298967807075","0.16519229605319"
"3 on scale 1-7 ","2005","direct migration background","Urban Area","282","0.14628597816985","0.130632916200524","0.161939040139177"
"3 on scale 1-7 ","2005","direct migration background","Rural Area","48","0.092436930880345","0.064193426961621","0.120680434799069"
"3 on scale 1-7 ","2005","indirect migration background","Urban Area","131","0.187779120270863","0.159331919831945","0.21622632070978"
"3 on scale 1-7 ","2005","indirect migration background","Rural Area","14","","",""
"4 on scale 1-7","2005","no migration background","Urban Area","1586","0.146120498771049","0.139567637876197","0.1526733596659"
"4 on scale 1-7","2005","no migration background","Rural Area","987","0.156367155210001","0.147417657090045","0.165316653329957"
"4 on scale 1-7","2005","direct migration background","Urban Area","267","0.147923968475081","0.132198622958575","0.163649313991587"
"4 on scale 1-7","2005","direct migration background","Rural Area","51","0.115644321365067","0.0844602332565851","0.146828409473549"
"4 on scale 1-7","2005","indirect migration background","Urban Area","99","0.160198737747337","0.133481188759153","0.186916286735521"
"4 on scale 1-7","2005","indirect migration background","Rural Area","19","","",""
"5 on scale 1-7","2005","no migration background","Urban Area","1455","0.128402213877401","0.122196076324628","0.134608351430175"
"5 on scale 1-7","2005","no migration background","Rural Area","855","0.127563036722584","0.119342907833798","0.135783165611371"
"5 on scale 1-7","2005","direct migration background","Urban Area","218","0.114022123392388","0.0999439033729845","0.128100343411792"
"5 on scale 1-7","2005","direct migration background","Rural Area","48","0.12905051684606","0.0963590983323945","0.161741935359726"
"5 on scale 1-7","2005","indirect migration background","Urban Area","97","0.132468660522425","0.107775426821418","0.157161894223432"
"5 on scale 1-7","2005","indirect migration background","Rural Area","12","","",""
"6 on scale 1-7","2005","no migration background","Urban Area","628","0.0536899465314391","0.049508367641172","0.0578715254217062"
"6 on scale 1-7","2005","no migration background","Rural Area","412","0.0645360176556445","0.0584817196990387","0.0705903156122503"
"6 on scale 1-7","2005","direct migration background","Urban Area","80","0.0373455914023445","0.0289471901541867","0.0457439926505023"
"6 on scale 1-7","2005","direct migration background","Rural Area","13","","",""
"6 on scale 1-7","2005","indirect migration background","Urban Area","39","0.0459681836710852","0.0307140021854794","0.061222365156691"
"6 on scale 1-7","2005","indirect migration background","Rural Area","6","","",""
"7 Strongly agree","2005","no migration background","Urban Area","258","0.0242464133004942","0.0213929590623588","0.0270998675386297"
"7 Strongly agree","2005","no migration background","Rural Area","132","0.0235930806195279","0.0198532070223782","0.0273329542166776"
"7 Strongly agree","2005","direct migration background","Urban Area","43","0.0221766045843874","0.0156540235137274","0.0286991856550474"
"7 Strongly agree","2005","direct migration background","Rural Area","10","","",""
"7 Strongly agree","2005","indirect migration background","Urban Area","17","","",""
