"plh0214","year","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Male","1845","0.199126322266761","0.191257522678556","0.206995121854965","1"
"1 Strongly disagree","2005","Female","3261","0.323228471510231","0.31440268401742","0.332054259003042","1"
"2 on scale 1-7 ","2005","Female","2790","0.246381601280352","0.238250347698516","0.254512854862188","2"
"2 on scale 1-7 ","2005","Male","2181","0.211707049160087","0.20365746178331","0.219756636536864","2"
"3 on scale 1-7 ","2005","Male","1673","0.162636190476241","0.155364626524559","0.169907754427922","3"
"3 on scale 1-7 ","2005","Female","1596","0.144317725795575","0.137686501342337","0.150948950248814","3"
"4 on scale 1-7","2005","Female","1318","0.121216696218482","0.115057844583368","0.127375547853596","4"
"4 on scale 1-7","2005","Male","1691","0.178868196863402","0.171316663612543","0.186419730114262","4"
"5 on scale 1-7","2005","Male","1561","0.15360870005451","0.146503838163567","0.160713561945453","5"
"5 on scale 1-7","2005","Female","1124","0.101633273801281","0.0959313368764137","0.107335210726149","5"
"6 on scale 1-7","2005","Female","501","0.0437146722857293","0.0398564701078832","0.0475728744635753","6"
"6 on scale 1-7","2005","Male","677","0.0656354968812847","0.0607558354264875","0.0705151583360819","6"
"7 Strongly agree","2005","Female","198","0.019507559108349","0.016897795247922","0.022117322968776","7"
"7 Strongly agree","2005","Male","266","0.0284180442977141","0.0251438914356393","0.0316921971597888","7"
"1 Strongly disagree","2006","Male","","","","","1"
"1 Strongly disagree","2006","Female","","","","","1"
"2 on scale 1-7 ","2006","Male","","","","","2"
"2 on scale 1-7 ","2006","Female","","","","","2"
"3 on scale 1-7 ","2006","Female","","","","","3"
"3 on scale 1-7 ","2006","Male","","","","","3"
"4 on scale 1-7","2006","Male","","","","","4"
"4 on scale 1-7","2006","Female","","","","","4"
"5 on scale 1-7","2006","Female","","","","","5"
"5 on scale 1-7","2006","Male","","","","","5"
"6 on scale 1-7","2006","Female","","","","","6"
"6 on scale 1-7","2006","Male","","","","","6"
"7 Strongly agree","2006","Female","","","","","7"
"7 Strongly agree","2006","Male","","","","","7"
"1 Strongly disagree","2007","Male","","","","","1"
"1 Strongly disagree","2007","Female","","","","","1"
"2 on scale 1-7 ","2007","Female","","","","","2"
"2 on scale 1-7 ","2007","Male","","","","","2"
"3 on scale 1-7 ","2007","Male","","","","","3"
"3 on scale 1-7 ","2007","Female","","","","","3"
"4 on scale 1-7","2007","Female","","","","","4"
"4 on scale 1-7","2007","Male","","","","","4"
"5 on scale 1-7","2007","Female","","","","","5"
"5 on scale 1-7","2007","Male","","","","","5"
"6 on scale 1-7","2007","Female","","","","","6"
"6 on scale 1-7","2007","Male","","","","","6"
"7 Strongly agree","2007","Male","","","","","7"
"7 Strongly agree","2007","Female","","","","","7"
"1 Strongly disagree","2008","Male","","","","","1"
"1 Strongly disagree","2008","Female","","","","","1"
"2 on scale 1-7 ","2008","Male","","","","","2"
"2 on scale 1-7 ","2008","Female","","","","","2"
"3 on scale 1-7 ","2008","Female","","","","","3"
"3 on scale 1-7 ","2008","Male","","","","","3"
"4 on scale 1-7","2008","Male","","","","","4"
"4 on scale 1-7","2008","Female","","","","","4"
"5 on scale 1-7","2008","Female","","","","","5"
"5 on scale 1-7","2008","Male","","","","","5"
"6 on scale 1-7","2008","Female","","","","","6"
"6 on scale 1-7","2008","Male","","","","","6"
"7 Strongly agree","2008","Male","","","","","7"
"7 Strongly agree","2008","Female","","","","","7"
"1 Strongly disagree","2009","Male","1228","0.142722459778219","0.135326703871548","0.150118215684889","1"
"1 Strongly disagree","2009","Female","2345","0.258269542817816","0.24942062780972","0.267118457825911","1"
"2 on scale 1-7 ","2009","Female","2555","0.259248267582218","0.250388452857798","0.268108082306638","2"
"2 on scale 1-7 ","2009","Male","1859","0.214302083410843","0.205626140562418","0.222978026259268","2"
"3 on scale 1-7 ","2009","Male","1682","0.196302659028615","0.187904481671481","0.204700836385749","3"
"3 on scale 1-7 ","2009","Female","1546","0.15519514806408","0.147874531836567","0.162515764291592","3"
"4 on scale 1-7","2009","Female","1249","0.13826562595296","0.131286931385132","0.145244320520788","4"
"4 on scale 1-7","2009","Male","1550","0.182288894507875","0.174125782817124","0.190452006198626","4"
"5 on scale 1-7","2009","Female","1048","0.110956448717227","0.104606530047469","0.117306367386986","5"
"5 on scale 1-7","2009","Male","1424","0.161865652927841","0.15407794139806","0.169653364457622","5"
"6 on scale 1-7","2009","Female","462","0.0551899422290968","0.0505732322371304","0.0598066522210631","6"
"6 on scale 1-7","2009","Male","632","0.0732117424807237","0.0677042194977671","0.0787192654636802","6"
"7 Strongly agree","2009","Male","218","0.0293065078658844","0.0257403646547665","0.0328726510770022","7"
"7 Strongly agree","2009","Female","193","0.0228750246366028","0.0198523861145211","0.0258976631586844","7"
"1 Strongly disagree","2010","Male","","","","","1"
"1 Strongly disagree","2010","Female","","","","","1"
"2 on scale 1-7 ","2010","Male","","","","","2"
"2 on scale 1-7 ","2010","Female","","","","","2"
"3 on scale 1-7 ","2010","Female","","","","","3"
"3 on scale 1-7 ","2010","Male","","","","","3"
"4 on scale 1-7","2010","Female","","","","","4"
"4 on scale 1-7","2010","Male","","","","","4"
"5 on scale 1-7","2010","Female","","","","","5"
"5 on scale 1-7","2010","Male","","","","","5"
"6 on scale 1-7","2010","Male","","","","","6"
"6 on scale 1-7","2010","Female","","","","","6"
"7 Strongly agree","2010","Male","","","","","7"
"7 Strongly agree","2010","Female","","","","","7"
"1 Strongly disagree","2011","Male","","","","","1"
"1 Strongly disagree","2011","Female","","","","","1"
"2 on scale 1-7 ","2011","Female","","","","","2"
"2 on scale 1-7 ","2011","Male","","","","","2"
"3 on scale 1-7 ","2011","Male","","","","","3"
"3 on scale 1-7 ","2011","Female","","","","","3"
"4 on scale 1-7","2011","Female","","","","","4"
"4 on scale 1-7","2011","Male","","","","","4"
"5 on scale 1-7","2011","Female","","","","","5"
"5 on scale 1-7","2011","Male","","","","","5"
"6 on scale 1-7","2011","Female","","","","","6"
"6 on scale 1-7","2011","Male","","","","","6"
"7 Strongly agree","2011","Male","","","","","7"
"7 Strongly agree","2011","Female","","","","","7"
"1 Strongly disagree","2012","Male","462","0.170363673918663","0.156664125470783","0.184063222366542","1"
"1 Strongly disagree","2012","Female","1021","0.252162576255823","0.239077673720542","0.265247478791104","1"
"2 on scale 1-7 ","2012","Male","638","0.219672005491181","0.204585111961197","0.234758899021164","2"
"2 on scale 1-7 ","2012","Female","1094","0.258097668788525","0.244912308930439","0.271283028646611","2"
"3 on scale 1-7 ","2012","Female","575","0.134715245591231","0.124427635923886","0.145002855258576","3"
"3 on scale 1-7 ","2012","Male","464","0.157025521629903","0.143767882003115","0.170283161256692","3"
"4 on scale 1-7","2012","Female","589","0.131935761211268","0.121738494594081","0.142133027828454","4"
"4 on scale 1-7","2012","Male","468","0.15819480369033","0.144897126613379","0.171492480767281","4"
"5 on scale 1-7","2012","Female","566","0.136565966795521","0.126219015577235","0.146912918013806","5"
"5 on scale 1-7","2012","Male","500","0.163949455032332","0.150458424348156","0.177440485716507","5"
"6 on scale 1-7","2012","Male","240","0.0825770821241602","0.0725473708042481","0.0926067934440723","6"
"6 on scale 1-7","2012","Female","283","0.0627401578533063","0.055433321401348","0.0700469943052647","6"
"7 Strongly agree","2012","Male","121","0.0482174581134312","0.0404111642256724","0.05602375200119","7"
"7 Strongly agree","2012","Female","103","0.0237826235043266","0.0191913863569419","0.0283738606517113","7"
"1 Strongly disagree","2013","Male","1446","0.16795803416002","0.160155935696545","0.175760132623496","1"
"1 Strongly disagree","2013","Female","2707","0.273968370589501","0.265237104781193","0.282699636397809","1"
"2 on scale 1-7 ","2013","Female","2536","0.245579840168023","0.237153243163089","0.254006437172957","2"
