"plh0214","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","West Germany","Male","1407","0.200670786555455","0.191590982769442","0.209750590341468"
"1 Strongly disagree","2005","West Germany","Female","2475","0.321832023747889","0.311703009566162","0.331961037929616"
"1 Strongly disagree","2005","East Germany","Male","438","0.192444505938577","0.176738008254816","0.208151003622339"
"1 Strongly disagree","2005","East Germany","Female","786","0.3294624582024","0.31145121305217","0.347473703352631"
"2 on scale 1-7 ","2005","West Germany","Male","1619","0.205142494214857","0.195987796684805","0.214297191744908"
"2 on scale 1-7 ","2005","West Germany","Female","2092","0.245379120435271","0.236049432370501","0.25470880850004"
"2 on scale 1-7 ","2005","East Germany","Male","562","0.240107285242842","0.22308886603756","0.257125704448124"
"2 on scale 1-7 ","2005","East Germany","Female","698","0.250856850849955","0.23424474803563","0.267468953664281"
"3 on scale 1-7 ","2005","West Germany","Male","1278","0.163177652167615","0.154800073412317","0.171555230922913"
"3 on scale 1-7 ","2005","West Germany","Female","1196","0.144629841590212","0.137003962508105","0.15225572067232"
"3 on scale 1-7 ","2005","East Germany","Male","395","0.160293664593971","0.145676528119013","0.174910801068928"
"3 on scale 1-7 ","2005","East Germany","Female","400","0.142924386379197","0.129512435366243","0.156336337392151"
"4 on scale 1-7","2005","West Germany","Male","1280","0.179966183259612","0.171256890719359","0.188675475799865"
"4 on scale 1-7","2005","West Germany","Female","1010","0.123376647301649","0.116246361923905","0.130506932679394"
"4 on scale 1-7","2005","East Germany","Male","411","0.174117977979079","0.159009482402272","0.189226473555887"
"4 on scale 1-7","2005","East Germany","Female","308","0.111574297360954","0.0995094492525221","0.123639145469386"
"5 on scale 1-7","2005","West Germany","Male","1185","0.155918546990678","0.14769398813993","0.164143105841427"
"5 on scale 1-7","2005","West Germany","Female","868","0.103695896343273","0.0970860343888038","0.110305758297742"
"5 on scale 1-7","2005","East Germany","Male","376","0.143615608542668","0.12964306083848","0.157588156246857"
"5 on scale 1-7","2005","East Germany","Female","256","0.0924253665493974","0.0813268231031321","0.103523909995663"
"6 on scale 1-7","2005","West Germany","Male","498","0.0659178991834904","0.0602923393497237","0.071543459017257"
"6 on scale 1-7","2005","West Germany","Female","373","0.0417733634694873","0.0374355811528077","0.0461111457861669"
"6 on scale 1-7","2005","East Germany","Male","179","0.0644137397142153","0.0546330026777116","0.0741944767507191"
"6 on scale 1-7","2005","East Germany","Female","128","0.0523810138791652","0.0438434680475325","0.060918559710798"
"7 Strongly agree","2005","West Germany","Male","207","0.0292064376282929","0.0253889794990182","0.0330238957575677"
"7 Strongly agree","2005","West Germany","Female","158","0.0193131071122183","0.0163292695825612","0.0222969446418754"
"7 Strongly agree","2005","East Germany","Male","59","0.0250072179886469","0.0187860232181905","0.0312284127591033"
"7 Strongly agree","2005","East Germany","Female","40","0.0203756267789304","0.0149616735365118","0.0257895800213489"
"1 Strongly disagree","2006","West Germany","Male","","","",""
"1 Strongly disagree","2006","West Germany","Female","","","",""
"1 Strongly disagree","2006","East Germany","Male","","","",""
"1 Strongly disagree","2006","East Germany","Female","","","",""
"2 on scale 1-7 ","2006","West Germany","Male","","","",""
"2 on scale 1-7 ","2006","West Germany","Female","","","",""
"2 on scale 1-7 ","2006","East Germany","Male","","","",""
"2 on scale 1-7 ","2006","East Germany","Female","","","",""
"3 on scale 1-7 ","2006","West Germany","Male","","","",""
"3 on scale 1-7 ","2006","West Germany","Female","","","",""
"3 on scale 1-7 ","2006","East Germany","Male","","","",""
"3 on scale 1-7 ","2006","East Germany","Female","","","",""
"4 on scale 1-7","2006","West Germany","Male","","","",""
"4 on scale 1-7","2006","West Germany","Female","","","",""
"4 on scale 1-7","2006","East Germany","Male","","","",""
"4 on scale 1-7","2006","East Germany","Female","","","",""
"5 on scale 1-7","2006","West Germany","Male","","","",""
"5 on scale 1-7","2006","West Germany","Female","","","",""
"5 on scale 1-7","2006","East Germany","Male","","","",""
"5 on scale 1-7","2006","East Germany","Female","","","",""
"6 on scale 1-7","2006","West Germany","Male","","","",""
"6 on scale 1-7","2006","West Germany","Female","","","",""
"6 on scale 1-7","2006","East Germany","Male","","","",""
"6 on scale 1-7","2006","East Germany","Female","","","",""
"7 Strongly agree","2006","West Germany","Male","","","",""
"7 Strongly agree","2006","West Germany","Female","","","",""
"7 Strongly agree","2006","East Germany","Male","","","",""
"7 Strongly agree","2006","East Germany","Female","","","",""
"1 Strongly disagree","2007","West Germany","Male","","","",""
"1 Strongly disagree","2007","West Germany","Female","","","",""
"1 Strongly disagree","2007","East Germany","Male","","","",""
"1 Strongly disagree","2007","East Germany","Female","","","",""
"2 on scale 1-7 ","2007","West Germany","Male","","","",""
"2 on scale 1-7 ","2007","West Germany","Female","","","",""
"2 on scale 1-7 ","2007","East Germany","Male","","","",""
"2 on scale 1-7 ","2007","East Germany","Female","","","",""
"3 on scale 1-7 ","2007","West Germany","Male","","","",""
"3 on scale 1-7 ","2007","West Germany","Female","","","",""
"3 on scale 1-7 ","2007","East Germany","Male","","","",""
"3 on scale 1-7 ","2007","East Germany","Female","","","",""
"4 on scale 1-7","2007","West Germany","Male","","","",""
"4 on scale 1-7","2007","West Germany","Female","","","",""
"4 on scale 1-7","2007","East Germany","Male","","","",""
"4 on scale 1-7","2007","East Germany","Female","","","",""
"5 on scale 1-7","2007","West Germany","Male","","","",""
"5 on scale 1-7","2007","West Germany","Female","","","",""
"5 on scale 1-7","2007","East Germany","Male","","","",""
"5 on scale 1-7","2007","East Germany","Female","","","",""
"6 on scale 1-7","2007","West Germany","Male","","","",""
"6 on scale 1-7","2007","West Germany","Female","","","",""
"6 on scale 1-7","2007","East Germany","Male","","","",""
"6 on scale 1-7","2007","East Germany","Female","","","",""
"7 Strongly agree","2007","West Germany","Male","","","",""
"7 Strongly agree","2007","West Germany","Female","","","",""
"7 Strongly agree","2007","East Germany","Male","","","",""
"7 Strongly agree","2007","East Germany","Female","","","",""
"1 Strongly disagree","2008","West Germany","Male","","","",""
"1 Strongly disagree","2008","West Germany","Female","","","",""
"1 Strongly disagree","2008","East Germany","Male","","","",""
"1 Strongly disagree","2008","East Germany","Female","","","",""
"2 on scale 1-7 ","2008","West Germany","Male","","","",""
"2 on scale 1-7 ","2008","West Germany","Female","","","",""
"2 on scale 1-7 ","2008","East Germany","Male","","","",""
"2 on scale 1-7 ","2008","East Germany","Female","","","",""
"3 on scale 1-7 ","2008","West Germany","Male","","","",""
"3 on scale 1-7 ","2008","West Germany","Female","","","",""
"3 on scale 1-7 ","2008","East Germany","Male","","","",""
"3 on scale 1-7 ","2008","East Germany","Female","","","",""
"4 on scale 1-7","2008","West Germany","Male","","","",""
"4 on scale 1-7","2008","West Germany","Female","","","",""
"4 on scale 1-7","2008","East Germany","Male","","","",""
"4 on scale 1-7","2008","East Germany","Female","","","",""
"5 on scale 1-7","2008","West Germany","Male","","","",""
"5 on scale 1-7","2008","West Germany","Female","","","",""
"5 on scale 1-7","2008","East Germany","Male","","","",""
"5 on scale 1-7","2008","East Germany","Female","","","",""
"6 on scale 1-7","2008","West Germany","Male","","","",""
"6 on scale 1-7","2008","West Germany","Female","","","",""
"6 on scale 1-7","2008","East Germany","Male","","","",""
"6 on scale 1-7","2008","East Germany","Female","","","",""
"7 Strongly agree","2008","West Germany","Male","","","",""
"7 Strongly agree","2008","West Germany","Female","","","",""
"7 Strongly agree","2008","East Germany","Male","","","",""
"7 Strongly agree","2008","East Germany","Female","","","",""
"1 Strongly disagree","2009","West Germany","Male","919","0.141575570131592","0.133038677529826","0.150112462733359"
"1 Strongly disagree","2009","West Germany","Female","1781","0.263303273581974","0.253021035806836","0.273585511357112"
"1 Strongly disagree","2009","East Germany","Male","309","0.147635885327458","0.132768580550434","0.162503190104482"
"1 Strongly disagree","2009","East Germany","Female","564","0.236077430231388","0.218907597468982","0.253247262993794"
"2 on scale 1-7 ","2009","West Germany","Male","1365","0.20869179642426","0.198740488916959","0.218643103931561"
"2 on scale 1-7 ","2009","West Germany","Female","1902","0.255963791492656","0.245775498024011","0.266152084961301"
