"plh0214","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","Urban Area","1617","0.328100081069329","0.315338576438826","0.340861585699833"
"1 Strongly disagree","2005","Not Employed","Rural Area","749","0.313416379272175","0.295751337215232","0.331081421329118"
"1 Strongly disagree","2005","Employed","Urban Area","1901","0.224008869044984","0.215219621478024","0.232798116611945"
"1 Strongly disagree","2005","Employed","Rural Area","839","0.218465447469865","0.205952535712349","0.230978359227382"
"2 on scale 1-7 ","2005","Not Employed","Urban Area","1163","0.218311694128213","0.2070837116408","0.229539676615625"
"2 on scale 1-7 ","2005","Not Employed","Rural Area","618","0.220537487392081","0.204748803142352","0.236326171641809"
"2 on scale 1-7 ","2005","Employed","Urban Area","2176","0.241870225454624","0.232843012384226","0.250897438525023"
"2 on scale 1-7 ","2005","Employed","Rural Area","1014","0.225008151530768","0.212362517644711","0.237653785416825"
"3 on scale 1-7 ","2005","Not Employed","Urban Area","762","0.14248609732113","0.132985448837875","0.151986745804384"
"3 on scale 1-7 ","2005","Not Employed","Rural Area","367","0.131605251524367","0.118731583198945","0.144478919849789"
"3 on scale 1-7 ","2005","Employed","Urban Area","1438","0.161474761193868","0.15371763053074","0.169231891856996"
"3 on scale 1-7 ","2005","Employed","Rural Area","702","0.165447741439268","0.154195213480366","0.17670026939817"
"4 on scale 1-7","2005","Not Employed","Urban Area","713","0.135371001910026","0.126072261169314","0.144669742650738"
"4 on scale 1-7","2005","Not Employed","Rural Area","383","0.149091999155261","0.135528380075229","0.162655618235292"
"4 on scale 1-7","2005","Employed","Urban Area","1239","0.154925829087719","0.147298016037472","0.162553642137965"
"4 on scale 1-7","2005","Employed","Rural Area","674","0.157161892313016","0.146140445297197","0.168183339328835"
"5 on scale 1-7","2005","Not Employed","Urban Area","563","0.108101606555561","0.0996620391890922","0.11654117392203"
"5 on scale 1-7","2005","Not Employed","Rural Area","350","0.120787470179706","0.108377664278086","0.133197276081327"
"5 on scale 1-7","2005","Employed","Urban Area","1207","0.138538216597283","0.131255498219227","0.145820934975339"
"5 on scale 1-7","2005","Employed","Rural Area","565","0.132982153881279","0.122699538044726","0.143264769717831"
"6 on scale 1-7","2005","Not Employed","Urban Area","251","0.0431606439481292","0.0376372007512462","0.0486840871450121"
"6 on scale 1-7","2005","Not Employed","Rural Area","124","0.0389955067010033","0.031623646258658","0.0463673671433487"
"6 on scale 1-7","2005","Employed","Urban Area","496","0.0558168225537941","0.0509773125034162","0.0606563326041721"
"6 on scale 1-7","2005","Employed","Rural Area","307","0.0781819002533313","0.0700523103643877","0.0863114901422748"
"7 Strongly agree","2005","Not Employed","Urban Area","131","0.0244688750676118","0.0202696032609008","0.0286681468743228"
"7 Strongly agree","2005","Not Employed","Rural Area","58","0.0255659057754064","0.019555359580363","0.0315764519704499"
"7 Strongly agree","2005","Employed","Urban Area","187","0.0233652760677272","0.0201807687515678","0.0265497833838866"
"7 Strongly agree","2005","Employed","Rural Area","88","0.0227527131124729","0.018237151805819","0.0272682744191267"
"1 Strongly disagree","2006","Not Employed","Urban Area","","","",""
"1 Strongly disagree","2006","Not Employed","Rural Area","","","",""
"1 Strongly disagree","2006","Employed","Urban Area","","","",""
"1 Strongly disagree","2006","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2006","Not Employed","Urban Area","","","",""
"2 on scale 1-7 ","2006","Not Employed","Rural Area","","","",""
"2 on scale 1-7 ","2006","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2006","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2006","Not Employed","Urban Area","","","",""
"3 on scale 1-7 ","2006","Not Employed","Rural Area","","","",""
"3 on scale 1-7 ","2006","Employed","Urban Area","","","",""
"3 on scale 1-7 ","2006","Employed","Rural Area","","","",""
