"plh0214","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","in school","1","","",""
"1 Strongly disagree","2005","1-pers.-HH","inadequately","5","","",""
"1 Strongly disagree","2005","1-pers.-HH","general elemantary","164","0.378453037348911","0.332558349883995","0.424347724813827"
"1 Strongly disagree","2005","1-pers.-HH","middle vocational","510","0.3256295881387","0.302247875884541","0.34901130039286"
"1 Strongly disagree","2005","1-pers.-HH","vocational + Abi","52","0.302644910743235","0.234965723784065","0.370324097702406"
"1 Strongly disagree","2005","1-pers.-HH","higher vocational","48","0.240083261129542","0.180285627002554","0.299880895256529"
"1 Strongly disagree","2005","1-pers.-HH","higher education","135","0.252419581979694","0.216408790469507","0.288430373489881"
"1 Strongly disagree","2005","(Married) couple without C. ","in school","1","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","inadequately","24","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","general elemantary","233","0.361517459548635","0.325669643958822","0.397365275138447"
"1 Strongly disagree","2005","(Married) couple without C. ","middle vocational","1001","0.279845272970373","0.265275522800552","0.294415023140193"
"1 Strongly disagree","2005","(Married) couple without C. ","vocational + Abi","68","0.198563115355921","0.156830223022672","0.240296007689171"
"1 Strongly disagree","2005","(Married) couple without C. ","higher vocational","151","0.293192552991078","0.255421593487099","0.330963512495057"
"1 Strongly disagree","2005","(Married) couple without C. ","higher education","343","0.21878749265363","0.198875543972326","0.238699441334935"
"1 Strongly disagree","2005","Single parent ","in school","22","","",""
"1 Strongly disagree","2005","Single parent ","inadequately","5","","",""
"1 Strongly disagree","2005","Single parent ","general elemantary","63","0.337339883570024","0.273086546950341","0.401593220189707"
"1 Strongly disagree","2005","Single parent ","middle vocational","131","0.233643781542283","0.197652833491506","0.26963472959306"
"1 Strongly disagree","2005","Single parent ","vocational + Abi","8","","",""
"1 Strongly disagree","2005","Single parent ","higher vocational","16","","",""
"1 Strongly disagree","2005","Single parent ","higher education","26","","",""
