"plh0214","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","2366","0.323509621630719","0.31316021765575","0.333859025605688","1"
"1 Strongly disagree","2005","Employed","2740","0.222288207455407","0.215094520285051","0.229481894625763","1"
"2 on scale 1-7 ","2005","Employed","3190","0.236636287799293","0.229282850031094","0.243989725567492","2"
"2 on scale 1-7 ","2005","Not Employed","1781","0.219007527770006","0.209858101288926","0.228156954251085","2"
"3 on scale 1-7 ","2005","Not Employed","1129","0.139084497235687","0.131429226524539","0.146739767946836","3"
"3 on scale 1-7 ","2005","Employed","2140","0.162707962459868","0.156321992404151","0.169093932515585","3"
"4 on scale 1-7","2005","Employed","1913","0.155619896470381","0.149348192507751","0.161891600433011","4"
"4 on scale 1-7","2005","Not Employed","1096","0.139660497990894","0.13199195862222","0.147329037359568","4"
"5 on scale 1-7","2005","Not Employed","913","0.112067496302904","0.105088857221025","0.119046135384783","5"
"5 on scale 1-7","2005","Employed","1772","0.136813631235127","0.13086795898346","0.142759303486793","5"
"6 on scale 1-7","2005","Employed","803","0.062758876233823","0.0585627625954528","0.0669549898721932","6"
"6 on scale 1-7","2005","Not Employed","375","0.0418585272303352","0.0374280784734","0.0462889759872705","6"
"7 Strongly agree","2005","Employed","275","0.0231751383461015","0.0205719624527344","0.0257783142394686","7"
"7 Strongly agree","2005","Not Employed","189","0.0248118318394537","0.0213705950853775","0.0282530685935299","7"
"1 Strongly disagree","2006","Not Employed","","","","","1"
"1 Strongly disagree","2006","Employed","","","","","1"
"2 on scale 1-7 ","2006","Not Employed","","","","","2"
"2 on scale 1-7 ","2006","Employed","","","","","2"
"3 on scale 1-7 ","2006","Employed","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","","","","","3"
"4 on scale 1-7","2006","Not Employed","","","","","4"
"4 on scale 1-7","2006","Employed","","","","","4"
"5 on scale 1-7","2006","Employed","","","","","5"
"5 on scale 1-7","2006","Not Employed","","","","","5"
"6 on scale 1-7","2006","Employed","","","","","6"
"6 on scale 1-7","2006","Not Employed","","","","","6"
"7 Strongly agree","2006","Employed","","","","","7"
"7 Strongly agree","2006","Not Employed","","","","","7"
"1 Strongly disagree","2007","Not Employed","","","","","1"
"1 Strongly disagree","2007","Employed","","","","","1"
"2 on scale 1-7 ","2007","Employed","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","","","","","2"
"3 on scale 1-7 ","2007","Not Employed","","","","","3"
"3 on scale 1-7 ","2007","Employed","","","","","3"
"4 on scale 1-7","2007","Employed","","","","","4"
"4 on scale 1-7","2007","Not Employed","","","","","4"
"5 on scale 1-7","2007","Employed","","","","","5"
"5 on scale 1-7","2007","Not Employed","","","","","5"
"6 on scale 1-7","2007","Employed","","","","","6"
"6 on scale 1-7","2007","Not Employed","","","","","6"
"7 Strongly agree","2007","Not Employed","","","","","7"
"7 Strongly agree","2007","Employed","","","","","7"
"1 Strongly disagree","2008","Not Employed","","","","","1"
"1 Strongly disagree","2008","Employed","","","","","1"
"2 on scale 1-7 ","2008","Not Employed","","","","","2"
"2 on scale 1-7 ","2008","Employed","","","","","2"
"3 on scale 1-7 ","2008","Employed","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","","","","","3"
"4 on scale 1-7","2008","Not Employed","","","","","4"
"4 on scale 1-7","2008","Employed","","","","","4"
"5 on scale 1-7","2008","Employed","","","","","5"
"5 on scale 1-7","2008","Not Employed","","","","","5"
"6 on scale 1-7","2008","Employed","","","","","6"
"6 on scale 1-7","2008","Not Employed","","","","","6"
"7 Strongly agree","2008","Not Employed","","","","","7"
"7 Strongly agree","2008","Employed","","","","","7"
"1 Strongly disagree","2009","Not Employed","1699","0.26549281783983","0.254983812944239","0.276001822735421","1"
