"plh0214","year","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","3518","0.265776671103357","0.258418162292897","0.273135179913817"
"1 Strongly disagree","2005","Rural Area","1588","0.256802585753924","0.246447937895803","0.267157233612046"
"2 on scale 1-7 ","2005","Urban Area","3339","0.232417092437042","0.225381284505092","0.239452900368992"
"2 on scale 1-7 ","2005","Rural Area","1632","0.223203087946313","0.213333764385102","0.233072411507524"
"3 on scale 1-7 ","2005","Urban Area","2200","0.15385534031707","0.147845043885415","0.159865636748726"
"3 on scale 1-7 ","2005","Rural Area","1069","0.151783586795207","0.143279077024146","0.160288096566268"
"4 on scale 1-7","2005","Urban Area","1952","0.147079228640291","0.141179292472456","0.152979164808125"
"4 on scale 1-7","2005","Rural Area","1057","0.153903613494114","0.145350625325039","0.162456601663189"
"5 on scale 1-7","2005","Urban Area","1770","0.12632517498861","0.120791200397195","0.131859149580025"
"5 on scale 1-7","2005","Rural Area","915","0.128058460490139","0.120138347724876","0.135978573255403"
"6 on scale 1-7","2005","Urban Area","747","0.0507383845902398","0.0470826170389341","0.0543941521415454"
"6 on scale 1-7","2005","Rural Area","431","0.0623601051434426","0.0566287806092384","0.0680914296776469"
"7 Strongly agree","2005","Urban Area","318","0.0238081079233907","0.0212686130811871","0.0263476027655942"
"7 Strongly agree","2005","Rural Area","146","0.0238885603768592","0.0202692299557929","0.0275078907979255"
"1 Strongly disagree","2006","Urban Area","","","",""
"1 Strongly disagree","2006","Rural Area","","","",""
"2 on scale 1-7 ","2006","Urban Area","","","",""
"2 on scale 1-7 ","2006","Rural Area","","","",""
"3 on scale 1-7 ","2006","Urban Area","","","",""
"3 on scale 1-7 ","2006","Rural Area","","","",""
"4 on scale 1-7","2006","Urban Area","","","",""
"4 on scale 1-7","2006","Rural Area","","","",""
"5 on scale 1-7","2006","Urban Area","","","",""
"5 on scale 1-7","2006","Rural Area","","","",""
"6 on scale 1-7","2006","Urban Area","","","",""
"6 on scale 1-7","2006","Rural Area","","","",""
"7 Strongly agree","2006","Urban Area","","","",""
"7 Strongly agree","2006","Rural Area","","","",""
"1 Strongly disagree","2007","Urban Area","","","",""
"1 Strongly disagree","2007","Rural Area","","","",""
"2 on scale 1-7 ","2007","Urban Area","","","",""
"2 on scale 1-7 ","2007","Rural Area","","","",""
"3 on scale 1-7 ","2007","Urban Area","","","",""
"3 on scale 1-7 ","2007","Rural Area","","","",""
"4 on scale 1-7","2007","Urban Area","","","",""
"4 on scale 1-7","2007","Rural Area","","","",""
"5 on scale 1-7","2007","Urban Area","","","",""
"5 on scale 1-7","2007","Rural Area","","","",""
"6 on scale 1-7","2007","Urban Area","","","",""
"6 on scale 1-7","2007","Rural Area","","","",""
"7 Strongly agree","2007","Urban Area","","","",""
"7 Strongly agree","2007","Rural Area","","","",""
"1 Strongly disagree","2008","Urban Area","","","",""
"1 Strongly disagree","2008","Rural Area","","","",""
"2 on scale 1-7 ","2008","Urban Area","","","",""
"2 on scale 1-7 ","2008","Rural Area","","","",""
"3 on scale 1-7 ","2008","Urban Area","","","",""
"3 on scale 1-7 ","2008","Rural Area","","","",""
"4 on scale 1-7","2008","Urban Area","","","",""
"4 on scale 1-7","2008","Rural Area","","","",""
"5 on scale 1-7","2008","Urban Area","","","",""
"5 on scale 1-7","2008","Rural Area","","","",""
"6 on scale 1-7","2008","Urban Area","","","",""
"6 on scale 1-7","2008","Rural Area","","","",""
"7 Strongly agree","2008","Urban Area","","","",""
"7 Strongly agree","2008","Rural Area","","","",""
"1 Strongly disagree","2009","Urban Area","2351","0.201251693052565","0.194010577130353","0.208492808974777"
