"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","5.36","6","2366","3","4","7","7","5.3","5.42","5","6"
"2005","indirect migration background","5.69","6","832","4","5","7","7","5.6","5.78","6","6"
"2005","no migration background","5.5","6","17502","4","5","7","7","5.48","5.52","6","6"
"2006","direct migration background","","","","","","","","","","",""
"2006","indirect migration background","","","","","","","","","","",""
"2006","no migration background","","","","","","","","","","",""
"2007","direct migration background","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","",""
"2008","direct migration background","","","","","","","","","","",""
"2008","indirect migration background","","","","","","","","","","",""
"2008","no migration background","","","","","","","","","","",""
"2009","direct migration background","5.3","6","1646","3","4","7","7","5.23","5.37","5","6"
"2009","indirect migration background","5.74","6","709","4","5","7","7","5.64","5.84","6","6"
"2009","no migration background","5.36","6","15643","3","4","7","7","5.34","5.38","6","6"
"2010","direct migration background","","","","","","","","","","",""
"2010","indirect migration background","","","","","","","","","","",""
"2010","no migration background","","","","","","","","","","",""
"2011","direct migration background","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","",""
"2012","direct migration background","5.77","6","1088","4","5","7","7","5.69","5.85","6","6"
"2012","indirect migration background","5.82","6","484","4","5","7","7","5.71","5.93","6","6"
"2012","no migration background","5.74","6","5555","4","5","7","7","5.71","5.77","6","6"
"2013","direct migration background","5.51","6","1684","3","5","7","7","5.44","5.58","6","6"
"2013","indirect migration background","5.58","6","714","4","5","7","7","5.49","5.67","6","6"
"2013","no migration background","5.52","6","16467","4","5","7","7","5.5","5.54","6","6"
"2014","direct migration background","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","",""
"2015","direct migration background","","","","","","","","","","",""
"2015","indirect migration background","","","","","","","","","","",""
"2015","no migration background","","","","","","","","","","",""
"2016","direct migration background","","","","","","","","","","",""
"2016","indirect migration background","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","",""
"2017","direct migration background","5.63","6","7275","4","5","7","7","5.6","5.66","6","6"
"2017","indirect migration background","5.56","6","1714","4","5","7","7","5.49","5.63","6","6"
"2017","no migration background","5.51","6","20312","4","5","7","7","5.49","5.53","6","6"
"2018","direct migration background","","","","","","","","","","",""
"2018","indirect migration background","","","","","","","","","","",""
"2018","no migration background","","","","","","","","","","",""
"2019","direct migration background","5.58","6","3832","4","5","7","7","5.54","5.62","6","6"
"2019","indirect migration background","5.6","6","1697","4","5","7","7","5.54","5.66","6","6"
"2019","no migration background","5.48","6","20249","4","5","7","7","5.46","5.5","6","6"
