"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","general elemantary","Ostdeutschland, neue Bundeslaender","5.32","5.04","342","3","4","6","7","5.17","5.47","5","6"
"2005","general elemantary","Westdeutschland, alte Bundeslaender","5.37","6","2059","3","4","7","7","5.31","5.43","5","6"
"2005","higher education","Ostdeutschland, neue Bundeslaender","5.6","6","1255","4","5","7","7","5.53","5.67","6","6"
"2005","higher education","Westdeutschland, alte Bundeslaender","5.52","6","2915","4","5","7","7","5.47","5.57","6","6"
"2005","higher vocational","Ostdeutschland, neue Bundeslaender","5.6","6","420","4","5","7","7","5.48","5.72","6","6"
"2005","higher vocational","Westdeutschland, alte Bundeslaender","5.62","6","1137","4","5","7","7","5.55","5.69","6","6"
"2005","in school","Ostdeutschland, neue Bundeslaender","5.5","6","147","3","5","7","7","5.28","5.72","5","6"
"2005","in school","Westdeutschland, alte Bundeslaender","5.67","6","501","4","5","7","7","5.56","5.78","6","6"
"2005","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2005","inadequately","Westdeutschland, alte Bundeslaender","5.1","5","220","3","4","6","7","4.88","5.32","5","5"
"2005","middle vocational","Ostdeutschland, neue Bundeslaender","5.49","6","2625","4","5","7","7","5.44","5.54","6","6"
"2005","middle vocational","Westdeutschland, alte Bundeslaender","5.48","6","7622","4","5","7","7","5.45","5.51","6","6"
"2005","vocational + Abi","Ostdeutschland, neue Bundeslaender","5.34","6","162","3","5","6","7","5.12","5.56","5","6"
"2005","vocational + Abi","Westdeutschland, alte Bundeslaender","5.57","6","974","4","5","7","7","5.49","5.65","6","6"
"2006","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","in school","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","in school","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","in school","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","general elemantary","Ostdeutschland, neue Bundeslaender","4.99","5","265","3","4","6","7","4.81","5.17","5","5"
"2009","general elemantary","Westdeutschland, alte Bundeslaender","5.29","5","1522","3","4","7","7","5.22","5.36","5","6"
"2009","higher education","Ostdeutschland, neue Bundeslaender","5.47","6","1204","4","5","7","7","5.4","5.54","6","6"
"2009","higher education","Westdeutschland, alte Bundeslaender","5.32","5","2827","3","4","6","7","5.27","5.37","6","6"
"2009","higher vocational","Ostdeutschland, neue Bundeslaender","5.39","6","372","4","5","6","7","5.26","5.52","5","6"
"2009","higher vocational","Westdeutschland, alte Bundeslaender","5.4","5","957","3","5","7","7","5.32","5.48","5","6"
"2009","in school","Ostdeutschland, neue Bundeslaender","5.32","5","54","3","5","6","7","4.98","5.66","5","6"
"2009","in school","Westdeutschland, alte Bundeslaender","5.34","6","257","4","4","7","7","5.17","5.51","5","6"
"2009","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2009","inadequately","Westdeutschland, alte Bundeslaender","4.94","5","151","3","4","6","7","4.71","5.17","5","6"
"2009","middle vocational","Ostdeutschland, neue Bundeslaender","5.35","6","2396","3","4","6","7","5.29","5.41","5","6"
"2009","middle vocational","Westdeutschland, alte Bundeslaender","5.39","6","6652","4","5","7","7","5.36","5.42","6","6"
"2009","vocational + Abi","Ostdeutschland, neue Bundeslaender","5.32","5","153","3","4","6","7","5.09","5.55","5","6"
"2009","vocational + Abi","Westdeutschland, alte Bundeslaender","5.54","6","845","4","5","7","7","5.45","5.63","6","6"
"2010","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","in school","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","in school","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2012","general elemantary","Ostdeutschland, neue Bundeslaender","5.74","6","97","3","5","7","7","5.47","6.01","6","7"
"2012","general elemantary","Westdeutschland, alte Bundeslaender","5.75","6","684","4","5","7","7","5.65","5.85","6","6"
"2012","higher education","Ostdeutschland, neue Bundeslaender","5.68","6","272","4","5","7","7","5.53","5.83","6","6"
"2012","higher education","Westdeutschland, alte Bundeslaender","5.72","6","1224","4","5","7","7","5.65","5.79","6","6"
"2012","higher vocational","Ostdeutschland, neue Bundeslaender","5.85","6","69","4","5","7","7","5.54","6.16","6","7"
"2012","higher vocational","Westdeutschland, alte Bundeslaender","5.75","6","296","4","5","7","7","5.61","5.89","6","6"
"2012","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2012","in school","Westdeutschland, alte Bundeslaender","5.64","6","169","4","5","7","7","5.45","5.83","5","6"
"2012","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2012","inadequately","Westdeutschland, alte Bundeslaender","5.43","6","141","3","5","7","7","5.15","5.71","5","6"
"2012","middle vocational","Ostdeutschland, neue Bundeslaender","5.72","6","730","4","5","7","7","5.63","5.81","6","6"
"2012","middle vocational","Westdeutschland, alte Bundeslaender","5.82","6","2520","4","5","7","7","5.77","5.87","6","6"
"2012","vocational + Abi","Ostdeutschland, neue Bundeslaender","5.64","6","110","4","5","6","7","5.41","5.87","6","6"
"2012","vocational + Abi","Westdeutschland, alte Bundeslaender","5.75","6","648","4","5","7","7","5.66","5.84","6","6"
"2013","general elemantary","Ostdeutschland, neue Bundeslaender","5.57","6","248","4","5","7","7","5.4","5.74","6","6"
"2013","general elemantary","Westdeutschland, alte Bundeslaender","5.43","6","1594","4","5","7","7","5.36","5.5","6","6"
"2013","higher education","Ostdeutschland, neue Bundeslaender","5.55","6","1207","4","5","7","7","5.48","5.62","6","6"
"2013","higher education","Westdeutschland, alte Bundeslaender","5.51","6","3256","4","5","7","7","5.47","5.55","6","6"
"2013","higher vocational","Ostdeutschland, neue Bundeslaender","5.55","6","375","4","5","7","7","5.42","5.68","6","6"
"2013","higher vocational","Westdeutschland, alte Bundeslaender","5.47","6","954","4","5","7","7","5.39","5.55","6","6"
"2013","in school","Ostdeutschland, neue Bundeslaender","5.39","5","33","3","5","6","7","4.86","5.92","5","6"
"2013","in school","Westdeutschland, alte Bundeslaender","5.45","6","226","4","5","6","7","5.28","5.62","5","6"
"2013","inadequately","Ostdeutschland, neue Bundeslaender","5.66","6","30","3","5","7","7","5.06","6.26","4","6"
"2013","inadequately","Westdeutschland, alte Bundeslaender","5.24","5","163","2","4","7","7","4.98","5.5","5","6"
"2013","middle vocational","Ostdeutschland, neue Bundeslaender","5.49","6","2355","4","5","7","7","5.44","5.54","6","6"
"2013","middle vocational","Westdeutschland, alte Bundeslaender","5.55","6","7052","4","5","7","7","5.52","5.58","6","6"
"2013","vocational + Abi","Ostdeutschland, neue Bundeslaender","5.53","6","170","4","5","7","7","5.34","5.72","5","6"
"2013","vocational + Abi","Westdeutschland, alte Bundeslaender","5.61","6","928","4","5","7","7","5.53","5.69","6","6"
"2014","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","in school","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2015","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2015","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2015","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2015","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2015","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2015","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2015","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2015","in school","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2015","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2015","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
