"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","general elemantary","5.6","6","834","4","5","7","7","5.5","5.7","6","6"
"2005","16-34 y.","higher education","5.45","6","523","4","5","6","7","5.34","5.56","6","6"
"2005","16-34 y.","higher vocational","5.65","6","206","4","5","7","7","5.48","5.82","6","6"
"2005","16-34 y.","in school","5.64","6","648","4","5","7","7","5.54","5.74","6","6"
"2005","16-34 y.","inadequately","5.21","6","59","3","4","6","7","4.86","5.56","5","6"
"2005","16-34 y.","middle vocational","5.56","6","2336","4","5","7","7","5.51","5.61","6","6"
"2005","16-34 y.","vocational + Abi","5.59","6","439","4","5","7","7","5.47","5.71","6","6"
"2005","35-65 y.","general elemantary","5.21","5","826","3","4","6","7","5.11","5.31","5","6"
"2005","35-65 y.","higher education","5.56","6","2984","4","5","7","7","5.52","5.6","6","6"
"2005","35-65 y.","higher vocational","5.64","6","1097","4","5","7","7","5.57","5.71","6","6"
"2005","35-65 y.","in school","","","","","","","","","","",""
"2005","35-65 y.","inadequately","5.02","5","128","3","4","6","7","4.72","5.32","5","6"
"2005","35-65 y.","middle vocational","5.51","6","5958","4","5","7","7","5.48","5.54","6","6"
"2005","35-65 y.","vocational + Abi","5.45","6","595","3","4","7","7","5.35","5.55","6","6"
"2005","66 and older","general elemantary","5.28","5","741","3","4","7","7","5.17","5.39","5","6"
"2005","66 and older","higher education","5.57","6","663","4","5","7","7","5.47","5.67","6","6"
"2005","66 and older","higher vocational","5.51","6","254","4","5","7","7","5.34","5.68","5","6"
"2005","66 and older","in school","","","","","","","","","","",""
"2005","66 and older","inadequately","5.16","5","51","3","4","7","7","4.69","5.63","4","5"
"2005","66 and older","middle vocational","5.34","6","1953","3","4","7","7","5.28","5.4","5","6"
"2005","66 and older","vocational + Abi","5.83","6","102","4","5","7","7","5.58","6.08","6","6"
"2006","16-34 y.","general elemantary","","","","","","","","","","",""
"2006","16-34 y.","higher education","","","","","","","","","","",""
"2006","16-34 y.","higher vocational","","","","","","","","","","",""
"2006","16-34 y.","in school","","","","","","","","","","",""
"2006","16-34 y.","inadequately","","","","","","","","","","",""
"2006","16-34 y.","middle vocational","","","","","","","","","","",""
"2006","16-34 y.","vocational + Abi","","","","","","","","","","",""
"2006","35-65 y.","general elemantary","","","","","","","","","","",""
"2006","35-65 y.","higher education","","","","","","","","","","",""
"2006","35-65 y.","higher vocational","","","","","","","","","","",""
"2006","35-65 y.","in school","","","","","","","","","","",""
"2006","35-65 y.","inadequately","","","","","","","","","","",""
"2006","35-65 y.","middle vocational","","","","","","","","","","",""
"2006","35-65 y.","vocational + Abi","","","","","","","","","","",""
"2006","66 and older","general elemantary","","","","","","","","","","",""
"2006","66 and older","higher education","","","","","","","","","","",""
"2006","66 and older","higher vocational","","","","","","","","","","",""
"2006","66 and older","in school","","","","","","","","","","",""
"2006","66 and older","inadequately","","","","","","","","","","",""
"2006","66 and older","middle vocational","","","","","","","","","","",""
"2006","66 and older","vocational + Abi","","","","","","","","","","",""
"2007","16-34 y.","general elemantary","","","","","","","","","","",""
"2007","16-34 y.","higher education","","","","","","","","","","",""
"2007","16-34 y.","higher vocational","","","","","","","","","","",""
"2007","16-34 y.","in school","","","","","","","","","","",""
"2007","16-34 y.","inadequately","","","","","","","","","","",""
"2007","16-34 y.","middle vocational","","","","","","","","","","",""
"2007","16-34 y.","vocational + Abi","","","","","","","","","","",""
"2007","35-65 y.","general elemantary","","","","","","","","","","",""
"2007","35-65 y.","higher education","","","","","","","","","","",""
"2007","35-65 y.","higher vocational","","","","","","","","","","",""
"2007","35-65 y.","in school","","","","","","","","","","",""
"2007","35-65 y.","inadequately","","","","","","","","","","",""
"2007","35-65 y.","middle vocational","","","","","","","","","","",""
"2007","35-65 y.","vocational + Abi","","","","","","","","","","",""
"2007","66 and older","general elemantary","","","","","","","","","","",""
"2007","66 and older","higher education","","","","","","","","","","",""
"2007","66 and older","higher vocational","","","","","","","","","","",""
"2007","66 and older","in school","","","","","","","","","","",""
"2007","66 and older","inadequately","","","","","","","","","","",""
"2007","66 and older","middle vocational","","","","","","","","","","",""
"2007","66 and older","vocational + Abi","","","","","","","","","","",""
"2008","16-34 y.","general elemantary","","","","","","","","","","",""
"2008","16-34 y.","higher education","","","","","","","","","","",""
"2008","16-34 y.","higher vocational","","","","","","","","","","",""
"2008","16-34 y.","in school","","","","","","","","","","",""
"2008","16-34 y.","inadequately","","","","","","","","","","",""
"2008","16-34 y.","middle vocational","","","","","","","","","","",""
"2008","16-34 y.","vocational + Abi","","","","","","","","","","",""
"2008","35-65 y.","general elemantary","","","","","","","","","","",""
"2008","35-65 y.","higher education","","","","","","","","","","",""
"2008","35-65 y.","higher vocational","","","","","","","","","","",""
"2008","35-65 y.","in school","","","","","","","","","","",""
"2008","35-65 y.","inadequately","","","","","","","","","","",""
"2008","35-65 y.","middle vocational","","","","","","","","","","",""
"2008","35-65 y.","vocational + Abi","","","","","","","","","","",""
"2008","66 and older","general elemantary","","","","","","","","","","",""
"2008","66 and older","higher education","","","","","","","","","","",""
"2008","66 and older","higher vocational","","","","","","","","","","",""
"2008","66 and older","in school","","","","","","","","","","",""
"2008","66 and older","inadequately","","","","","","","","","","",""
"2008","66 and older","middle vocational","","","","","","","","","","",""
"2008","66 and older","vocational + Abi","","","","","","","","","","",""
"2009","16-34 y.","general elemantary","5.41","6","549","4","4","7","7","5.3","5.52","6","6"
