"year","education","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","5.57","6","5198","5.54","5.6","4","5","7","7"
"2005","lower secondary degree","5.41","6","7076","5.38","5.44","3","5","7","7"
"2005","no degree/no degree yet","5.45","6","901","5.36","5.54","3","5","7","7"
"2005","Other degree","5.25","5","1118","5.16","5.34","3","4","6","7"
"2005","secondary school degree","5.6","6","6019","5.57","5.63","4","5","7","7"
"2006","college entrance qualification","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","",""
"2006","Other degree","","","","","","","","",""
"2006","secondary school degree","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","",""
"2007","Other degree","","","","","","","","",""
"2007","secondary school degree","","","","","","","","",""
"2008","college entrance qualification","","","","","","","","",""
"2008","lower secondary degree","","","","","","","","",""
"2008","no degree/no degree yet","","","","","","","","",""
"2008","Other degree","","","","","","","","",""
"2008","secondary school degree","","","","","","","","",""
"2009","college entrance qualification","5.41","6","4891","5.37","5.45","3","5","7","7"
"2009","lower secondary degree","5.29","5","5912","5.25","5.33","3","4","6","7"
"2009","no degree/no degree yet","5.16","5","485","5.04","5.28","3","4","6","7"
"2009","Other degree","5.24","5","799","5.14","5.34","3","4","6","7"
"2009","secondary school degree","5.46","6","5405","5.43","5.49","4","5","7","7"
"2010","college entrance qualification","","","","","","","","",""
"2010","lower secondary degree","","","","","","","","",""
"2010","no degree/no degree yet","","","","","","","","",""
"2010","Other degree","","","","","","","","",""
"2010","secondary school degree","","","","","","","","",""
"2011","college entrance qualification","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","",""
"2011","Other degree","","","","","","","","",""
"2011","secondary school degree","","","","","","","","",""
"2012","college entrance qualification","5.72","6","2148","5.67","5.77","4","5","7","7"
"2012","lower secondary degree","5.78","6","1407","5.71","5.85","4","5","7","7"
"2012","no degree/no degree yet","5.6","6","351","5.45","5.75","4","5","7","7"
"2012","Other degree","5.65","6","679","5.55","5.75","4","5","7","7"
"2012","secondary school degree","5.85","6","2388","5.8","5.9","4","5","7","7"
"2013","college entrance qualification","5.52","6","5389","5.49","5.55","4","5","7","7"
"2013","lower secondary degree","5.46","6","5828","5.43","5.49","4","5","7","7"
"2013","no degree/no degree yet","5.39","6","487","5.26","5.52","3","5","7","7"
"2013","Other degree","5.53","6","1016","5.44","5.62","3","5","7","7"
"2013","secondary school degree","5.59","6","5626","5.56","5.62","4","5","7","7"
"2014","college entrance qualification","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","",""
"2014","Other degree","","","","","","","","",""
"2014","secondary school degree","","","","","","","","",""
"2015","college entrance qualification","","","","","","","","",""
"2015","lower secondary degree","","","","","","","","",""
"2015","no degree/no degree yet","","","","","","","","",""
"2015","Other degree","","","","","","","","",""
"2015","secondary school degree","","","","","","","","",""
"2016","college entrance qualification","","","","","","","","",""
"2016","lower secondary degree","","","","","","","","",""
"2016","no degree/no degree yet","","","","","","","","",""
"2016","Other degree","","","","","","","","",""
"2016","secondary school degree","","","","","","","","",""
"2017","college entrance qualification","5.45","6","7949","5.42","5.48","4","5","7","7"
"2017","lower secondary degree","5.5","6","6105","5.47","5.53","4","5","7","7"
"2017","no degree/no degree yet","5.54","6","1860","5.47","5.61","4","5","7","7"
"2017","Other degree","5.64","6","4568","5.6","5.68","4","5","7","7"
"2017","secondary school degree","5.6","6","7616","5.57","5.63","4","5","7","7"
"2018","college entrance qualification","","","","","","","","",""
"2018","lower secondary degree","","","","","","","","",""
"2018","no degree/no degree yet","","","","","","","","",""
"2018","Other degree","","","","","","","","",""
"2018","secondary school degree","","","","","","","","",""
"2019","college entrance qualification","5.45","6","8546","5.42","5.48","4","5","6","7"
"2019","lower secondary degree","5.43","6","5299","5.39","5.47","4","5","7","7"
"2019","no degree/no degree yet","5.56","6","779","5.46","5.66","4","5","7","7"
"2019","Other degree","5.59","6","2550","5.54","5.64","4","5","7","7"
"2019","secondary school degree","5.59","6","7425","5.56","5.62","4","5","7","7"
