"ple0024","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","no migration background","1881","0.296617309681419","0.285007376437538","0.308227242925299"
"Yes","2009","Not Employed","direct migration background","231","0.346769870642156","0.310838653829421","0.382701087454891"
"Yes","2009","Not Employed","indirect migration background","143","0.69086827050458","0.625500015433178","0.756236525575982"
"Yes","2009","Employed","no migration background","5567","0.567757105666342","0.557816356301604","0.577697855031081"
"Yes","2009","Employed","direct migration background","619","0.633626663321684","0.603195847223526","0.664057479419842"
"Yes","2009","Employed","indirect migration background","370","0.738683427656802","0.700552650460021","0.776814204853583"
"No","2009","Not Employed","no migration background","4065","0.703382690318581","0.691772757074701","0.714992623562462"
"No","2009","Not Employed","direct migration background","443","0.653230129357844","0.617298912545109","0.689161346170579"
"No","2009","Not Employed","indirect migration background","49","0.30913172949542","0.243763474424018","0.374499984566822"
"No","2009","Employed","no migration background","3973","0.432242894333658","0.422302144968919","0.442183643698396"
"No","2009","Employed","direct migration background","344","0.366373336678316","0.335942520580158","0.396804152776474"
"No","2009","Employed","indirect migration background","140","0.261316572343198","0.223185795146417","0.299447349539979"
"Yes","2010","Not Employed","no migration background","","","",""
"Yes","2010","Not Employed","direct migration background","","","",""
"Yes","2010","Not Employed","indirect migration background","","","",""
"Yes","2010","Employed","no migration background","","","",""
"Yes","2010","Employed","direct migration background","","","",""
"Yes","2010","Employed","indirect migration background","","","",""
"No","2010","Not Employed","no migration background","","","",""
"No","2010","Not Employed","direct migration background","","","",""
"No","2010","Not Employed","indirect migration background","","","",""
"No","2010","Employed","no migration background","","","",""
"No","2010","Employed","direct migration background","","","",""
"No","2010","Employed","indirect migration background","","","",""
"Yes","2011","Not Employed","no migration background","1557","0.200245724396874","0.190872998010069","0.209618450783678"
"Yes","2011","Not Employed","direct migration background","257","0.292362106900538","0.261730310430756","0.32299390337032"
"Yes","2011","Not Employed","indirect migration background","145","0.588121769070617","0.523524567190579","0.652718970950654"
"Yes","2011","Employed","no migration background","5124","0.457999939442998","0.448614242732023","0.467385636153973"
"Yes","2011","Employed","direct migration background","642","0.550922690277457","0.522149830255119","0.579695550299795"
"Yes","2011","Employed","indirect migration background","365","0.68006291476713","0.641601017341739","0.718524812192521"
"No","2011","Not Employed","no migration background","5446","0.799754275603127","0.790381549216322","0.809127001989931"
"No","2011","Not Employed","direct migration background","590","0.707637893099462","0.67700609662968","0.738269689569244"
"No","2011","Not Employed","indirect migration background","78","0.411878230929383","0.347281029049346","0.476475432809421"
"No","2011","Employed","no migration background","5701","0.542000060557002","0.532614363846027","0.551385757267977"
"No","2011","Employed","direct migration background","506","0.449077309722543","0.420304449700205","0.477850169744881"
"No","2011","Employed","indirect migration background","200","0.31993708523287","0.281475187807479","0.358398982658261"
"Yes","2012","Not Employed","no migration background","","","",""
"Yes","2012","Not Employed","direct migration background","","","",""
"Yes","2012","Not Employed","indirect migration background","","","",""
"Yes","2012","Employed","no migration background","","","",""
"Yes","2012","Employed","direct migration background","","","",""
"Yes","2012","Employed","indirect migration background","","","",""
"No","2012","Not Employed","no migration background","","","",""
"No","2012","Not Employed","direct migration background","","","",""
"No","2012","Not Employed","indirect migration background","","","",""
"No","2012","Employed","no migration background","","","",""
"No","2012","Employed","direct migration background","","","",""
"No","2012","Employed","indirect migration background","","","",""
"Yes","2013","Not Employed","no migration background","1241","0.177038839961916","0.167747378555157","0.186330301368675"
"Yes","2013","Not Employed","direct migration background","163","0.203577812085006","0.173201636028548","0.233953988141465"
"Yes","2013","Not Employed","indirect migration background","87","0.452439737146265","0.376029662989612","0.528849811302918"
"Yes","2013","Employed","no migration background","4383","0.438134956926939","0.428375241251734","0.447894672602144"
"Yes","2013","Employed","direct migration background","507","0.487447934897597","0.456606425878683","0.51828944391651"
"Yes","2013","Employed","indirect migration background","328","0.595096186899009","0.553960008291742","0.636232365506275"
"No","2013","Not Employed","no migration background","5242","0.822961160038084","0.813669698631325","0.832252621444843"
"No","2013","Not Employed","direct migration background","512","0.796422187914994","0.766046011858535","0.826798363971452"
"No","2013","Not Employed","indirect migration background","76","0.547560262853735","0.471150188697082","0.623970337010388"
"No","2013","Employed","no migration background","5545","0.561865043073061","0.552105327397856","0.571624758748266"
"No","2013","Employed","direct migration background","502","0.512552065102403","0.48171055608349","0.543393574121317"
"No","2013","Employed","indirect migration background","219","0.404903813100991","0.363767634493725","0.446039991708258"
"Yes","2014","Not Employed","no migration background","","","",""
"Yes","2014","Not Employed","direct migration background","","","",""
"Yes","2014","Not Employed","indirect migration background","","","",""
"Yes","2014","Employed","no migration background","","","",""
"Yes","2014","Employed","direct migration background","","","",""
"Yes","2014","Employed","indirect migration background","","","",""
"No","2014","Not Employed","no migration background","","","",""
"No","2014","Not Employed","direct migration background","","","",""
"No","2014","Not Employed","indirect migration background","","","",""
