"ple0024","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","no migration background","212","1","1","1"
"Yes","2009","Schleswig-Holstein","direct migration background","22","","",""
"Yes","2009","Schleswig-Holstein","indirect migration background","5","","",""
"Yes","2009","Hamburg","no migration background","104","1","1","1"
"Yes","2009","Hamburg","direct migration background","9","","",""
"Yes","2009","Hamburg","indirect migration background","7","","",""
"Yes","2009","Lower Saxony","no migration background","638","1","1","1"
"Yes","2009","Lower Saxony","direct migration background","76","1","1","1"
"Yes","2009","Lower Saxony","indirect migration background","33","1","1","1"
"Yes","2009","Bremen","no migration background","62","1","1","1"
"Yes","2009","Bremen","direct migration background","3","","",""
"Yes","2009","Bremen","indirect migration background","1","","",""
"Yes","2009","North Rhine-Westphalia","no migration background","1465","1","1","1"
"Yes","2009","North Rhine-Westphalia","direct migration background","251","1","1","1"
"Yes","2009","North Rhine-Westphalia","indirect migration background","146","1","1","1"
"Yes","2009","Hesse","no migration background","453","1","1","1"
"Yes","2009","Hesse","direct migration background","65","1","1","1"
"Yes","2009","Hesse","indirect migration background","41","1","1","1"
"Yes","2009","Rhineland-Palatinate,Saarland","no migration background","380","1","1","1"
"Yes","2009","Rhineland-Palatinate,Saarland","direct migration background","71","1","1","1"
"Yes","2009","Rhineland-Palatinate,Saarland","indirect migration background","39","1","1","1"
"Yes","2009","Baden-Württemberg","no migration background","858","1","1","1"
"Yes","2009","Baden-Württemberg","direct migration background","201","1","1","1"
"Yes","2009","Baden-Württemberg","indirect migration background","116","1","1","1"
"Yes","2009","Bavaria","no migration background","1106","1","1","1"
"Yes","2009","Bavaria","direct migration background","114","1","1","1"
"Yes","2009","Bavaria","indirect migration background","86","1","1","1"
"Yes","2009","Berlin","no migration background","248","1","1","1"
"Yes","2009","Berlin","direct migration background","19","","",""
"Yes","2009","Berlin","indirect migration background","13","","",""
"Yes","2009","Brandenburg","no migration background","347","1","1","1"
"Yes","2009","Brandenburg","direct migration background","6","","",""
"Yes","2009","Brandenburg","indirect migration background","6","","",""
"Yes","2009","Mecklenburg-Western Pomerania","no migration background","220","1","1","1"
"Yes","2009","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"Yes","2009","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Yes","2009","Saxony","no migration background","616","1","1","1"
"Yes","2009","Saxony","direct migration background","6","","",""
"Yes","2009","Saxony","indirect migration background","7","","",""
"Yes","2009","Saxony-Anhalt","no migration background","345","1","1","1"
"Yes","2009","Saxony-Anhalt","direct migration background","3","","",""
"Yes","2009","Saxony-Anhalt","indirect migration background","5","","",""
"Yes","2009","Thuringia","no migration background","394","1","1","1"
"Yes","2009","Thuringia","direct migration background","3","","",""
"Yes","2009","Thuringia","indirect migration background","7","","",""
"Yes","2010","Schleswig-Holstein","no migration background","","","",""
"Yes","2010","Schleswig-Holstein","direct migration background","","","",""
"Yes","2010","Schleswig-Holstein","indirect migration background","","","",""
"Yes","2010","Hamburg","no migration background","","","",""
"Yes","2010","Hamburg","direct migration background","","","",""
"Yes","2010","Hamburg","indirect migration background","","","",""
"Yes","2010","Lower Saxony","no migration background","","","",""
"Yes","2010","Lower Saxony","direct migration background","","","",""
"Yes","2010","Lower Saxony","indirect migration background","","","",""
"Yes","2010","Bremen","no migration background","","","",""
"Yes","2010","Bremen","direct migration background","","","",""
"Yes","2010","Bremen","indirect migration background","","","",""
"Yes","2010","North Rhine-Westphalia","no migration background","","","",""
"Yes","2010","North Rhine-Westphalia","direct migration background","","","",""
