"ple0024","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"No","2009","16-34 y.","941","0.254950671914859","0.241326278891583","0.268575064938135","2"
"No","2009","35-65 y.","4785","0.505794697926081","0.495854886701962","0.5157345091502","2"
"No","2009","66 and older","3288","0.808034722753028","0.796088071026743","0.819981374479314","2"
"Yes","2009","16-34 y.","2990","0.745049328085141","0.731424935061865","0.758673721108417","1"
"Yes","2009","35-65 y.","4934","0.494205302073919","0.4842654908498","0.504145113298038","1"
"Yes","2009","66 and older","887","0.191965277246972","0.180018625520686","0.203911928973257","1"
"No","2010","16-34 y.","","","","","2"
"No","2010","35-65 y.","","","","","2"
"No","2010","66 and older","","","","","2"
"Yes","2010","16-34 y.","","","","","1"
"Yes","2010","35-65 y.","","","","","1"
"Yes","2010","66 and older","","","","","1"
"No","2011","16-34 y.","1305","0.31031023136491","0.296377177280062","0.324243285449758","2"
"No","2011","35-65 y.","6807","0.626363003642883","0.617415617142129","0.635310390143638","2"
"No","2011","66 and older","4409","0.867312928173976","0.858044300959255","0.876581555388697","2"
"Yes","2011","16-34 y.","2930","0.68968976863509","0.675756714550242","0.703622822719938","1"
"Yes","2011","35-65 y.","4423","0.373636996357117","0.364689609856362","0.382584382857871","1"
"Yes","2011","66 and older","737","0.132687071826024","0.123418444611303","0.141955699040745","1"
"No","2012","16-34 y.","","","","","2"
"No","2012","35-65 y.","","","","","2"
"No","2012","66 and older","","","","","2"
"Yes","2012","16-34 y.","","","","","1"
"Yes","2012","35-65 y.","","","","","1"
"Yes","2012","66 and older","","","","","1"
"No","2013","16-34 y.","1255","0.337295969660362","0.32194961818024","0.352642321140485","2"
"No","2013","35-65 y.","6501","0.658529453137094","0.649320495353479","0.66773841092071","2"
"No","2013","66 and older","4340","0.877578805558119","0.868468976437688","0.886688634678551","2"
"Yes","2013","16-34 y.","2391","0.662704030339638","0.647357678859515","0.67805038181976","1"
"Yes","2013","35-65 y.","3685","0.341470546862906","0.33226158907929","0.350679504646521","1"
"Yes","2013","66 and older","633","0.122421194441881","0.113311365321449","0.131531023562312","1"
"No","2014","16-34 y.","","","","","2"
"No","2014","35-65 y.","","","","","2"
"No","2014","66 and older","","","","","2"
"Yes","2014","16-34 y.","","","","","1"
"Yes","2014","35-65 y.","","","","","1"
"Yes","2014","66 and older","","","","","1"
"No","2015","16-34 y.","1931","0.341469553979667","0.329163402530521","0.353775705428814","2"
"No","2015","35-65 y.","8461","0.627929568122868","0.620007325872749","0.635851810372988","2"
"No","2015","66 and older","4322","0.877325281600115","0.868168592960722","0.886481970239509","2"
"Yes","2015","16-34 y.","3773","0.658530446020333","0.646224294571186","0.670836597469479","1"
"Yes","2015","35-65 y.","5839","0.372070431877132","0.364148189627012","0.379992674127251","1"
"Yes","2015","66 and older","609","0.122674718399885","0.113518029760491","0.131831407039278","1"
"No","2016","16-34 y.","","","","","2"
"No","2016","35-65 y.","","","","","2"
"No","2016","66 and older","","","","","2"
"Yes","2016","16-34 y.","","","","","1"
"Yes","2016","35-65 y.","","","","","1"
"Yes","2016","66 and older","","","","","1"
"No","2017","16-34 y.","2164","0.354729493264897","0.342810973433767","0.366648013096028","2"
"No","2017","35-65 y.","9402","0.644653164253136","0.63707966847862","0.652226660027651","2"
"No","2017","66 and older","4393","0.878804797238046","0.869769728017937","0.887839866458155","2"
"Yes","2017","16-34 y.","4026","0.645270506735103","0.633351986903972","0.657189026566234","1"
"Yes","2017","35-65 y.","5940","0.355346835746865","0.347773339972349","0.36292033152138","1"
"Yes","2017","66 and older","619","0.121195202761954","0.112160133541845","0.130230271982063","1"
"No","2018","16-34 y.","","","","","2"
"No","2018","35-65 y.","","","","","2"
"No","2018","66 and older","","","","","2"
"Yes","2018","16-34 y.","","","","","1"
"Yes","2018","35-65 y.","","","","","1"
"Yes","2018","66 and older","","","","","1"
"No","2019","16-34 y.","2177","0.410243905227623","0.397117376067001","0.423370434388245","2"
"No","2019","35-65 y.","9907","0.685445657738484","0.678024971099915","0.692866344377053","2"
"No","2019","66 and older","4666","0.901034766363403","0.892941769948825","0.909127762777981","2"
"Yes","2019","16-34 y.","3217","0.589756094772377","0.576629565611755","0.602882623932999","1"
"Yes","2019","35-65 y.","5134","0.314554342261516","0.307133655622947","0.321975028900085","1"
"Yes","2019","66 and older","564","0.0989652336365973","0.0908722372220193","0.107058230051175","1"
