"ple0024","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","2230","1","1","1"
"Yes","2009","secondary school degree","2806","1","1","1"
"Yes","2009","college entrance qualification","2705","1","1","1"
"Yes","2009","Other degree","380","1","1","1"
"Yes","2009","no degree/no degree yet","312","1","1","1"
"Yes","2010","lower secondary degree","","","",""
"Yes","2010","secondary school degree","","","",""
"Yes","2010","college entrance qualification","","","",""
"Yes","2010","Other degree","","","",""
"Yes","2010","no degree/no degree yet","","","",""
"Yes","2011","lower secondary degree","1827","1","1","1"
"Yes","2011","secondary school degree","2472","1","1","1"
"Yes","2011","college entrance qualification","2660","1","1","1"
"Yes","2011","Other degree","468","1","1","1"
"Yes","2011","no degree/no degree yet","317","1","1","1"
"Yes","2012","lower secondary degree","","","",""
"Yes","2012","secondary school degree","","","",""
"Yes","2012","college entrance qualification","","","",""
"Yes","2012","Other degree","","","",""
"Yes","2012","no degree/no degree yet","","","",""
"Yes","2013","lower secondary degree","1394","1","1","1"
"Yes","2013","secondary school degree","2039","1","1","1"
"Yes","2013","college entrance qualification","2345","1","1","1"
"Yes","2013","Other degree","352","1","1","1"
"Yes","2013","no degree/no degree yet","258","1","1","1"
"Yes","2014","lower secondary degree","","","",""
"Yes","2014","secondary school degree","","","",""
"Yes","2014","college entrance qualification","","","",""
"Yes","2014","Other degree","","","",""
"Yes","2014","no degree/no degree yet","","","",""
"Yes","2015","lower secondary degree","1807","1","1","1"
"Yes","2015","secondary school degree","2708","1","1","1"
"Yes","2015","college entrance qualification","3362","1","1","1"
"Yes","2015","Other degree","1323","1","1","1"
"Yes","2015","no degree/no degree yet","436","1","1","1"
"Yes","2016","lower secondary degree","","","",""
"Yes","2016","secondary school degree","","","",""
"Yes","2016","college entrance qualification","","","",""
"Yes","2016","Other degree","","","",""
"Yes","2016","no degree/no degree yet","","","",""
"Yes","2017","lower secondary degree","1624","1","1","1"
"Yes","2017","secondary school degree","2727","1","1","1"
"Yes","2017","college entrance qualification","3634","1","1","1"
"Yes","2017","Other degree","1540","1","1","1"
"Yes","2017","no degree/no degree yet","473","1","1","1"
"Yes","2018","lower secondary degree","","","",""
"Yes","2018","secondary school degree","","","",""
"Yes","2018","college entrance qualification","","","",""
"Yes","2018","Other degree","","","",""
"Yes","2018","no degree/no degree yet","","","",""
"Yes","2019","lower secondary degree","1198","1","1","1"
"Yes","2019","secondary school degree","2261","1","1","1"
"Yes","2019","college entrance qualification","3393","1","1","1"
"Yes","2019","Other degree","1066","1","1","1"
"Yes","2019","no degree/no degree yet","385","1","1","1"
