"ple0024","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Not Working","inadequately","64","0.669216099384843","0.575099148969003","0.763333049800682","2"
"No","2009","Not Working","vocational + Abi","139","0.596755636891084","0.535204568541883","0.658306705240285","2"
"No","2009","Not Working","higher vocational","315","0.775729032826517","0.735743627657317","0.815714437995718","2"
"No","2009","Not Working","middle vocational","2430","0.706613049543292","0.691560964976771","0.721665134109813","2"
"No","2009","Not Working","general elemantary","731","0.70028599097503","0.672588656621636","0.727983325328424","2"
"No","2009","Part Time","higher vocational","153","0.568517216438126","0.511998716145583","0.62503571673067","2"
"No","2009","Part Time","higher education","386","0.440658554649164","0.407782049793275","0.473535059505054","2"
"No","2009","Not Working","higher education","795","0.74816078430121","0.72248604335976","0.773835525242659","2"
"No","2009","Part Time","middle vocational","958","0.473923254106889","0.452846570567315","0.494999937646464","2"
"No","2009","Part Time","vocational + Abi","109","0.463334142583962","0.404822118112177","0.521846167055748","2"
"No","2009","Not Working","in school","53","0.234081462752107","0.181594325233909","0.286568600270305","2"
"No","2009","Part Time","in school","14","","","","2"
"No","2009","Part Time","inadequately","14","","","","2"
"No","2009","Part Time","general elemantary","150","0.452581262266946","0.400730568204095","0.504431956329798","2"
"No","2009","Full Time","higher vocational","248","0.39585595095571","0.356462314047214","0.435249587864206","2"
"No","2009","Full Time","higher education","826","0.378695901302366","0.357458731274574","0.399933071330158","2"
"No","2009","Full Time","general elemantary","110","0.309224055249575","0.262693983261141","0.355754127238009","2"
"No","2009","Full Time","middle vocational","1264","0.405593056073131","0.388820263721318","0.422365848424943","2"
"No","2009","Full Time","vocational + Abi","171","0.368871334064046","0.32520385949189","0.412538808636203","2"
"No","2009","Full Time","in school","1","","","","2"
"No","2009","Full Time","inadequately","11","","","","2"
"Yes","2009","Full Time","in school","","","","","1"
"Yes","2009","Full Time","inadequately","28","","","","1"
"Yes","2009","Full Time","general elemantary","269","0.690775944750425","0.644245872761991","0.737306016738859","1"
"Yes","2009","Full Time","middle vocational","2028","0.594406943926869","0.577634151575056","0.611179736278682","1"
"Yes","2009","Full Time","vocational + Abi","298","0.631128665935954","0.587461191363797","0.67479614050811","1"
"Yes","2009","Full Time","higher vocational","344","0.60414404904429","0.564750412135794","0.643537685952786","1"
"Yes","2009","Full Time","higher education","1178","0.621304098697634","0.600066928669842","0.642541268725426","1"
"Yes","2009","Part Time","in school","44","0.808953129516002","0.707779870934593","0.910126388097411","1"
"Yes","2009","Part Time","inadequately","18","","","","1"
"Yes","2009","Part Time","general elemantary","204","0.547418737733054","0.495568043670202","0.599269431795905","1"
"Yes","2009","Part Time","middle vocational","1198","0.526076745893111","0.505000062353536","0.547153429432686","1"
"Yes","2009","Part Time","vocational + Abi","170","0.536665857416038","0.478153832944252","0.595177881887823","1"
"Yes","2009","Part Time","higher vocational","142","0.431482783561874","0.374964283269331","0.488001283854417","1"
"Yes","2009","Part Time","higher education","490","0.559341445350836","0.526464940494946","0.592217950206725","1"
"Yes","2009","Not Working","in school","197","0.765918537247893","0.713431399729695","0.818405674766091","1"
"Yes","2009","Not Working","inadequately","32","0.330783900615157","0.236666950199318","0.424900851030997","1"
"Yes","2009","Not Working","general elemantary","320","0.29971400902497","0.272016674671576","0.327411343378364","1"
"Yes","2009","Not Working","middle vocational","1085","0.293386950456708","0.278334865890187","0.308439035023229","1"
"Yes","2009","Not Working","vocational + Abi","105","0.403244363108916","0.341693294759715","0.464795431458117","1"
"Yes","2009","Not Working","higher vocational","103","0.224270967173483","0.184285562004282","0.264256372342683","1"
"Yes","2009","Not Working","higher education","303","0.25183921569879","0.226164474757341","0.27751395664024","1"
"No","2010","Not Working","inadequately","","","","","2"
"No","2010","Not Working","vocational + Abi","","","","","2"
"No","2010","Not Working","general elemantary","","","","","2"
"No","2010","Not Working","middle vocational","","","","","2"
"No","2010","Part Time","middle vocational","","","","","2"
"No","2010","Part Time","vocational + Abi","","","","","2"
"No","2010","Not Working","higher vocational","","","","","2"
"No","2010","Part Time","higher vocational","","","","","2"
"No","2010","Not Working","higher education","","","","","2"
"No","2010","Part Time","higher education","","","","","2"
"No","2010","Not Working","in school","","","","","2"
"No","2010","Full Time","higher vocational","","","","","2"
"No","2010","Full Time","higher education","","","","","2"
"No","2010","Part Time","in school","","","","","2"
"No","2010","Part Time","inadequately","","","","","2"
"No","2010","Part Time","general elemantary","","","","","2"
"No","2010","Full Time","in school","","","","","2"
"No","2010","Full Time","inadequately","","","","","2"
"No","2010","Full Time","general elemantary","","","","","2"
"No","2010","Full Time","middle vocational","","","","","2"
"No","2010","Full Time","vocational + Abi","","","","","2"
"Yes","2010","Part Time","general elemantary","","","","","1"
"Yes","2010","Part Time","middle vocational","","","","","1"
"Yes","2010","Part Time","vocational + Abi","","","","","1"
"Yes","2010","Part Time","higher vocational","","","","","1"
"Yes","2010","Full Time","in school","","","","","1"
"Yes","2010","Full Time","inadequately","","","","","1"
"Yes","2010","Full Time","general elemantary","","","","","1"
"Yes","2010","Full Time","middle vocational","","","","","1"
"Yes","2010","Full Time","vocational + Abi","","","","","1"
"Yes","2010","Full Time","higher vocational","","","","","1"
"Yes","2010","Full Time","higher education","","","","","1"
"Yes","2010","Part Time","in school","","","","","1"
"Yes","2010","Part Time","inadequately","","","","","1"
"Yes","2010","Part Time","higher education","","","","","1"
"Yes","2010","Not Working","in school","","","","","1"
"Yes","2010","Not Working","inadequately","","","","","1"
"Yes","2010","Not Working","general elemantary","","","","","1"
"Yes","2010","Not Working","middle vocational","","","","","1"
"Yes","2010","Not Working","vocational + Abi","","","","","1"
"Yes","2010","Not Working","higher vocational","","","","","1"
"Yes","2010","Not Working","higher education","","","","","1"
"No","2011","Part Time","higher vocational","183","0.650548293433844","0.596773596262509","0.704322990605179","2"
"No","2011","Part Time","middle vocational","1448","0.583433712858672","0.564436595894338","0.602430829823006","2"
"No","2011","Part Time","vocational + Abi","183","0.558468349067527","0.508007236221074","0.608929461913979","2"
"No","2011","Part Time","higher education","503","0.526941992137505","0.495226736188303","0.558657248086707","2"
"No","2011","Not Working","in school","53","0.221015147038289","0.169373774510615","0.272656519565964","2"
