"ple0024","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","1-pers.-HH","381","1","1","1"
"Yes","2009","16-34 y.","(Married) couple without C. ","507","1","1","1"
"Yes","2009","16-34 y.","Single parent ","289","1","1","1"
"Yes","2009","16-34 y.","Couple + C. LE 16 ","571","1","1","1"
"Yes","2009","16-34 y.","Couple + C. GT 16 ","875","1","1","1"
"Yes","2009","16-34 y.","Couple + C. LE and GT 16","296","1","1","1"
"Yes","2009","35-65 y.","1-pers.-HH","508","1","1","1"
"Yes","2009","35-65 y.","(Married) couple without C. ","1347","1","1","1"
"Yes","2009","35-65 y.","Single parent ","281","1","1","1"
"Yes","2009","35-65 y.","Couple + C. LE 16 ","1316","1","1","1"
"Yes","2009","35-65 y.","Couple + C. GT 16 ","938","1","1","1"
"Yes","2009","35-65 y.","Couple + C. LE and GT 16","471","1","1","1"
"Yes","2009","66 and older","1-pers.-HH","230","1","1","1"
"Yes","2009","66 and older","(Married) couple without C. ","582","1","1","1"
"Yes","2009","66 and older","Single parent ","11","","",""
"Yes","2009","66 and older","Couple + C. LE 16 ","2","","",""
"Yes","2009","66 and older","Couple + C. GT 16 ","49","1","1","1"
"Yes","2009","66 and older","Couple + C. LE and GT 16","1","","",""
"Yes","2010","16-34 y.","1-pers.-HH","","","",""
"Yes","2010","16-34 y.","(Married) couple without C. ","","","",""
"Yes","2010","16-34 y.","Single parent ","","","",""
"Yes","2010","16-34 y.","Couple + C. LE 16 ","","","",""
"Yes","2010","16-34 y.","Couple + C. GT 16 ","","","",""
"Yes","2010","16-34 y.","Couple + C. LE and GT 16","","","",""
"Yes","2010","35-65 y.","1-pers.-HH","","","",""
"Yes","2010","35-65 y.","(Married) couple without C. ","","","",""
"Yes","2010","35-65 y.","Single parent ","","","",""
"Yes","2010","35-65 y.","Couple + C. LE 16 ","","","",""
"Yes","2010","35-65 y.","Couple + C. GT 16 ","","","",""
"Yes","2010","35-65 y.","Couple + C. LE and GT 16","","","",""
"Yes","2010","66 and older","1-pers.-HH","","","",""
"Yes","2010","66 and older","(Married) couple without C. ","","","",""
"Yes","2010","66 and older","Single parent ","","","",""
"Yes","2010","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2010","66 and older","Couple + C. GT 16 ","","","",""
"Yes","2010","66 and older","Couple + C. LE and GT 16","","","",""
"Yes","2011","16-34 y.","1-pers.-HH","401","1","1","1"
"Yes","2011","16-34 y.","(Married) couple without C. ","522","1","1","1"
"Yes","2011","16-34 y.","Single parent ","308","1","1","1"
"Yes","2011","16-34 y.","Couple + C. LE 16 ","534","1","1","1"
"Yes","2011","16-34 y.","Couple + C. GT 16 ","792","1","1","1"
"Yes","2011","16-34 y.","Couple + C. LE and GT 16","284","1","1","1"
"Yes","2011","35-65 y.","1-pers.-HH","468","1","1","1"
"Yes","2011","35-65 y.","(Married) couple without C. ","1234","1","1","1"
"Yes","2011","35-65 y.","Single parent ","257","1","1","1"
"Yes","2011","35-65 y.","Couple + C. LE 16 ","1256","1","1","1"
"Yes","2011","35-65 y.","Couple + C. GT 16 ","716","1","1","1"
"Yes","2011","35-65 y.","Couple + C. LE and GT 16","420","1","1","1"
"Yes","2011","66 and older","1-pers.-HH","178","1","1","1"
"Yes","2011","66 and older","(Married) couple without C. ","492","1","1","1"
"Yes","2011","66 and older","Single parent ","7","","",""
"Yes","2011","66 and older","Couple + C. LE 16 ","1","","",""
"Yes","2011","66 and older","Couple + C. GT 16 ","49","1","1","1"
"Yes","2011","66 and older","Couple + C. LE and GT 16","1","","",""
"Yes","2012","16-34 y.","1-pers.-HH","","","",""
"Yes","2012","16-34 y.","(Married) couple without C. ","","","",""
"Yes","2012","16-34 y.","Single parent ","","","",""
"Yes","2012","16-34 y.","Couple + C. LE 16 ","","","",""
"Yes","2012","16-34 y.","Couple + C. GT 16 ","","","",""
"Yes","2012","16-34 y.","Couple + C. LE and GT 16","","","",""
"Yes","2012","35-65 y.","1-pers.-HH","","","",""
"Yes","2012","35-65 y.","(Married) couple without C. ","","","",""
"Yes","2012","35-65 y.","Single parent ","","","",""
"Yes","2012","35-65 y.","Couple + C. LE 16 ","","","",""
"Yes","2012","35-65 y.","Couple + C. GT 16 ","","","",""
"Yes","2012","35-65 y.","Couple + C. LE and GT 16","","","",""
"Yes","2012","66 and older","1-pers.-HH","","","",""
"Yes","2012","66 and older","(Married) couple without C. ","","","",""
"Yes","2012","66 and older","Single parent ","","","",""
"Yes","2012","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2012","66 and older","Couple + C. GT 16 ","","","",""
"Yes","2012","66 and older","Couple + C. LE and GT 16","","","",""
"Yes","2013","16-34 y.","1-pers.-HH","375","1","1","1"
"Yes","2013","16-34 y.","(Married) couple without C. ","433","1","1","1"
"Yes","2013","16-34 y.","Single parent ","256","1","1","1"
"Yes","2013","16-34 y.","Couple + C. LE 16 ","438","1","1","1"
"Yes","2013","16-34 y.","Couple + C. GT 16 ","602","1","1","1"
"Yes","2013","16-34 y.","Couple + C. LE and GT 16","216","1","1","1"
