"ple0024","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2009","indirect migration background","West Germany","179","0.271323831755837","0.237452649937021","0.305195013574653","2"
"No","2009","no migration background","West Germany","5711","0.537149676835068","0.527878819036297","0.546420534633839","2"
"No","2009","no migration background","East Germany","2327","0.544347104594702","0.529587873683078","0.559106335506326","2"
"No","2009","indirect migration background","East Germany","10","","","","2"
"No","2009","direct migration background","West Germany","738","0.473094421778858","0.448358321552062","0.497830522005654","2"
"No","2009","direct migration background","East Germany","49","0.732373886072594","0.630112302901025","0.834635469244163","2"
"Yes","2009","no migration background","West Germany","5401","0.462850323164932","0.453579465366161","0.472121180963703","1"
"Yes","2009","no migration background","East Germany","2047","0.455652895405298","0.440893664493674","0.470412126316922","1"
"Yes","2009","direct migration background","West Germany","827","0.526905578221142","0.502169477994346","0.551641678447938","1"
"Yes","2009","direct migration background","East Germany","23","","","","1"
"Yes","2009","indirect migration background","West Germany","483","0.728676168244163","0.694804986425347","0.762547350062978","1"
"Yes","2009","indirect migration background","East Germany","30","0.670207263338817","0.524512747792061","0.815901778885573","1"
"No","2010","indirect migration background","West Germany","","","","","2"
"No","2010","no migration background","West Germany","","","","","2"
"No","2010","indirect migration background","East Germany","","","","","2"
"No","2010","no migration background","East Germany","","","","","2"
"No","2010","direct migration background","West Germany","","","","","2"
"No","2010","direct migration background","East Germany","","","","","2"
"Yes","2010","no migration background","West Germany","","","","","1"
"Yes","2010","no migration background","East Germany","","","","","1"
"Yes","2010","direct migration background","West Germany","","","","","1"
"Yes","2010","direct migration background","East Germany","","","","","1"
"Yes","2010","indirect migration background","West Germany","","","","","1"
"Yes","2010","indirect migration background","East Germany","","","","","1"
"No","2011","no migration background","West Germany","8139","0.64320019432746","0.63499264639186","0.65140774226306","2"
"No","2011","indirect migration background","West Germany","265","0.34346762394997","0.309322817063187","0.377612430836753","2"
"No","2011","indirect migration background","East Germany","13","","","","2"
"No","2011","no migration background","East Germany","3008","0.647943038041333","0.634347763072266","0.661538313010401","2"
"No","2011","direct migration background","West Germany","1029","0.545129522452961","0.522744849206631","0.567514195699292","2"
"No","2011","direct migration background","East Germany","67","0.733179090327088","0.643766406728159","0.822591773926018","2"
"Yes","2011","no migration background","West Germany","4948","0.35679980567254","0.34859225773694","0.36500735360814","1"
"Yes","2011","no migration background","East Germany","1733","0.352056961958667","0.338461686989599","0.365652236927734","1"
"Yes","2011","direct migration background","West Germany","872","0.454870477547039","0.432485804300708","0.477255150793369","1"
"Yes","2011","direct migration background","East Germany","27","","","","1"
"Yes","2011","indirect migration background","West Germany","478","0.65653237605003","0.622387569163247","0.690677182936813","1"
"Yes","2011","indirect migration background","East Germany","32","0.679417172875989","0.543059298899669","0.81577504685231","1"
"No","2012","no migration background","West Germany","","","","","2"
"No","2012","no migration background","East Germany","","","","","2"
"No","2012","indirect migration background","West Germany","","","","","2"
"No","2012","indirect migration background","East Germany","","","","","2"
"No","2012","direct migration background","West Germany","","","","","2"
"No","2012","direct migration background","East Germany","","","","","2"
"Yes","2012","no migration background","West Germany","","","","","1"
"Yes","2012","no migration background","East Germany","","","","","1"
"Yes","2012","direct migration background","West Germany","","","","","1"
"Yes","2012","direct migration background","East Germany","","","","","1"
"Yes","2012","indirect migration background","West Germany","","","","","1"
"Yes","2012","indirect migration background","East Germany","","","","","1"
"No","2013","no migration background","West Germany","7902","0.669046945264297","0.660657094693488","0.677436795835105","2"
"No","2013","no migration background","East Germany","2885","0.661028935268167","0.646924808838574","0.67513306169776","2"
"No","2013","direct migration background","West Germany","957","0.627056227827218","0.603383066799878","0.650729388854558","2"
"No","2013","direct migration background","East Germany","57","0.708004716093177","0.608987303100818","0.807022129085535","2"
"No","2013","indirect migration background","West Germany","279","0.439207529954084","0.401487394487942","0.476927665420226","2"
"No","2013","indirect migration background","East Germany","16","","","","2"
"Yes","2013","no migration background","West Germany","4182","0.330953054735703","0.322563204164895","0.339342905306512","1"
"Yes","2013","no migration background","East Germany","1442","0.338971064731833","0.32486693830224","0.353075191161426","1"
"Yes","2013","direct migration background","West Germany","646","0.372943772172782","0.349270611145442","0.396616933200122","1"
"Yes","2013","direct migration background","East Germany","24","","","","1"
"Yes","2013","indirect migration background","West Germany","386","0.560792470045916","0.523072334579774","0.598512605512058","1"
"Yes","2013","indirect migration background","East Germany","29","","","","1"
"No","2014","no migration background","West Germany","","","","","2"
"No","2014","no migration background","East Germany","","","","","2"
"No","2014","direct migration background","West Germany","","","","","2"
"No","2014","direct migration background","East Germany","","","","","2"
"No","2014","indirect migration background","West Germany","","","","","2"
"No","2014","indirect migration background","East Germany","","","","","2"
"Yes","2014","no migration background","West Germany","","","","","1"
"Yes","2014","no migration background","East Germany","","","","","1"
"Yes","2014","direct migration background","West Germany","","","","","1"
"Yes","2014","direct migration background","East Germany","","","","","1"
"Yes","2014","indirect migration background","West Germany","","","","","1"
"Yes","2014","indirect migration background","East Germany","","","","","1"
"No","2015","no migration background","West Germany","8773","0.649050682504683","0.641192730921983","0.656908634087382","2"
"No","2015","no migration background","East Germany","3168","0.667865358809328","0.654593959846481","0.681136757772175","2"
"No","2015","direct migration background","West Germany","1949","0.552368823695699","0.536982234056597","0.5677554133348","2"
"No","2015","direct migration background","East Germany","160","0.640438507704021","0.585303568238316","0.695573447169726","2"
"No","2015","indirect migration background","West Germany","625","0.405757486865131","0.381072015329358","0.430442958400903","2"
"No","2015","indirect migration background","East Germany","39","0.344905991713533","0.253108320937022","0.436703662490044","2"
"Yes","2015","no migration background","West Germany","5398","0.350949317495318","0.343091365912618","0.358807269078017","1"
"Yes","2015","no migration background","East Germany","1670","0.332134641190672","0.318863242227825","0.345406040153519","1"
