"ple0024","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","no migration background","999","0.372562865790657","0.354024848703123","0.39110088287819"
"Yes","2009","1-pers.-HH","direct migration background","75","0.456336129755491","0.38336866800144","0.529303591509541"
"Yes","2009","1-pers.-HH","indirect migration background","45","0.652001266480457","0.543472396141994","0.760530136818919"
"Yes","2009","(Married) couple without C. ","no migration background","2178","0.363850614387496","0.351640481629208","0.376060747145785"
"Yes","2009","(Married) couple without C. ","direct migration background","181","0.335741209324114","0.294835484642662","0.376646934005566"
"Yes","2009","(Married) couple without C. ","indirect migration background","77","0.656329745672326","0.567576598028103","0.745082893316549"
"Yes","2009","Single parent ","no migration background","485","0.578902783238329","0.544922134321988","0.612883432154671"
"Yes","2009","Single parent ","direct migration background","44","0.586282726541046","0.483963213618189","0.688602239463903"
"Yes","2009","Single parent ","indirect migration background","52","0.706155517705458","0.601660493846282","0.810650541564634"
"Yes","2009","Couple + C. LE 16 ","no migration background","1522","0.647299818577624","0.627764132719528","0.666835504435719"
"Yes","2009","Couple + C. LE 16 ","direct migration background","241","0.691153591557694","0.641455740359985","0.740851442755403"
"Yes","2009","Couple + C. LE 16 ","indirect migration background","126","0.737476912300682","0.670941720015704","0.804012104585661"
"Yes","2009","Couple + C. GT 16 ","no migration background","1559","0.599138407834875","0.580426477785567","0.617850337884183"
"Yes","2009","Couple + C. GT 16 ","direct migration background","181","0.617629773977816","0.563792623155617","0.671466924800015"
"Yes","2009","Couple + C. GT 16 ","indirect migration background","122","0.77727553339609","0.713204453159526","0.841346613632654"
"Yes","2009","Couple + C. LE and GT 16","no migration background","578","0.662188423636266","0.631254288468424","0.693122558804108"
"Yes","2009","Couple + C. LE and GT 16","direct migration background","110","0.626277581708965","0.55312132784128","0.699433835576649"
"Yes","2009","Couple + C. LE and GT 16","indirect migration background","80","0.813234509781353","0.736850173916183","0.889618845646522"
"No","2009","1-pers.-HH","no migration background","1614","0.627437134209343","0.60889911712181","0.645975151296877"
"No","2009","1-pers.-HH","direct migration background","104","0.543663870244509","0.470696408490459","0.61663133199856"
"No","2009","1-pers.-HH","indirect migration background","29","","",""
"No","2009","(Married) couple without C. ","no migration background","3786","0.636149385612504","0.623939252854215","0.648359518370792"
"No","2009","(Married) couple without C. ","direct migration background","331","0.664258790675886","0.623353065994434","0.705164515357337"
"No","2009","(Married) couple without C. ","indirect migration background","33","0.343670254327674","0.254917106683451","0.432423401971897"
"No","2009","Single parent ","no migration background","326","0.421097216761671","0.387116567845329","0.455077865678012"
"No","2009","Single parent ","direct migration background","45","0.413717273458954","0.311397760536097","0.516036786381811"
"No","2009","Single parent ","indirect migration background","21","","",""
"No","2009","Couple + C. LE 16 ","no migration background","776","0.352700181422376","0.333164495564281","0.372235867280472"
"No","2009","Couple + C. LE 16 ","direct migration background","91","0.308846408442306","0.259148557244597","0.358544259640015"
"No","2009","Couple + C. LE 16 ","indirect migration background","42","0.262523087699318","0.195987895414339","0.329058279984296"
"No","2009","Couple + C. GT 16 ","no migration background","1076","0.400861592165125","0.382149662115817","0.419573522214433"
"No","2009","Couple + C. GT 16 ","direct migration background","132","0.382370226022184","0.328533075199985","0.436207376844383"
"No","2009","Couple + C. GT 16 ","indirect migration background","40","0.22272446660391","0.158653386367346","0.286795546840474"
"No","2009","Couple + C. LE and GT 16","no migration background","320","0.337811576363734","0.306877441195892","0.368745711531576"
"No","2009","Couple + C. LE and GT 16","direct migration background","58","0.373722418291035","0.300566164423351","0.44687867215872"
"No","2009","Couple + C. LE and GT 16","indirect migration background","20","","",""
"Yes","2010","1-pers.-HH","no migration background","","","",""
"Yes","2010","1-pers.-HH","direct migration background","","","",""
"Yes","2010","1-pers.-HH","indirect migration background","","","",""
"Yes","2010","(Married) couple without C. ","no migration background","","","",""
"Yes","2010","(Married) couple without C. ","direct migration background","","","",""
"Yes","2010","(Married) couple without C. ","indirect migration background","","","",""
"Yes","2010","Single parent ","no migration background","","","",""
"Yes","2010","Single parent ","direct migration background","","","",""
"Yes","2010","Single parent ","indirect migration background","","","",""
"Yes","2010","Couple + C. LE 16 ","no migration background","","","",""
"Yes","2010","Couple + C. LE 16 ","direct migration background","","","",""
"Yes","2010","Couple + C. LE 16 ","indirect migration background","","","",""
"Yes","2010","Couple + C. GT 16 ","no migration background","","","",""
"Yes","2010","Couple + C. GT 16 ","direct migration background","","","",""
"Yes","2010","Couple + C. GT 16 ","indirect migration background","","","",""
"Yes","2010","Couple + C. LE and GT 16","no migration background","","","",""
"Yes","2010","Couple + C. LE and GT 16","direct migration background","","","",""
"Yes","2010","Couple + C. LE and GT 16","indirect migration background","","","",""
"No","2010","1-pers.-HH","no migration background","","","",""
"No","2010","1-pers.-HH","direct migration background","","","",""
"No","2010","1-pers.-HH","indirect migration background","","","",""
"No","2010","(Married) couple without C. ","no migration background","","","",""
"No","2010","(Married) couple without C. ","direct migration background","","","",""
"No","2010","(Married) couple without C. ","indirect migration background","","","",""
"No","2010","Single parent ","no migration background","","","",""
"No","2010","Single parent ","direct migration background","","","",""
"No","2010","Single parent ","indirect migration background","","","",""
"No","2010","Couple + C. LE 16 ","no migration background","","","",""
"No","2010","Couple + C. LE 16 ","direct migration background","","","",""
"No","2010","Couple + C. LE 16 ","indirect migration background","","","",""
"No","2010","Couple + C. GT 16 ","no migration background","","","",""
"No","2010","Couple + C. GT 16 ","direct migration background","","","",""
"No","2010","Couple + C. GT 16 ","indirect migration background","","","",""
"No","2010","Couple + C. LE and GT 16","no migration background","","","",""
"No","2010","Couple + C. LE and GT 16","direct migration background","","","",""
"No","2010","Couple + C. LE and GT 16","indirect migration background","","","",""
"Yes","2011","1-pers.-HH","no migration background","921","0.299588189796672","0.283714421176744","0.3154619584166"
"Yes","2011","1-pers.-HH","direct migration background","83","0.409836538559635","0.348379442724346","0.471293634394924"
