"ple0024","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","in school","","","",""
"Yes","2009","lower secondary degree","inadequately","","","",""
"Yes","2009","lower secondary degree","general elemantary","423","1","1","1"
"Yes","2009","lower secondary degree","middle vocational","1613","1","1","1"
"Yes","2009","lower secondary degree","vocational + Abi","9","","",""
"Yes","2009","lower secondary degree","higher vocational","146","1","1","1"
"Yes","2009","lower secondary degree","higher education","39","1","1","1"
"Yes","2009","secondary school degree","in school","","","",""
"Yes","2009","secondary school degree","inadequately","","","",""
"Yes","2009","secondary school degree","general elemantary","290","1","1","1"
"Yes","2009","secondary school degree","middle vocational","1997","1","1","1"
"Yes","2009","secondary school degree","vocational + Abi","13","","",""
"Yes","2009","secondary school degree","higher vocational","277","1","1","1"
"Yes","2009","secondary school degree","higher education","229","1","1","1"
"Yes","2009","college entrance qualification","in school","","","",""
"Yes","2009","college entrance qualification","inadequately","","","",""
"Yes","2009","college entrance qualification","general elemantary","","","",""
"Yes","2009","college entrance qualification","middle vocational","469","1","1","1"
"Yes","2009","college entrance qualification","vocational + Abi","504","1","1","1"
"Yes","2009","college entrance qualification","higher vocational","149","1","1","1"
"Yes","2009","college entrance qualification","higher education","1583","1","1","1"
"Yes","2009","Other degree","in school","","","",""
"Yes","2009","Other degree","inadequately","22","","",""
"Yes","2009","Other degree","general elemantary","80","1","1","1"
"Yes","2009","Other degree","middle vocational","132","1","1","1"
"Yes","2009","Other degree","vocational + Abi","47","1","1","1"
"Yes","2009","Other degree","higher vocational","11","","",""
"Yes","2009","Other degree","higher education","88","1","1","1"
"Yes","2009","no degree/no degree yet","in school","241","1","1","1"
"Yes","2009","no degree/no degree yet","inadequately","56","1","1","1"
"Yes","2009","no degree/no degree yet","general elemantary","","","",""
"Yes","2009","no degree/no degree yet","middle vocational","11","","",""
"Yes","2009","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2009","no degree/no degree yet","higher vocational","1","","",""
"Yes","2009","no degree/no degree yet","higher education","3","","",""
"Yes","2010","lower secondary degree","in school","","","",""
"Yes","2010","lower secondary degree","inadequately","","","",""
"Yes","2010","lower secondary degree","general elemantary","","","",""
"Yes","2010","lower secondary degree","middle vocational","","","",""
"Yes","2010","lower secondary degree","vocational + Abi","","","",""
"Yes","2010","lower secondary degree","higher vocational","","","",""
"Yes","2010","lower secondary degree","higher education","","","",""
"Yes","2010","secondary school degree","in school","","","",""
"Yes","2010","secondary school degree","inadequately","","","",""
"Yes","2010","secondary school degree","general elemantary","","","",""
"Yes","2010","secondary school degree","middle vocational","","","",""
"Yes","2010","secondary school degree","vocational + Abi","","","",""
"Yes","2010","secondary school degree","higher vocational","","","",""
"Yes","2010","secondary school degree","higher education","","","",""
"Yes","2010","college entrance qualification","in school","","","",""
"Yes","2010","college entrance qualification","inadequately","","","",""
"Yes","2010","college entrance qualification","general elemantary","","","",""
"Yes","2010","college entrance qualification","middle vocational","","","",""
"Yes","2010","college entrance qualification","vocational + Abi","","","",""
"Yes","2010","college entrance qualification","higher vocational","","","",""
"Yes","2010","college entrance qualification","higher education","","","",""
"Yes","2010","Other degree","in school","","","",""
"Yes","2010","Other degree","inadequately","","","",""
"Yes","2010","Other degree","general elemantary","","","",""
"Yes","2010","Other degree","middle vocational","","","",""
"Yes","2010","Other degree","vocational + Abi","","","",""
