"ple0024","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","lower secondary degree","429","1","1","1"
"Yes","2009","16-34 y.","secondary school degree","846","1","1","1"
"Yes","2009","16-34 y.","college entrance qualification","1025","1","1","1"
"Yes","2009","16-34 y.","Other degree","72","1","1","1"
"Yes","2009","16-34 y.","no degree/no degree yet","262","1","1","1"
"Yes","2009","35-65 y.","lower secondary degree","1306","1","1","1"
"Yes","2009","35-65 y.","secondary school degree","1806","1","1","1"
"Yes","2009","35-65 y.","college entrance qualification","1490","1","1","1"
"Yes","2009","35-65 y.","Other degree","272","1","1","1"
"Yes","2009","35-65 y.","no degree/no degree yet","39","1","1","1"
"Yes","2009","66 and older","lower secondary degree","495","1","1","1"
"Yes","2009","66 and older","secondary school degree","154","1","1","1"
"Yes","2009","66 and older","college entrance qualification","190","1","1","1"
"Yes","2009","66 and older","Other degree","36","1","1","1"
"Yes","2009","66 and older","no degree/no degree yet","11","","",""
"Yes","2010","16-34 y.","lower secondary degree","","","",""
"Yes","2010","16-34 y.","secondary school degree","","","",""
"Yes","2010","16-34 y.","college entrance qualification","","","",""
"Yes","2010","16-34 y.","Other degree","","","",""
"Yes","2010","16-34 y.","no degree/no degree yet","","","",""
"Yes","2010","35-65 y.","lower secondary degree","","","",""
"Yes","2010","35-65 y.","secondary school degree","","","",""
"Yes","2010","35-65 y.","college entrance qualification","","","",""
"Yes","2010","35-65 y.","Other degree","","","",""
"Yes","2010","35-65 y.","no degree/no degree yet","","","",""
"Yes","2010","66 and older","lower secondary degree","","","",""
"Yes","2010","66 and older","secondary school degree","","","",""
"Yes","2010","66 and older","college entrance qualification","","","",""
"Yes","2010","66 and older","Other degree","","","",""
"Yes","2010","66 and older","no degree/no degree yet","","","",""
"Yes","2011","16-34 y.","lower secondary degree","408","1","1","1"
"Yes","2011","16-34 y.","secondary school degree","757","1","1","1"
"Yes","2011","16-34 y.","college entrance qualification","1112","1","1","1"
"Yes","2011","16-34 y.","Other degree","86","1","1","1"
"Yes","2011","16-34 y.","no degree/no degree yet","265","1","1","1"
"Yes","2011","35-65 y.","lower secondary degree","1060","1","1","1"
"Yes","2011","35-65 y.","secondary school degree","1577","1","1","1"
"Yes","2011","35-65 y.","college entrance qualification","1369","1","1","1"
"Yes","2011","35-65 y.","Other degree","345","1","1","1"
"Yes","2011","35-65 y.","no degree/no degree yet","40","1","1","1"
"Yes","2011","66 and older","lower secondary degree","359","1","1","1"
"Yes","2011","66 and older","secondary school degree","138","1","1","1"
"Yes","2011","66 and older","college entrance qualification","179","1","1","1"
"Yes","2011","66 and older","Other degree","37","1","1","1"
"Yes","2011","66 and older","no degree/no degree yet","12","","",""
"Yes","2012","16-34 y.","lower secondary degree","","","",""
"Yes","2012","16-34 y.","secondary school degree","","","",""
"Yes","2012","16-34 y.","college entrance qualification","","","",""
"Yes","2012","16-34 y.","Other degree","","","",""
"Yes","2012","16-34 y.","no degree/no degree yet","","","",""
"Yes","2012","35-65 y.","lower secondary degree","","","",""
"Yes","2012","35-65 y.","secondary school degree","","","",""
"Yes","2012","35-65 y.","college entrance qualification","","","",""
"Yes","2012","35-65 y.","Other degree","","","",""
"Yes","2012","35-65 y.","no degree/no degree yet","","","",""
"Yes","2012","66 and older","lower secondary degree","","","",""
"Yes","2012","66 and older","secondary school degree","","","",""
"Yes","2012","66 and older","college entrance qualification","","","",""
"Yes","2012","66 and older","Other degree","","","",""
"Yes","2012","66 and older","no degree/no degree yet","","","",""
"Yes","2013","16-34 y.","lower secondary degree","304","1","1","1"
"Yes","2013","16-34 y.","secondary school degree","590","1","1","1"
"Yes","2013","16-34 y.","college entrance qualification","926","1","1","1"
"Yes","2013","16-34 y.","Other degree","66","1","1","1"
"Yes","2013","16-34 y.","no degree/no degree yet","218","1","1","1"
"Yes","2013","35-65 y.","lower secondary degree","785","1","1","1"
"Yes","2013","35-65 y.","secondary school degree","1325","1","1","1"
"Yes","2013","35-65 y.","college entrance qualification","1256","1","1","1"
"Yes","2013","35-65 y.","Other degree","254","1","1","1"
"Yes","2013","35-65 y.","no degree/no degree yet","34","1","1","1"
"Yes","2013","66 and older","lower secondary degree","305","1","1","1"
"Yes","2013","66 and older","secondary school degree","124","1","1","1"
"Yes","2013","66 and older","college entrance qualification","163","1","1","1"
"Yes","2013","66 and older","Other degree","32","1","1","1"
"Yes","2013","66 and older","no degree/no degree yet","6","","",""
"Yes","2014","16-34 y.","lower secondary degree","","","",""
"Yes","2014","16-34 y.","secondary school degree","","","",""
"Yes","2014","16-34 y.","college entrance qualification","","","",""
"Yes","2014","16-34 y.","Other degree","","","",""
"Yes","2014","16-34 y.","no degree/no degree yet","","","",""
"Yes","2014","35-65 y.","lower secondary degree","","","",""
"Yes","2014","35-65 y.","secondary school degree","","","",""
"Yes","2014","35-65 y.","college entrance qualification","","","",""
"Yes","2014","35-65 y.","Other degree","","","",""
"Yes","2014","35-65 y.","no degree/no degree yet","","","",""
"Yes","2014","66 and older","lower secondary degree","","","",""
"Yes","2014","66 and older","secondary school degree","","","",""
"Yes","2014","66 and older","college entrance qualification","","","",""
"Yes","2014","66 and older","Other degree","","","",""
"Yes","2014","66 and older","no degree/no degree yet","","","",""
"Yes","2015","16-34 y.","lower secondary degree","561","1","1","1"
"Yes","2015","16-34 y.","secondary school degree","848","1","1","1"
"Yes","2015","16-34 y.","college entrance qualification","1221","1","1","1"
"Yes","2015","16-34 y.","Other degree","309","1","1","1"
"Yes","2015","16-34 y.","no degree/no degree yet","319","1","1","1"
"Yes","2015","35-65 y.","lower secondary degree","955","1","1","1"
"Yes","2015","35-65 y.","secondary school degree","1739","1","1","1"
"Yes","2015","35-65 y.","college entrance qualification","1995","1","1","1"
"Yes","2015","35-65 y.","Other degree","973","1","1","1"
"Yes","2015","35-65 y.","no degree/no degree yet","111","1","1","1"
"Yes","2015","66 and older","lower secondary degree","291","1","1","1"
"Yes","2015","66 and older","secondary school degree","121","1","1","1"
"Yes","2015","66 and older","college entrance qualification","146","1","1","1"
"Yes","2015","66 and older","Other degree","41","1","1","1"
"Yes","2015","66 and older","no degree/no degree yet","6","","",""
"Yes","2016","16-34 y.","lower secondary degree","","","",""
"Yes","2016","16-34 y.","secondary school degree","","","",""
"Yes","2016","16-34 y.","college entrance qualification","","","",""
"Yes","2016","16-34 y.","Other degree","","","",""
"Yes","2016","16-34 y.","no degree/no degree yet","","","",""
"Yes","2016","35-65 y.","lower secondary degree","","","",""
"Yes","2016","35-65 y.","secondary school degree","","","",""
"Yes","2016","35-65 y.","college entrance qualification","","","",""
"Yes","2016","35-65 y.","Other degree","","","",""
"Yes","2016","35-65 y.","no degree/no degree yet","","","",""
"Yes","2016","66 and older","lower secondary degree","","","",""
"Yes","2016","66 and older","secondary school degree","","","",""
"Yes","2016","66 and older","college entrance qualification","","","",""
"Yes","2016","66 and older","Other degree","","","",""
"Yes","2016","66 and older","no degree/no degree yet","","","",""
"Yes","2017","16-34 y.","lower secondary degree","495","1","1","1"
"Yes","2017","16-34 y.","secondary school degree","872","1","1","1"
"Yes","2017","16-34 y.","college entrance qualification","1402","1","1","1"
"Yes","2017","16-34 y.","Other degree","417","1","1","1"
