"ple0024","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","higher education","2007","0.490915972574008","0.475380873812158","0.506451071335858","2"
"No","2009","higher vocational","716","0.557503507904214","0.53055581723593","0.584451198572498","2"
"No","2009","vocational + Abi","419","0.454198120137283","0.423214480366181","0.485181759908385","2"
"No","2009","middle vocational","4652","0.537959078028955","0.527637734477747","0.548280421580163","2"
"No","2009","general elemantary","991","0.569777192775013","0.546802489478848","0.592751896071178","2"
"No","2009","inadequately","89","0.530765260608607","0.455075666027225","0.606454855189989","2"
"No","2009","in school","68","0.228439895349054","0.181629780223627","0.275250010474482","2"
"Yes","2009","in school","241","0.771560104650945","0.724749989525518","0.818370219776373","1"
"Yes","2009","inadequately","78","0.469234739391393","0.393545144810011","0.544924333972775","1"
"Yes","2009","general elemantary","793","0.430222807224987","0.407248103928822","0.453197510521152","1"
"Yes","2009","middle vocational","4311","0.462040921971045","0.451719578419837","0.472362265522253","1"
"Yes","2009","vocational + Abi","573","0.545801879862717","0.514818240091615","0.576785519633819","1"
"Yes","2009","higher vocational","589","0.442496492095786","0.415548801427502","0.46944418276407","1"
"Yes","2009","higher education","1971","0.509084027425992","0.493548928664142","0.524619126187842","1"
"No","2010","higher education","","","","","2"
"No","2010","vocational + Abi","","","","","2"
"No","2010","higher vocational","","","","","2"
"No","2010","general elemantary","","","","","2"
"No","2010","middle vocational","","","","","2"
"No","2010","in school","","","","","2"
"No","2010","inadequately","","","","","2"
"Yes","2010","in school","","","","","1"
"Yes","2010","inadequately","","","","","1"
"Yes","2010","general elemantary","","","","","1"
"Yes","2010","middle vocational","","","","","1"
"Yes","2010","vocational + Abi","","","","","1"
"Yes","2010","higher vocational","","","","","1"
"Yes","2010","higher education","","","","","1"
"No","2011","higher education","2657","0.571075435314234","0.556685258540168","0.585465612088301","2"
"No","2011","vocational + Abi","624","0.554129846068865","0.525912254985783","0.582347437151946","2"
"No","2011","higher vocational","932","0.687977017351722","0.663963248305245","0.7119907863982","2"
"No","2011","general elemantary","1407","0.670509741564286","0.650719893005165","0.690299590123407","2"
"No","2011","middle vocational","6571","0.643294111783477","0.63410137033216","0.652486853234794","2"
"No","2011","inadequately","153","0.692645439056722","0.633016168935051","0.752274709178393","2"
"No","2011","in school","68","0.2198698322729","0.17384054446516","0.26589912008064","2"
