"ple0024","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Not Employed","vocational + Abi","139","0.596755636891084","0.535204568541883","0.658306705240285","2"
"No","2009","Employed","inadequately","25","","","","2"
"No","2009","Employed","higher vocational","401","0.449630817329841","0.416893629511883","0.482368005147799","2"
"No","2009","Not Employed","in school","53","0.234081462752107","0.181594325233909","0.286568600270305","2"
"No","2009","Not Employed","inadequately","64","0.669216099384843","0.575099148969003","0.763333049800682","2"
"No","2009","Not Employed","higher vocational","315","0.775729032826517","0.735743627657317","0.815714437995718","2"
"No","2009","Employed","general elemantary","260","0.380763527915699","0.345611366114353","0.415915689717044","2"
"No","2009","Employed","higher education","1212","0.397516675514837","0.379643486899131","0.415389864130542","2"
"No","2009","Not Employed","general elemantary","731","0.70028599097503","0.672588656621636","0.727983325328424","2"
"No","2009","Not Employed","middle vocational","2430","0.706613049543292","0.691560964976771","0.721665134109813","2"
"No","2009","Not Employed","higher education","795","0.74816078430121","0.72248604335976","0.773835525242659","2"
"No","2009","Employed","in school","15","","","","2"
"No","2009","Employed","middle vocational","2222","0.4323179910193","0.419163205804128","0.445472776234471","2"
"No","2009","Employed","vocational + Abi","280","0.403554500696024","0.368395722653023","0.438713278739024","2"
"Yes","2009","Not Employed","in school","197","0.765918537247893","0.713431399729695","0.818405674766091","1"
"Yes","2009","Not Employed","inadequately","32","0.330783900615157","0.236666950199318","0.424900851030997","1"
"Yes","2009","Not Employed","general elemantary","320","0.29971400902497","0.272016674671576","0.327411343378364","1"
"Yes","2009","Not Employed","middle vocational","1085","0.293386950456708","0.278334865890187","0.308439035023229","1"
"Yes","2009","Not Employed","vocational + Abi","105","0.403244363108916","0.341693294759715","0.464795431458117","1"
"Yes","2009","Not Employed","higher vocational","103","0.224270967173483","0.184285562004282","0.264256372342683","1"
"Yes","2009","Not Employed","higher education","303","0.25183921569879","0.226164474757341","0.27751395664024","1"
"Yes","2009","Employed","in school","44","0.795527498826293","0.692615233490499","0.898439764162087","1"
"Yes","2009","Employed","inadequately","46","0.635982751702261","0.524064074987446","0.747901428417076","1"
"Yes","2009","Employed","general elemantary","473","0.619236472084301","0.584084310282956","0.654388633885646","1"
"Yes","2009","Employed","middle vocational","3226","0.5676820089807","0.554527223765529","0.580836794195872","1"
"Yes","2009","Employed","vocational + Abi","468","0.596445499303976","0.561286721260976","0.631604277346977","1"
"Yes","2009","Employed","higher vocational","486","0.550369182670159","0.517631994852201","0.583106370488117","1"
"Yes","2009","Employed","higher education","1668","0.602483324485163","0.584610135869458","0.620356513100869","1"
"No","2010","Not Employed","in school","","","","","2"
"No","2010","Not Employed","inadequately","","","","","2"
"No","2010","Not Employed","vocational + Abi","","","","","2"
"No","2010","Not Employed","higher vocational","","","","","2"
"No","2010","Employed","inadequately","","","","","2"
"No","2010","Employed","general elemantary","","","","","2"
