"ple0024","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","(0) in school","241","1","1","1"
"Yes","2009","16-34 y.","(1a) inadequately completed","20","","",""
"Yes","2009","16-34 y.","(1b) general elementary school","191","1","1","1"
"Yes","2009","16-34 y.","(1c) basic vocational qualification","276","1","1","1"
"Yes","2009","16-34 y.","(2b) intermediate general qualification","235","1","1","1"
"Yes","2009","16-34 y.","(2a) intermediate vocational","593","1","1","1"
"Yes","2009","16-34 y.","(2c_gen) general maturity certificate","426","1","1","1"
"Yes","2009","16-34 y.","(2c_voc) vocational maturity certificate","265","1","1","1"
"Yes","2009","16-34 y.","(3a) lower tertiary education","130","1","1","1"
"Yes","2009","16-34 y.","(3b) higher tertiary education","280","1","1","1"
"Yes","2009","35-65 y.","(0) in school","","","",""
"Yes","2009","35-65 y.","(1a) inadequately completed","39","1","1","1"
"Yes","2009","35-65 y.","(1b) general elementary school","218","1","1","1"
"Yes","2009","35-65 y.","(1c) basic vocational qualification","1208","1","1","1"
"Yes","2009","35-65 y.","(2b) intermediate general qualification","47","1","1","1"
"Yes","2009","35-65 y.","(2a) intermediate vocational","1567","1","1","1"
"Yes","2009","35-65 y.","(2c_gen) general maturity certificate","59","1","1","1"
"Yes","2009","35-65 y.","(2c_voc) vocational maturity certificate","431","1","1","1"
"Yes","2009","35-65 y.","(3a) lower tertiary education","506","1","1","1"
"Yes","2009","35-65 y.","(3b) higher tertiary education","844","1","1","1"
"Yes","2009","66 and older","(0) in school","","","",""
"Yes","2009","66 and older","(1a) inadequately completed","9","","",""
"Yes","2009","66 and older","(1b) general elementary school","115","1","1","1"
"Yes","2009","66 and older","(1c) basic vocational qualification","384","1","1","1"
"Yes","2009","66 and older","(2b) intermediate general qualification","9","","",""
"Yes","2009","66 and older","(2a) intermediate vocational","119","1","1","1"
"Yes","2009","66 and older","(2c_gen) general maturity certificate","5","","",""
"Yes","2009","66 and older","(2c_voc) vocational maturity certificate","34","1","1","1"
"Yes","2009","66 and older","(3a) lower tertiary education","82","1","1","1"
"Yes","2009","66 and older","(3b) higher tertiary education","129","1","1","1"
"Yes","2010","16-34 y.","(0) in school","","","",""
"Yes","2010","16-34 y.","(1a) inadequately completed","","","",""
"Yes","2010","16-34 y.","(1b) general elementary school","","","",""
"Yes","2010","16-34 y.","(1c) basic vocational qualification","","","",""
"Yes","2010","16-34 y.","(2b) intermediate general qualification","","","",""
"Yes","2010","16-34 y.","(2a) intermediate vocational","","","",""
"Yes","2010","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2010","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","16-34 y.","(3a) lower tertiary education","","","",""
"Yes","2010","16-34 y.","(3b) higher tertiary education","","","",""
"Yes","2010","35-65 y.","(0) in school","","","",""
"Yes","2010","35-65 y.","(1a) inadequately completed","","","",""
"Yes","2010","35-65 y.","(1b) general elementary school","","","",""
"Yes","2010","35-65 y.","(1c) basic vocational qualification","","","",""
"Yes","2010","35-65 y.","(2b) intermediate general qualification","","","",""
"Yes","2010","35-65 y.","(2a) intermediate vocational","","","",""
"Yes","2010","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2010","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","35-65 y.","(3a) lower tertiary education","","","",""
"Yes","2010","35-65 y.","(3b) higher tertiary education","","","",""
"Yes","2010","66 and older","(0) in school","","","",""
"Yes","2010","66 and older","(1a) inadequately completed","","","",""
"Yes","2010","66 and older","(1b) general elementary school","","","",""
"Yes","2010","66 and older","(1c) basic vocational qualification","","","",""
"Yes","2010","66 and older","(2b) intermediate general qualification","","","",""
"Yes","2010","66 and older","(2a) intermediate vocational","","","",""
"Yes","2010","66 and older","(2c_gen) general maturity certificate","","","",""
"Yes","2010","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","66 and older","(3a) lower tertiary education","","","",""
"Yes","2010","66 and older","(3b) higher tertiary education","","","",""
"Yes","2011","16-34 y.","(0) in school","243","1","1","1"
"Yes","2011","16-34 y.","(1a) inadequately completed","22","","",""
"Yes","2011","16-34 y.","(1b) general elementary school","179","1","1","1"
"Yes","2011","16-34 y.","(1c) basic vocational qualification","267","1","1","1"
"Yes","2011","16-34 y.","(2b) intermediate general qualification","233","1","1","1"
"Yes","2011","16-34 y.","(2a) intermediate vocational","507","1","1","1"
"Yes","2011","16-34 y.","(2c_gen) general maturity certificate","461","1","1","1"
"Yes","2011","16-34 y.","(2c_voc) vocational maturity certificate","286","1","1","1"
"Yes","2011","16-34 y.","(3a) lower tertiary education","154","1","1","1"
"Yes","2011","16-34 y.","(3b) higher tertiary education","300","1","1","1"
"Yes","2011","35-65 y.","(0) in school","","","",""
"Yes","2011","35-65 y.","(1a) inadequately completed","39","1","1","1"
"Yes","2011","35-65 y.","(1b) general elementary school","218","1","1","1"
"Yes","2011","35-65 y.","(1c) basic vocational qualification","994","1","1","1"
"Yes","2011","35-65 y.","(2b) intermediate general qualification","52","1","1","1"
"Yes","2011","35-65 y.","(2a) intermediate vocational","1382","1","1","1"
"Yes","2011","35-65 y.","(2c_gen) general maturity certificate","84","1","1","1"
"Yes","2011","35-65 y.","(2c_voc) vocational maturity certificate","384","1","1","1"
"Yes","2011","35-65 y.","(3a) lower tertiary education","441","1","1","1"
"Yes","2011","35-65 y.","(3b) higher tertiary education","805","1","1","1"
"Yes","2011","66 and older","(0) in school","","","",""
