"ple0024","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","Male","1219","1","1","1"
"Yes","2009","lower secondary degree","Female","1011","1","1","1"
"Yes","2009","secondary school degree","Male","1225","1","1","1"
"Yes","2009","secondary school degree","Female","1581","1","1","1"
"Yes","2009","college entrance qualification","Male","1372","1","1","1"
"Yes","2009","college entrance qualification","Female","1333","1","1","1"
"Yes","2009","Other degree","Male","176","1","1","1"
"Yes","2009","Other degree","Female","204","1","1","1"
"Yes","2009","no degree/no degree yet","Male","167","1","1","1"
"Yes","2009","no degree/no degree yet","Female","145","1","1","1"
"Yes","2010","lower secondary degree","Male","","","",""
"Yes","2010","lower secondary degree","Female","","","",""
"Yes","2010","secondary school degree","Male","","","",""
"Yes","2010","secondary school degree","Female","","","",""
"Yes","2010","college entrance qualification","Male","","","",""
"Yes","2010","college entrance qualification","Female","","","",""
"Yes","2010","Other degree","Male","","","",""
"Yes","2010","Other degree","Female","","","",""
"Yes","2010","no degree/no degree yet","Male","","","",""
"Yes","2010","no degree/no degree yet","Female","","","",""
"Yes","2011","lower secondary degree","Male","1009","1","1","1"
"Yes","2011","lower secondary degree","Female","818","1","1","1"
"Yes","2011","secondary school degree","Male","1112","1","1","1"
"Yes","2011","secondary school degree","Female","1360","1","1","1"
"Yes","2011","college entrance qualification","Male","1339","1","1","1"
"Yes","2011","college entrance qualification","Female","1321","1","1","1"
"Yes","2011","Other degree","Male","220","1","1","1"
"Yes","2011","Other degree","Female","248","1","1","1"
"Yes","2011","no degree/no degree yet","Male","166","1","1","1"
"Yes","2011","no degree/no degree yet","Female","151","1","1","1"
"Yes","2012","lower secondary degree","Male","","","",""
"Yes","2012","lower secondary degree","Female","","","",""
"Yes","2012","secondary school degree","Male","","","",""
"Yes","2012","secondary school degree","Female","","","",""
"Yes","2012","college entrance qualification","Male","","","",""
"Yes","2012","college entrance qualification","Female","","","",""
"Yes","2012","Other degree","Male","","","",""
"Yes","2012","Other degree","Female","","","",""
"Yes","2012","no degree/no degree yet","Male","","","",""
"Yes","2012","no degree/no degree yet","Female","","","",""
"Yes","2013","lower secondary degree","Male","773","1","1","1"
"Yes","2013","lower secondary degree","Female","621","1","1","1"
"Yes","2013","secondary school degree","Male","931","1","1","1"
"Yes","2013","secondary school degree","Female","1108","1","1","1"
"Yes","2013","college entrance qualification","Male","1175","1","1","1"
"Yes","2013","college entrance qualification","Female","1170","1","1","1"
"Yes","2013","Other degree","Male","158","1","1","1"
"Yes","2013","Other degree","Female","194","1","1","1"
"Yes","2013","no degree/no degree yet","Male","123","1","1","1"
"Yes","2013","no degree/no degree yet","Female","135","1","1","1"
"Yes","2014","lower secondary degree","Male","","","",""
"Yes","2014","lower secondary degree","Female","","","",""
"Yes","2014","secondary school degree","Male","","","",""
"Yes","2014","secondary school degree","Female","","","",""
"Yes","2014","college entrance qualification","Male","","","",""
"Yes","2014","college entrance qualification","Female","","","",""
"Yes","2014","Other degree","Male","","","",""
"Yes","2014","Other degree","Female","","","",""
"Yes","2014","no degree/no degree yet","Male","","","",""
"Yes","2014","no degree/no degree yet","Female","","","",""
"Yes","2015","lower secondary degree","Male","993","1","1","1"
"Yes","2015","lower secondary degree","Female","814","1","1","1"
"Yes","2015","secondary school degree","Male","1212","1","1","1"
"Yes","2015","secondary school degree","Female","1496","1","1","1"
"Yes","2015","college entrance qualification","Male","1656","1","1","1"
"Yes","2015","college entrance qualification","Female","1706","1","1","1"
"Yes","2015","Other degree","Male","637","1","1","1"
"Yes","2015","Other degree","Female","686","1","1","1"
"Yes","2015","no degree/no degree yet","Male","216","1","1","1"
"Yes","2015","no degree/no degree yet","Female","220","1","1","1"
"Yes","2016","lower secondary degree","Male","","","",""
"Yes","2016","lower secondary degree","Female","","","",""
"Yes","2016","secondary school degree","Male","","","",""
"Yes","2016","secondary school degree","Female","","","",""
"Yes","2016","college entrance qualification","Male","","","",""
"Yes","2016","college entrance qualification","Female","","","",""
"Yes","2016","Other degree","Male","","","",""
"Yes","2016","Other degree","Female","","","",""
"Yes","2016","no degree/no degree yet","Male","","","",""
"Yes","2016","no degree/no degree yet","Female","","","",""
"Yes","2017","lower secondary degree","Male","923","1","1","1"
"Yes","2017","lower secondary degree","Female","701","1","1","1"
"Yes","2017","secondary school degree","Male","1208","1","1","1"
"Yes","2017","secondary school degree","Female","1519","1","1","1"
"Yes","2017","college entrance qualification","Male","1744","1","1","1"
