"ple0024","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","1119","0.388596998770693","0.370751713200569","0.406442284340818"
"Yes","2009","(Married) couple without C. ","2436","0.366046807524929","0.354412671527275","0.377680943522583"
"Yes","2009","Single parent ","581","0.59046653355433","0.559568274255998","0.621364792852663"
"Yes","2009","Couple + C. LE 16 ","1889","0.661775824838956","0.644245821124716","0.679305828553197"
"Yes","2009","Couple + C. GT 16 ","1862","0.616643827472878","0.599556020834835","0.633731634110922"
"Yes","2009","Couple + C. LE and GT 16","768","0.674389753251438","0.647492785083924","0.701286721418952"
"No","2009","1-pers.-HH","1747","0.611403001229306","0.593557715659182","0.629248286799431"
"No","2009","(Married) couple without C. ","4150","0.633953192475072","0.622319056477417","0.645587328472726"
"No","2009","Single parent ","392","0.40953346644567","0.378635207147337","0.440431725744002"
"No","2009","Couple + C. LE 16 ","909","0.338224175161044","0.320694171446803","0.355754178875284"
"No","2009","Couple + C. GT 16 ","1248","0.383356172527122","0.366268365889078","0.400443979165165"
"No","2009","Couple + C. LE and GT 16","398","0.325610246748562","0.298713278581048","0.352507214916076"
"Yes","2010","1-pers.-HH","","","",""
"Yes","2010","(Married) couple without C. ","","","",""
"Yes","2010","Single parent ","","","",""
"Yes","2010","Couple + C. LE 16 ","","","",""
"Yes","2010","Couple + C. GT 16 ","","","",""
"Yes","2010","Couple + C. LE and GT 16","","","",""
"No","2010","1-pers.-HH","","","",""
"No","2010","(Married) couple without C. ","","","",""
"No","2010","Single parent ","","","",""
"No","2010","Couple + C. LE 16 ","","","",""
"No","2010","Couple + C. GT 16 ","","","",""
"No","2010","Couple + C. LE and GT 16","","","",""
"Yes","2011","1-pers.-HH","1047","0.315345619529158","0.30002397546125","0.330667263597066"
"Yes","2011","(Married) couple without C. ","2248","0.287641994426966","0.277764032159209","0.297519956694724"
"Yes","2011","Single parent ","572","0.503377033648128","0.474579591814891","0.532174475481365"
"Yes","2011","Couple + C. LE 16 ","1791","0.559368135439106","0.541777797242282","0.57695847363593"
"Yes","2011","Couple + C. GT 16 ","1557","0.509018716026645","0.491580175125845","0.526457256927445"
"Yes","2011","Couple + C. LE and GT 16","705","0.578443050194466","0.550790290653401","0.606095809735531"
"No","2011","1-pers.-HH","2486","0.684654380470842","0.669332736402934","0.69997602453875"
"No","2011","(Married) couple without C. ","5819","0.712358005573034","0.702480043305276","0.722235967840791"
"No","2011","Single parent ","586","0.496622966351872","0.467825524518635","0.525420408185109"
"No","2011","Couple + C. LE 16 ","1269","0.440631864560894","0.42304152636407","0.458222202757718"
"No","2011","Couple + C. GT 16 ","1600","0.490981283973355","0.473542743072555","0.508419824874155"
"No","2011","Couple + C. LE and GT 16","520","0.421556949805534","0.393904190264469","0.449209709346598"
"Yes","2012","1-pers.-HH","","","",""
"Yes","2012","(Married) couple without C. ","","","",""
"Yes","2012","Single parent ","","","",""
"Yes","2012","Couple + C. LE 16 ","","","",""
"Yes","2012","Couple + C. GT 16 ","","","",""
"Yes","2012","Couple + C. LE and GT 16","","","",""
"No","2012","1-pers.-HH","","","",""
"No","2012","(Married) couple without C. ","","","",""
"No","2012","Single parent ","","","",""
"No","2012","Couple + C. LE 16 ","","","",""
"No","2012","Couple + C. GT 16 ","","","",""
"No","2012","Couple + C. LE and GT 16","","","",""
"Yes","2013","1-pers.-HH","943","0.27425848467594","0.259367086298934","0.289149883052945"
"Yes","2013","(Married) couple without C. ","1883","0.263826082166028","0.25391472151602","0.273737442816036"
"Yes","2013","Single parent ","508","0.482675680161279","0.453252652019239","0.51209870830332"
"Yes","2013","Couple + C. LE 16 ","1499","0.523326251806126","0.504590822658838","0.542061680953413"
"Yes","2013","Couple + C. GT 16 ","1215","0.480023896385451","0.46087536962774","0.499172423143161"
"Yes","2013","Couple + C. LE and GT 16","524","0.577106086265777","0.545457543989875","0.608754628541679"
"No","2013","1-pers.-HH","2505","0.72574151532406","0.710850116947055","0.740632913701066"
"No","2013","(Married) couple without C. ","5712","0.736173917833972","0.726262557183964","0.74608527848398"
"No","2013","Single parent ","600","0.517324319838721","0.48790129169668","0.546747347980761"
"No","2013","Couple + C. LE 16 ","1231","0.476673748193874","0.457938319046587","0.495409177341162"
"No","2013","Couple + C. GT 16 ","1400","0.519976103614549","0.500827576856838","0.53912463037226"
"No","2013","Couple + C. LE and GT 16","412","0.422893913734223","0.391245371458321","0.454542456010125"
"Yes","2014","1-pers.-HH","","","",""
"Yes","2014","(Married) couple without C. ","","","",""
"Yes","2014","Single parent ","","","",""
"Yes","2014","Couple + C. LE 16 ","","","",""
"Yes","2014","Couple + C. GT 16 ","","","",""
"Yes","2014","Couple + C. LE and GT 16","","","",""
"No","2014","1-pers.-HH","","","",""
"No","2014","(Married) couple without C. ","","","",""
"No","2014","Single parent ","","","",""
"No","2014","Couple + C. LE 16 ","","","",""
"No","2014","Couple + C. GT 16 ","","","",""
"No","2014","Couple + C. LE and GT 16","","","",""
"Yes","2015","1-pers.-HH","975","0.270533543515329","0.255799423699516","0.285267663331143"
"Yes","2015","(Married) couple without C. ","1961","0.27158585557448","0.261488767235824","0.281682943913137"
"Yes","2015","Single parent ","1029","0.469927383557245","0.449570130017699","0.490284637096792"
"Yes","2015","Couple + C. LE 16 ","3395","0.563518989663854","0.55098459589656","0.576053383431148"
"Yes","2015","Couple + C. GT 16 ","1388","0.516522962278345","0.498240281119718","0.534805643436972"
"Yes","2015","Couple + C. LE and GT 16","1166","0.559724765650309","0.538638015592826","0.580811515707792"
"No","2015","1-pers.-HH","2517","0.729466456484671","0.714732336668857","0.744200576300484"
"No","2015","(Married) couple without C. ","5493","0.72841414442552","0.718317056086863","0.738511232764176"
"No","2015","Single parent ","1280","0.530072616442755","0.509715362903208","0.550429869982301"
"No","2015","Couple + C. LE 16 ","2619","0.436481010336146","0.423946616568852","0.44901540410344"
"No","2015","Couple + C. GT 16 ","1482","0.483477037721655","0.465194356563028","0.501759718880281"
"No","2015","Couple + C. LE and GT 16","963","0.440275234349691","0.419188484292208","0.461361984407174"
"Yes","2016","1-pers.-HH","","","",""
"Yes","2016","(Married) couple without C. ","","","",""
"Yes","2016","Single parent ","","","",""
"Yes","2016","Couple + C. LE 16 ","","","",""
"Yes","2016","Couple + C. GT 16 ","","","",""
"Yes","2016","Couple + C. LE and GT 16","","","",""
"No","2016","1-pers.-HH","","","",""
"No","2016","(Married) couple without C. ","","","",""
"No","2016","Single parent ","","","",""
"No","2016","Couple + C. LE 16 ","","","",""
"No","2016","Couple + C. GT 16 ","","","",""
"No","2016","Couple + C. LE and GT 16","","","",""
"Yes","2017","1-pers.-HH","1139","0.283282823283018","0.269200635045409","0.297365011520627"
"Yes","2017","(Married) couple without C. ","2131","0.268037929463059","0.258456751031319","0.277619107894798"
"Yes","2017","Single parent ","983","0.437793986400824","0.417179822602822","0.458408150198826"
"Yes","2017","Couple + C. LE 16 ","3319","0.569375370864416","0.556759728123612","0.58199101360522"
"Yes","2017","Couple + C. GT 16 ","1481","0.462227982937155","0.445065947173373","0.479390018700937"
"Yes","2017","Couple + C. LE and GT 16","1169","0.537700614801045","0.516988834271815","0.558412395330275"
"No","2017","1-pers.-HH","2794","0.716717176716982","0.702634988479373","0.730799364954591"
"No","2017","(Married) couple without C. ","6079","0.731962070536942","0.722380892105202","0.741543248968681"
"No","2017","Single parent ","1242","0.562206013599176","0.541591849801174","0.582820177397178"
"No","2017","Couple + C. LE 16 ","2599","0.430624629135584","0.41800898639478","0.443240271876388"
"No","2017","Couple + C. GT 16 ","1761","0.537772017062845","0.520609981299063","0.554934052826627"
"No","2017","Couple + C. LE and GT 16","1057","0.462299385198955","0.441587604669725","0.483011165728185"
"Yes","2018","1-pers.-HH","","","",""
"Yes","2018","(Married) couple without C. ","","","",""
"Yes","2018","Single parent ","","","",""
"Yes","2018","Couple + C. LE 16 ","","","",""
"Yes","2018","Couple + C. GT 16 ","","","",""
"Yes","2018","Couple + C. LE and GT 16","","","",""
"No","2018","1-pers.-HH","","","",""
"No","2018","(Married) couple without C. ","","","",""
"No","2018","Single parent ","","","",""
"No","2018","Couple + C. LE 16 ","","","",""
"No","2018","Couple + C. GT 16 ","","","",""
"No","2018","Couple + C. LE and GT 16","","","",""
"Yes","2019","1-pers.-HH","1044","0.233858947985003","0.221115147091532","0.246602748878474"
"Yes","2019","(Married) couple without C. ","1982","0.246634417806712","0.237464295367541","0.255804540245883"
"Yes","2019","Single parent ","844","0.398713910258126","0.37749257497117","0.419935245545081"
"Yes","2019","Couple + C. LE 16 ","2545","0.506729640433884","0.493081784788555","0.520377496079212"
"Yes","2019","Couple + C. GT 16 ","1192","0.403950263354705","0.386258360483249","0.421642166226161"
"Yes","2019","Couple + C. LE and GT 16","1072","0.494373119137699","0.473308094844257","0.51543814343114"
"No","2019","1-pers.-HH","3194","0.766141052014997","0.753397251121526","0.778884852908468"
