"ple0024","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","no migration background","1876","1","1","1"
"Yes","2009","lower secondary degree","direct migration background","208","1","1","1"
"Yes","2009","lower secondary degree","indirect migration background","146","1","1","1"
"Yes","2009","secondary school degree","no migration background","2582","1","1","1"
"Yes","2009","secondary school degree","direct migration background","106","1","1","1"
"Yes","2009","secondary school degree","indirect migration background","118","1","1","1"
"Yes","2009","college entrance qualification","no migration background","2438","1","1","1"
"Yes","2009","college entrance qualification","direct migration background","137","1","1","1"
"Yes","2009","college entrance qualification","indirect migration background","130","1","1","1"
"Yes","2009","Other degree","no migration background","49","1","1","1"
"Yes","2009","Other degree","direct migration background","325","1","1","1"
"Yes","2009","Other degree","indirect migration background","6","","",""
"Yes","2009","no degree/no degree yet","no migration background","220","1","1","1"
"Yes","2009","no degree/no degree yet","direct migration background","50","1","1","1"
"Yes","2009","no degree/no degree yet","indirect migration background","42","1","1","1"
"Yes","2010","lower secondary degree","no migration background","","","",""
"Yes","2010","lower secondary degree","direct migration background","","","",""
"Yes","2010","lower secondary degree","indirect migration background","","","",""
"Yes","2010","secondary school degree","no migration background","","","",""
"Yes","2010","secondary school degree","direct migration background","","","",""
"Yes","2010","secondary school degree","indirect migration background","","","",""
"Yes","2010","college entrance qualification","no migration background","","","",""
"Yes","2010","college entrance qualification","direct migration background","","","",""
"Yes","2010","college entrance qualification","indirect migration background","","","",""
"Yes","2010","Other degree","no migration background","","","",""
"Yes","2010","Other degree","direct migration background","","","",""
"Yes","2010","Other degree","indirect migration background","","","",""
"Yes","2010","no degree/no degree yet","no migration background","","","",""
"Yes","2010","no degree/no degree yet","direct migration background","","","",""
"Yes","2010","no degree/no degree yet","indirect migration background","","","",""
"Yes","2011","lower secondary degree","no migration background","1543","1","1","1"
"Yes","2011","lower secondary degree","direct migration background","164","1","1","1"
"Yes","2011","lower secondary degree","indirect migration background","120","1","1","1"
"Yes","2011","secondary school degree","no migration background","2247","1","1","1"
"Yes","2011","secondary school degree","direct migration background","100","1","1","1"
"Yes","2011","secondary school degree","indirect migration background","125","1","1","1"
"Yes","2011","college entrance qualification","no migration background","2370","1","1","1"
"Yes","2011","college entrance qualification","direct migration background","138","1","1","1"
"Yes","2011","college entrance qualification","indirect migration background","152","1","1","1"
"Yes","2011","Other degree","no migration background","46","1","1","1"
"Yes","2011","Other degree","direct migration background","415","1","1","1"
"Yes","2011","Other degree","indirect migration background","7","","",""
"Yes","2011","no degree/no degree yet","no migration background","215","1","1","1"
"Yes","2011","no degree/no degree yet","direct migration background","49","1","1","1"
"Yes","2011","no degree/no degree yet","indirect migration background","53","1","1","1"
"Yes","2012","lower secondary degree","no migration background","","","",""
"Yes","2012","lower secondary degree","direct migration background","","","",""
"Yes","2012","lower secondary degree","indirect migration background","","","",""
"Yes","2012","secondary school degree","no migration background","","","",""
"Yes","2012","secondary school degree","direct migration background","","","",""
"Yes","2012","secondary school degree","indirect migration background","","","",""
"Yes","2012","college entrance qualification","no migration background","","","",""
"Yes","2012","college entrance qualification","direct migration background","","","",""
"Yes","2012","college entrance qualification","indirect migration background","","","",""
"Yes","2012","Other degree","no migration background","","","",""
"Yes","2012","Other degree","direct migration background","","","",""
"Yes","2012","Other degree","indirect migration background","","","",""
"Yes","2012","no degree/no degree yet","no migration background","","","",""
"Yes","2012","no degree/no degree yet","direct migration background","","","",""
"Yes","2012","no degree/no degree yet","indirect migration background","","","",""
"Yes","2013","lower secondary degree","no migration background","1180","1","1","1"
"Yes","2013","lower secondary degree","direct migration background","121","1","1","1"
"Yes","2013","lower secondary degree","indirect migration background","93","1","1","1"
"Yes","2013","secondary school degree","no migration background","1877","1","1","1"
"Yes","2013","secondary school degree","direct migration background","80","1","1","1"
"Yes","2013","secondary school degree","indirect migration background","82","1","1","1"
"Yes","2013","college entrance qualification","no migration background","2092","1","1","1"
"Yes","2013","college entrance qualification","direct migration background","111","1","1","1"
"Yes","2013","college entrance qualification","indirect migration background","142","1","1","1"
"Yes","2013","Other degree","no migration background","42","1","1","1"
"Yes","2013","Other degree","direct migration background","305","1","1","1"
"Yes","2013","Other degree","indirect migration background","5","","",""
"Yes","2013","no degree/no degree yet","no migration background","183","1","1","1"
"Yes","2013","no degree/no degree yet","direct migration background","31","1","1","1"
"Yes","2013","no degree/no degree yet","indirect migration background","44","1","1","1"
