"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","Ostdeutschland, neue Bundeslaender","5.68","6","100","4","5","7","7","5.41","5.95","6","6"
"2005","direct migration background","Westdeutschland, alte Bundeslaender","5.5","6","2257","4","5","7","7","5.44","5.56","6","6"
"2005","indirect migration background","Ostdeutschland, neue Bundeslaender","5.3","6","35","4","4","6","7","4.81","5.79","4","6"
"2005","indirect migration background","Westdeutschland, alte Bundeslaender","5.51","6","795","4","5","7","7","5.42","5.6","6","6"
"2005","no migration background","Ostdeutschland, neue Bundeslaender","5.48","6","4908","4","5","6","7","5.44","5.52","6","6"
"2005","no migration background","Westdeutschland, alte Bundeslaender","5.52","6","12587","4","5","7","7","5.5","5.54","6","6"
"2006","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","direct migration background","Ostdeutschland, neue Bundeslaender","5.44","5","76","4","5","7","7","5.14","5.74","5","6"
"2009","direct migration background","Westdeutschland, alte Bundeslaender","5.3","6","1574","3","4","6","7","5.23","5.37","6","6"
"2009","indirect migration background","Ostdeutschland, neue Bundeslaender","5.7","6","41","5","5","6","7","5.29","6.11","5","6"
"2009","indirect migration background","Westdeutschland, alte Bundeslaender","5.13","5","670","3","4","6","7","5.02","5.24","5","6"
"2009","no migration background","Ostdeutschland, neue Bundeslaender","5.29","6","4417","3","4","6","7","5.25","5.33","6","6"
"2009","no migration background","Westdeutschland, alte Bundeslaender","5.34","6","11219","3","4","6","7","5.32","5.36","6","6"
"2010","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2012","direct migration background","Ostdeutschland, neue Bundeslaender","5.85","6","55","4","6","6","7","5.5","6.2","5","6"
