"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","5.51","6","2357","4","5","7","7","5.45","5.57","6","6"
"2005","indirect migration background","5.51","6","830","4","5","7","7","5.42","5.6","6","6"
"2005","no migration background","5.51","6","17495","4","5","7","7","5.49","5.53","6","6"
"2006","direct migration background","","","","","","","","","","",""
"2006","indirect migration background","","","","","","","","","","",""
"2006","no migration background","","","","","","","","","","",""
"2007","direct migration background","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","",""
"2008","direct migration background","","","","","","","","","","",""
"2008","indirect migration background","","","","","","","","","","",""
"2008","no migration background","","","","","","","","","","",""
"2009","direct migration background","5.31","6","1650","3","4","6","7","5.24","5.38","6","6"
"2009","indirect migration background","5.15","5","711","3","4","6","7","5.05","5.25","5","6"
"2009","no migration background","5.33","6","15636","3","4","6","7","5.31","5.35","6","6"
"2010","direct migration background","","","","","","","","","","",""
"2010","indirect migration background","","","","","","","","","","",""
"2010","no migration background","","","","","","","","","","",""
"2011","direct migration background","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","",""
"2012","direct migration background","5.53","6","1088","4","5","7","7","5.45","5.61","6","6"
"2012","indirect migration background","5.64","6","484","4","5","7","7","5.52","5.76","6","6"
"2012","no migration background","5.52","6","5554","4","5","6","7","5.49","5.55","6","6"
"2013","direct migration background","5.43","6","1682","4","5","6","7","5.36","5.5","6","6"
"2013","indirect migration background","5.42","6","715","4","5","6","7","5.32","5.52","6","6"
"2013","no migration background","5.42","6","16467","4","5","6","7","5.4","5.44","6","6"
"2014","direct migration background","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","",""
"2015","direct migration background","","","","","","","","","","",""
"2015","indirect migration background","","","","","","","","","","",""
"2015","no migration background","","","","","","","","","","",""
"2016","direct migration background","","","","","","","","","","",""
"2016","indirect migration background","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","",""
"2017","direct migration background","5.48","6","7274","3","5","7","7","5.45","5.51","6","6"
"2017","indirect migration background","5.41","6","1712","3","5","6","7","5.34","5.48","6","6"
"2017","no migration background","5.45","6","20296","4","5","6","7","5.43","5.47","6","6"
"2018","direct migration background","","","","","","","","","","",""
"2018","indirect migration background","","","","","","","","","","",""
"2018","no migration background","","","","","","","","","","",""
"2019","direct migration background","5.39","6","3827","3","5","7","7","5.34","5.44","6","6"
"2019","indirect migration background","5.47","6","1697","3","5","7","7","5.4","5.54","6","6"
"2019","no migration background","5.35","6","20222","3","5","6","7","5.33","5.37","6","6"
