"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","general elemantary","5.55","6","564","4","5","7","7","5.44","5.66","6","6"
"2005","direct migration background","higher education","5.42","6","336","3","5","7","7","5.27","5.57","6","6"
"2005","direct migration background","higher vocational","5.75","6","132","4","5","7","7","5.51","5.99","6","6"
"2005","direct migration background","in school","5.9","6","55","4","5","7","7","5.51","6.29","5","7"
"2005","direct migration background","inadequately","5.68","6","148","4","5","7","7","5.43","5.93","5","6"
"2005","direct migration background","middle vocational","5.47","6","867","4","4","7","7","5.38","5.56","6","6"
"2005","direct migration background","vocational + Abi","5.47","6","217","3","4","7","7","5.29","5.65","6","6"
"2005","indirect migration background","general elemantary","5.6","6","182","4","5","7","7","5.39","5.81","5","6"
"2005","indirect migration background","higher education","5.55","6","69","4","5","6","7","5.26","5.84","5","6"
"2005","indirect migration background","higher vocational","5.32","6","41","3","5","6","7","4.86","5.78","5","6"
"2005","indirect migration background","in school","5.56","6","90","4","5","6","7","5.32","5.8","5","6"
"2005","indirect migration background","inadequately","","","","","","","","","","",""
"2005","indirect migration background","middle vocational","5.47","6","337","4","5","7","7","5.33","5.61","6","6"
"2005","indirect migration background","vocational + Abi","5.76","6","46","4","5","7","7","5.41","6.11","5","6"
"2005","no migration background","general elemantary","5.58","6","1654","4","5","7","7","5.52","5.64","6","6"
"2005","no migration background","higher education","5.5","6","3759","4","5","6","7","5.46","5.54","6","6"
"2005","no migration background","higher vocational","5.46","6","1384","4","5","6","7","5.39","5.53","6","6"
"2005","no migration background","in school","5.64","6","504","4","5","7","7","5.54","5.74","6","6"
"2005","no migration background","inadequately","4.98","5","82","2","4","6","7","4.62","5.34","5","6"
"2005","no migration background","middle vocational","5.51","6","9034","4","5","7","7","5.48","5.54","6","6"
"2005","no migration background","vocational + Abi","5.55","6","872","4","5","6","7","5.47","5.63","6","6"
"2006","direct migration background","general elemantary","","","","","","","","","","",""
"2006","direct migration background","higher education","","","","","","","","","","",""
"2006","direct migration background","higher vocational","","","","","","","","","","",""
"2006","direct migration background","in school","","","","","","","","","","",""
"2006","direct migration background","inadequately","","","","","","","","","","",""
"2006","direct migration background","middle vocational","","","","","","","","","","",""
"2006","direct migration background","vocational + Abi","","","","","","","","","","",""
"2006","indirect migration background","general elemantary","","","","","","","","","","",""
"2006","indirect migration background","higher education","","","","","","","","","","",""
"2006","indirect migration background","higher vocational","","","","","","","","","","",""
"2006","indirect migration background","in school","","","","","","","","","","",""
"2006","indirect migration background","inadequately","","","","","","","","","","",""
"2006","indirect migration background","middle vocational","","","","","","","","","","",""
"2006","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2006","no migration background","general elemantary","","","","","","","","","","",""
"2006","no migration background","higher education","","","","","","","","","","",""
"2006","no migration background","higher vocational","","","","","","","","","","",""
"2006","no migration background","in school","","","","","","","","","","",""
"2006","no migration background","inadequately","","","","","","","","","","",""
"2006","no migration background","middle vocational","","","","","","","","","","",""
"2006","no migration background","vocational + Abi","","","","","","","","","","",""
"2007","direct migration background","general elemantary","","","","","","","","","","",""
"2007","direct migration background","higher education","","","","","","","","","","",""
"2007","direct migration background","higher vocational","","","","","","","","","","",""
