"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.45","6","1128","4","5","6","7","5.38","5.52","6","6"
"2005","college entrance qualification","Westdeutschland, alte Bundeslaender","5.52","6","4063","4","5","6","7","5.48","5.56","6","6"
"2005","lower secondary degree","Ostdeutschland, neue Bundeslaender","5.54","6","1390","4","5","7","7","5.47","5.61","6","6"
"2005","lower secondary degree","Westdeutschland, alte Bundeslaender","5.54","6","5688","4","5","7","7","5.5","5.58","6","6"
"2005","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","5.74","6","167","4","5","7","7","5.56","5.92","6","6"
"2005","no degree/no degree yet","Westdeutschland, alte Bundeslaender","5.51","6","736","4","5","7","7","5.41","5.61","6","6"
"2005","Other degree","Ostdeutschland, neue Bundeslaender","5.87","6","49","4","5","7","7","5.42","6.32","6","7"
"2005","Other degree","Westdeutschland, alte Bundeslaender","5.41","6","1060","3","4","7","7","5.32","5.5","6","6"
"2005","secondary school degree","Ostdeutschland, neue Bundeslaender","5.43","6","2218","4","5","6","7","5.38","5.48","6","6"
"2005","secondary school degree","Westdeutschland, alte Bundeslaender","5.54","6","3798","4","5","7","7","5.5","5.58","6","6"
"2006","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
