"year","age_gr","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","16-34 y.","direct migration background","6.61","8","1388","2","5","9","10","6.45","6.77","7","8"
"1984","16-34 y.","indirect migration background","6.82","7","101","2","5","9","10","6.28","7.36","7","8"
"1984","16-34 y.","no migration background","7.49","8","3069","4","6","10","10","7.4","7.58","8","8"
"1984","35-65 y.","direct migration background","7.28","8","1978","3","6","10","10","7.15","7.41","7","8"
"1984","35-65 y.","indirect migration background","","","","","","","","","","",""
"1984","35-65 y.","no migration background","8.17","9","4323","5","7","10","10","8.11","8.23","9","9"
"1984","66 and older","direct migration background","8.22","9","35","5","7","10","10","7.26","9.18","7","10"
"1984","66 and older","indirect migration background","","","","","","","","","","",""
"1984","66 and older","no migration background","8.45","9","1233","5","8","10","10","8.34","8.56","9","9"
"1985","16-34 y.","direct migration background","6.54","7","1133","2","5","9","10","6.37","6.71","7","7"
"1985","16-34 y.","indirect migration background","8.03","8","119","5","7","10","10","7.55","8.51","8","9"
"1985","16-34 y.","no migration background","7.52","8","2858","4","6","9","10","7.44","7.6","8","8"
"1985","35-65 y.","direct migration background","7.3","8","1745","4","5","10","10","7.17","7.43","8","8"
"1985","35-65 y.","indirect migration background","","","","","","","","","","",""
"1985","35-65 y.","no migration background","8.06","8","3993","5","7","10","10","8","8.12","8","8"
"1985","66 and older","direct migration background","7.77","8","37","4","7","10","10","6.88","8.66","7","10"
"1985","66 and older","indirect migration background","","","","","","","","","","",""
"1985","66 and older","no migration background","8.3","9","1068","5","7","10","10","8.19","8.41","8","9"
"1986","16-34 y.","direct migration background","6.74","7","1099","3","5","9","10","6.58","6.9","7","7"
"1986","16-34 y.","indirect migration background","7.18","7.7","129","4","6","10","10","6.73","7.63","7","8"
"1986","16-34 y.","no migration background","7.38","8","2838","4","6","9","10","7.3","7.46","8","8"
"1986","35-65 y.","direct migration background","7.3","8","1692","4","6","9","10","7.18","7.42","7","8"
"1986","35-65 y.","indirect migration background","","","","","","","","","","",""
"1986","35-65 y.","no migration background","7.98","8","3766","5","7","10","10","7.92","8.04","8","8"
"1986","66 and older","direct migration background","7.71","8","50","5","7","9","10","7.06","8.36","7","9"
"1986","66 and older","indirect migration background","","","","","","","","","","",""
"1986","66 and older","no migration background","8.34","9","986","6","7","10","10","8.23","8.45","8","9"
"1987","16-34 y.","direct migration background","7.26","8","140","5","6","9","10","6.87","7.65","7","8"
"1987","16-34 y.","indirect migration background","","","","","","","","","","",""
"1987","16-34 y.","no migration background","7.42","8","2786","4","6","9","10","7.34","7.5","8","8"
"1987","35-65 y.","direct migration background","8.01","8","262","5","7","10","10","7.77","8.25","8","9"
"1987","35-65 y.","indirect migration background","","","","","","","","","","",""
"1987","35-65 y.","no migration background","8.05","8","3645","5","7","10","10","7.99","8.11","8","8"
"1987","66 and older","direct migration background","8.41","9","42","5","7","10","10","7.85","8.97","8","10"
"1987","66 and older","indirect migration background","","","","","","","","","","",""
"1987","66 and older","no migration background","8.33","9","1018","6","8","10","10","8.22","8.44","9","9"
"1988","16-34 y.","direct migration background","6.92","7","1020","3","5","9","10","6.75","7.09","7","7"
"1988","16-34 y.","indirect migration background","7.28","7.35","193","4","6","9","10","6.94","7.62","7","8"
"1988","16-34 y.","no migration background","7.43","8","2613","4","6","9","10","7.34","7.52","8","8"
"1988","35-65 y.","direct migration background","7.27","8","1600","4","6","9","10","7.15","7.39","7","8"
"1988","35-65 y.","indirect migration background","","","","","","","","","","",""
"1988","35-65 y.","no migration background","7.89","8","3477","5","7","10","10","7.83","7.95","8","8"
"1988","66 and older","direct migration background","7.81","8","63","5","6","10","10","7.3","8.32","7","9"
"1988","66 and older","indirect migration background","","","","","","","","","","",""
"1988","66 and older","no migration background","8.18","8","983","5","7","10","10","8.07","8.29","8","9"
"1989","16-34 y.","direct migration background","6.59","7","957","3","5","9","10","6.41","6.77","7","7"
"1989","16-34 y.","indirect migration background","7.5","8","226","4","6","10","10","7.19","7.81","7","8"
"1989","16-34 y.","no migration background","7.38","8","2557","4","6","9","10","7.29","7.47","8","8"
"1989","35-65 y.","direct migration background","7.14","8","1564","4","6","9","10","7.02","7.26","7","8"
"1989","35-65 y.","indirect migration background","","","","","","","","","","",""
"1989","35-65 y.","no migration background","7.89","8","3295","5","7","9","10","7.82","7.96","8","8"
"1989","66 and older","direct migration background","7.83","8","69","5","6","10","10","7.35","8.31","8","9"
"1989","66 and older","indirect migration background","","","","","","","","","","",""
