"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","5.86","6","2366","4","5","7","7","5.82","5.9","6","6"
"2005","indirect migration background","5.74","6","830","4","5","7","7","5.66","5.82","6","6"
"2005","no migration background","5.79","6","17517","4","5","7","7","5.77","5.81","6","6"
"2006","direct migration background","","","","","","","","","","",""
"2006","indirect migration background","","","","","","","","","","",""
"2006","no migration background","","","","","","","","","","",""
"2007","direct migration background","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","",""
"2008","direct migration background","","","","","","","","","","",""
"2008","indirect migration background","","","","","","","","","","",""
"2008","no migration background","","","","","","","","","","",""
"2009","direct migration background","5.74","6","1651","4","5","7","7","5.68","5.8","6","6"
"2009","indirect migration background","5.85","6","712","4","5","7","7","5.77","5.93","6","6"
"2009","no migration background","5.65","6","15637","4","5","6","7","5.63","5.67","6","6"
"2010","direct migration background","","","","","","","","","","",""
"2010","indirect migration background","","","","","","","","","","",""
"2010","no migration background","","","","","","","","","","",""
"2011","direct migration background","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","",""
"2012","direct migration background","5.85","6","1090","4","5","7","7","5.78","5.92","6","6"
"2012","indirect migration background","5.91","6","483","5","5","7","7","5.81","6.01","6","6"
"2012","no migration background","5.78","6","5547","4","5","6","7","5.75","5.81","6","6"
"2013","direct migration background","5.85","6","1683","4","5","7","7","5.8","5.9","6","6"
"2013","indirect migration background","5.79","6","715","4","5","7","7","5.71","5.87","6","6"
"2013","no migration background","5.77","6","16459","4","5","7","7","5.75","5.79","6","6"
"2014","direct migration background","","","","","","","","","","",""
"2014","indirect migration background","","","","","","","","","","",""
"2014","no migration background","","","","","","","","","","",""
"2015","direct migration background","","","","","","","","","","",""
"2015","indirect migration background","","","","","","","","","","",""
"2015","no migration background","","","","","","","","","","",""
"2016","direct migration background","","","","","","","","","","",""
"2016","indirect migration background","","","","","","","","","","",""
"2016","no migration background","","","","","","","","","","",""
"2017","direct migration background","5.97","6","7266","5","5","7","7","5.95","5.99","6","7"
"2017","indirect migration background","5.91","6","1714","5","5","7","7","5.86","5.96","6","6"
"2017","no migration background","5.81","6","20299","4","5","7","7","5.8","5.82","6","6"
"2018","direct migration background","","","","","","","","","","",""
"2018","indirect migration background","","","","","","","","","","",""
"2018","no migration background","","","","","","","","","","",""
"2019","direct migration background","5.94","6","3831","5","5","7","7","5.91","5.97","6","6"
"2019","indirect migration background","5.9","6","1701","4","5","7","7","5.85","5.95","6","6"
"2019","no migration background","5.78","6","20248","4","5","7","7","5.77","5.79","6","6"
