"year","sampreg","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","Ostdeutschland, neue Bundeslaender","Female","6.06","6","2622","6.02","6.1","5","6","7","7"
"2005","Ostdeutschland, neue Bundeslaender","Male","5.65","6","2421","5.61","5.69","4","5","7","7"
"2005","Westdeutschland, alte Bundeslaender","Female","5.94","6","8192","5.92","5.96","5","5","7","7"
"2005","Westdeutschland, alte Bundeslaender","Male","5.61","6","7478","5.58","5.64","4","5","6","7"
"2006","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2006","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2006","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2006","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2007","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2007","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2007","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2007","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2008","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2008","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2008","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2008","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2009","Ostdeutschland, neue Bundeslaender","Female","5.88","6","2353","5.84","5.92","4","5","7","7"
"2009","Ostdeutschland, neue Bundeslaender","Male","5.52","6","2183","5.47","5.57","4","5","6","7"
"2009","Westdeutschland, alte Bundeslaender","Female","5.8","6","7059","5.77","5.83","4","5","7","7"
"2009","Westdeutschland, alte Bundeslaender","Male","5.51","6","6405","5.48","5.54","4","5","6","7"
"2010","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2010","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2010","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2010","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2011","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2011","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2011","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2011","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2012","Ostdeutschland, neue Bundeslaender","Female","6.03","6","808","5.97","6.09","5","6","7","7"
"2012","Ostdeutschland, neue Bundeslaender","Male","5.59","6","530","5.5","5.68","4","5","6","7"
"2012","Westdeutschland, alte Bundeslaender","Female","5.93","6","3426","5.9","5.96","5","5","7","7"
"2012","Westdeutschland, alte Bundeslaender","Male","5.64","6","2356","5.6","5.68","4","5","6","7"
"2013","Ostdeutschland, neue Bundeslaender","Female","6.02","6","2356","5.98","6.06","5","6","7","7"
"2013","Ostdeutschland, neue Bundeslaender","Male","5.62","6","2104","5.57","5.67","4","5","6","7"
"2013","Westdeutschland, alte Bundeslaender","Female","5.92","6","7674","5.9","5.94","5","5","7","7"
"2013","Westdeutschland, alte Bundeslaender","Male","5.6","6","6723","5.57","5.63","4","5","6","7"
"2014","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2014","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2014","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2014","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2015","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2015","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2015","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2015","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2016","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2016","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2016","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2016","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2017","Ostdeutschland, neue Bundeslaender","Female","6.04","6","3200","6.01","6.07","5","6","7","7"
"2017","Ostdeutschland, neue Bundeslaender","Male","5.68","6","2891","5.64","5.72","4","5","6","7"
"2017","Westdeutschland, alte Bundeslaender","Female","5.99","6","12104","5.97","6.01","5","6","7","7"
"2017","Westdeutschland, alte Bundeslaender","Male","5.68","6","11084","5.66","5.7","4","5","6","7"
"2018","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","",""
"2018","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","",""
"2018","Westdeutschland, alte Bundeslaender","Female","","","","","","","","",""
"2018","Westdeutschland, alte Bundeslaender","Male","","","","","","","","",""
"2019","Ostdeutschland, neue Bundeslaender","Female","5.98","6","2913","5.95","6.01","5","6","7","7"
"2019","Ostdeutschland, neue Bundeslaender","Male","5.67","6","2651","5.63","5.71","4","5","6","7"
"2019","Westdeutschland, alte Bundeslaender","Female","5.96","6","10519","5.94","5.98","5","5","7","7"
"2019","Westdeutschland, alte Bundeslaender","Male","5.65","6","9613","5.63","5.67","4","5","6","7"
