"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","general elemantary","5.77","6","833","4","5","7","7","5.69","5.85","6","6"
"2005","16-34 y.","higher education","5.75","6","523","5","5","6","7","5.67","5.83","6","6"
"2005","16-34 y.","higher vocational","5.87","6","206","5","5","7","7","5.72","6.02","6","6"
"2005","16-34 y.","in school","5.72","6","648","4","5","7","7","5.64","5.8","6","6"
"2005","16-34 y.","inadequately","5.82","6","59","4","5","7","7","5.51","6.13","6","7"
"2005","16-34 y.","middle vocational","5.75","6","2335","4","5","7","7","5.71","5.79","6","6"
"2005","16-34 y.","vocational + Abi","5.85","6","439","4","5","7","7","5.75","5.95","6","6"
"2005","35-65 y.","general elemantary","5.78","6","825","4","5","7","7","5.7","5.86","6","6"
"2005","35-65 y.","higher education","5.78","6","2985","4","5","7","7","5.74","5.82","6","6"
"2005","35-65 y.","higher vocational","5.74","6","1096","4","5","7","7","5.67","5.81","6","6"
"2005","35-65 y.","in school","","","","","","","","","","",""
"2005","35-65 y.","inadequately","5.9","6","128","4","5","7","7","5.66","6.14","6","6"
"2005","35-65 y.","middle vocational","5.79","6","5960","4","5","7","7","5.76","5.82","6","6"
"2005","35-65 y.","vocational + Abi","5.65","6","595","4","5","6","7","5.56","5.74","6","6"
"2005","66 and older","general elemantary","5.92","6","744","4","5","7","7","5.84","6","6","6"
"2005","66 and older","higher education","5.87","6","664","4","5","7","7","5.79","5.95","6","6"
"2005","66 and older","higher vocational","5.84","6","256","4","5","7","7","5.7","5.98","6","6"
"2005","66 and older","in school","","","","","","","","","","",""
"2005","66 and older","inadequately","5.97","6","51","4","5","7","7","5.59","6.35","5","7"
"2005","66 and older","middle vocational","5.9","6","1961","4","5","7","7","5.85","5.95","6","6"
"2005","66 and older","vocational + Abi","5.85","6","102","4","5","7","7","5.63","6.07","6","6"
"2006","16-34 y.","general elemantary","","","","","","","","","","",""
"2006","16-34 y.","higher education","","","","","","","","","","",""
"2006","16-34 y.","higher vocational","","","","","","","","","","",""
"2006","16-34 y.","in school","","","","","","","","","","",""
"2006","16-34 y.","inadequately","","","","","","","","","","",""
"2006","16-34 y.","middle vocational","","","","","","","","","","",""
"2006","16-34 y.","vocational + Abi","","","","","","","","","","",""
"2006","35-65 y.","general elemantary","","","","","","","","","","",""
"2006","35-65 y.","higher education","","","","","","","","","","",""
"2006","35-65 y.","higher vocational","","","","","","","","","","",""
"2006","35-65 y.","in school","","","","","","","","","","",""
"2006","35-65 y.","inadequately","","","","","","","","","","",""
"2006","35-65 y.","middle vocational","","","","","","","","","","",""
"2006","35-65 y.","vocational + Abi","","","","","","","","","","",""
"2006","66 and older","general elemantary","","","","","","","","","","",""
"2006","66 and older","higher education","","","","","","","","","","",""
"2006","66 and older","higher vocational","","","","","","","","","","",""
"2006","66 and older","in school","","","","","","","","","","",""
