"hgowner","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"1","1985","Urban Area","West Germany","3070","0.418096645152477","0.407792866702729","0.428400423602225"
"1","1985","Urban Area","East Germany","","","",""
"1","1985","Rural Area","West Germany","1356","0.626604966149525","0.606767727125581","0.646442205173469"
"1","1985","Rural Area","East Germany","","","",""
"2","1985","Urban Area","West Germany","5601","0.568159295812179","0.557811935168018","0.57850665645634"
"2","1985","Urban Area","East Germany","","","",""
"2","1985","Rural Area","West Germany","904","0.362242026784868","0.342530175807541","0.381953877762196"
"2","1985","Rural Area","East Germany","","","",""
"3","1985","Urban Area","West Germany","132","0.0137440590353442","0.0113119386817705","0.0161761793889179"
"3","1985","Urban Area","East Germany","","","",""
"3","1985","Rural Area","West Germany","24","","",""
"3","1985","Rural Area","East Germany","","","",""
"4","1985","Urban Area","West Germany","","","",""
"4","1985","Urban Area","East Germany","","","",""
"4","1985","Rural Area","West Germany","","","",""
"4","1985","Rural Area","East Germany","","","",""
"5","1985","Urban Area","West Germany","","","",""
"5","1985","Urban Area","East Germany","","","",""
"5","1985","Rural Area","West Germany","","","",""
"5","1985","Rural Area","East Germany","","","",""
"1","1986","Urban Area","West Germany","3058","0.419571756216474","0.409052274074802","0.430091238358147"
"1","1986","Urban Area","East Germany","","","",""
"1","1986","Rural Area","West Germany","1316","0.623112258756058","0.602774204021997","0.643450313490118"
"1","1986","Rural Area","East Germany","","","",""
"2","1986","Urban Area","West Germany","5243","0.563069096933185","0.552495951724718","0.573642242141651"
"2","1986","Urban Area","East Germany","","","",""
"2","1986","Rural Area","West Germany","819","0.359354922214019","0.339218106106049","0.379491738321988"
"2","1986","Rural Area","East Germany","","","",""
"3","1986","Urban Area","West Germany","153","0.0173591468503406","0.0145750870096802","0.020143206691001"
"3","1986","Urban Area","East Germany","","","",""
"3","1986","Rural Area","West Germany","45","0.0168955329558912","0.0114866692156792","0.0223043966961033"
"3","1986","Rural Area","East Germany","","","",""
"4","1986","Urban Area","West Germany","","","",""
"4","1986","Urban Area","East Germany","","","",""
"4","1986","Rural Area","West Germany","1","","",""
"4","1986","Rural Area","East Germany","","","",""
"5","1986","Urban Area","West Germany","","","",""
"5","1986","Urban Area","East Germany","","","",""
"5","1986","Rural Area","West Germany","","","",""
"5","1986","Rural Area","East Germany","","","",""
"1","1987","Urban Area","West Germany","3076","0.419996524819481","0.409408985964654","0.430584063674308"
"1","1987","Urban Area","East Germany","","","",""
"1","1987","Rural Area","West Germany","1259","0.616797843427892","0.596295353321612","0.637300333534171"
"1","1987","Rural Area","East Germany","","","",""
"2","1987","Urban Area","West Germany","5097","0.558130904302234","0.54747790937707","0.568783899227398"
"2","1987","Urban Area","East Germany","","","",""
"2","1987","Rural Area","West Germany","864","0.363086571322088","0.342806638515018","0.383366504129158"
"2","1987","Rural Area","East Germany","","","",""
"3","1987","Urban Area","West Germany","170","0.0209953353494608","0.017919871267692","0.0240707994312295"
"3","1987","Urban Area","East Germany","","","",""
"3","1987","Rural Area","West Germany","37","0.0201155852500206","0.0141948590643058","0.0260363114357354"
"3","1987","Rural Area","East Germany","","","",""
"4","1987","Urban Area","West Germany","5","","",""
"4","1987","Urban Area","East Germany","","","",""
"4","1987","Rural Area","West Germany","","","",""
"4","1987","Rural Area","East Germany","","","",""
"5","1987","Urban Area","West Germany","","","",""
"5","1987","Urban Area","East Germany","","","",""
"5","1987","Rural Area","West Germany","","","",""
"5","1987","Rural Area","East Germany","","","",""
"1","1988","Urban Area","West Germany","2945","0.423206705236193","0.412377462965317","0.434035947507069"
"1","1988","Urban Area","East Germany","","","",""
"1","1988","Rural Area","West Germany","1157","0.609091198204386","0.587833231456309","0.630349164952464"
"1","1988","Rural Area","East Germany","","","",""
"2","1988","Urban Area","West Germany","4898","0.552943975627209","0.542046315992826","0.563841635261593"
"2","1988","Urban Area","East Germany","","","",""
"2","1988","Rural Area","West Germany","822","0.36597677762292","0.344991139290522","0.386962415955319"
"2","1988","Rural Area","East Germany","","","",""
"3","1988","Urban Area","West Germany","152","0.0234680589211665","0.020149928060276","0.0267861897820569"
"3","1988","Urban Area","East Germany","","","",""
"3","1988","Rural Area","West Germany","43","0.024368443935296","0.017651067981814","0.0310858198887779"
"3","1988","Rural Area","East Germany","","","",""
"4","1988","Urban Area","West Germany","1","","",""
"4","1988","Urban Area","East Germany","","","",""
