"hgowner","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"1","1984","16-34 y.","Full Time","626","0.364480337764376","0.344473432857651","0.384487242671101"
"1","1984","16-34 y.","Part Time","276","0.37299184447688","0.341362063431091","0.404621625522668"
"1","1984","16-34 y.","Not Working","487","0.431081183208263","0.405910367556707","0.456251998859818"
"1","1984","35-65 y.","Full Time","1373","0.52609528656166","0.509392500870797","0.542798072252522"
"1","1984","35-65 y.","Part Time","416","0.523416993032473","0.491657067607326","0.555176918457621"
"1","1984","35-65 y.","Not Working","908","0.542776354822125","0.520721974671344","0.564830734972907"
"1","1984","66 and older","Full Time","14","","",""
"1","1984","66 and older","Part Time","25","","",""
"1","1984","66 and older","Not Working","558","0.426724706761475","0.398925217922098","0.454524195600852"
"2","1984","16-34 y.","Full Time","1553","0.616843956937609","0.596634536612223","0.637053377262995"
"2","1984","16-34 y.","Part Time","604","0.609520064214209","0.577611792070925","0.641428336357492"
"2","1984","16-34 y.","Not Working","977","0.554649863630203","0.529388728802026","0.57991099845838"
"2","1984","35-65 y.","Full Time","2013","0.466844833466443","0.450156065410477","0.483533601522409"
"2","1984","35-65 y.","Part Time","522","0.466129788937165","0.434408007985152","0.497851569889177"
"2","1984","35-65 y.","Not Working","1034","0.447835659928336","0.425820919493275","0.469850400363397"
"2","1984","66 and older","Full Time","8","","",""
"2","1984","66 and older","Part Time","17","","",""
"2","1984","66 and older","Not Working","635","0.55357348492035","0.525632356962616","0.581514612878085"
"3","1984","16-34 y.","Full Time","38","0.0162455083123656","0.0109903188722954","0.0215006977524359"
"3","1984","16-34 y.","Part Time","17","","",""
"3","1984","16-34 y.","Not Working","19","","",""
"3","1984","35-65 y.","Full Time","41","0.00592097795821579","0.00335461329952048","0.00848734261691109"
"3","1984","35-65 y.","Part Time","10","","",""
"3","1984","35-65 y.","Not Working","11","","",""
"3","1984","66 and older","Full Time","","","",""
"3","1984","66 and older","Part Time","","","",""
"3","1984","66 and older","Not Working","17","","",""
"4","1984","16-34 y.","Full Time","6","","",""
"4","1984","16-34 y.","Part Time","1","","",""
"4","1984","16-34 y.","Not Working","4","","",""
"4","1984","35-65 y.","Full Time","6","","",""
"4","1984","35-65 y.","Part Time","2","","",""
"4","1984","35-65 y.","Not Working","7","","",""
"4","1984","66 and older","Full Time","","","",""
"4","1984","66 and older","Part Time","","","",""
"4","1984","66 and older","Not Working","6","","",""
"5","1984","16-34 y.","Full Time","","","",""
"5","1984","16-34 y.","Part Time","","","",""
"5","1984","16-34 y.","Not Working","","","",""
"5","1984","35-65 y.","Full Time","","","",""
"5","1984","35-65 y.","Part Time","","","",""
"5","1984","35-65 y.","Not Working","","","",""
"5","1984","66 and older","Full Time","","","",""
"5","1984","66 and older","Part Time","","","",""
"5","1984","66 and older","Not Working","","","",""
"1","1985","16-34 y.","Full Time","596","0.363910321336727","0.342500966160531","0.385319676512922"
"1","1985","16-34 y.","Part Time","307","0.402542958520249","0.370269482761095","0.434816434279403"
"1","1985","16-34 y.","Not Working","463","0.449254890905835","0.422779646516259","0.475730135295411"
"1","1985","35-65 y.","Full Time","1266","0.534150668100384","0.516383231187435","0.551918105013334"
"1","1985","35-65 y.","Part Time","420","0.510815380851057","0.479094715862926","0.542536045839188"
"1","1985","35-65 y.","Not Working","866","0.547765825751076","0.524798576676885","0.570733074825268"
"1","1985","66 and older","Full Time","13","","",""
"1","1985","66 and older","Part Time","14","","",""
"1","1985","66 and older","Not Working","481","0.404704982002971","0.375336355957842","0.434073608048101"
"2","1985","16-34 y.","Full Time","1307","0.616101109533734","0.594459894019525","0.637742325047943"
"2","1985","16-34 y.","Part Time","568","0.582578260811244","0.550125552218683","0.615030969403805"
"2","1985","16-34 y.","Not Working","870","0.534902274235256","0.50835453296707","0.561450015503442"
"2","1985","35-65 y.","Full Time","1720","0.455600206070431","0.437861534715755","0.473338877425107"
"2","1985","35-65 y.","Part Time","524","0.481728452318361","0.450021555723814","0.513435348912908"
"2","1985","35-65 y.","Not Working","921","0.442351840022006","0.419432934187866","0.465270745856146"
"2","1985","66 and older","Full Time","5","","",""
"2","1985","66 and older","Part Time","13","","",""
"2","1985","66 and older","Not Working","577","0.580433074550098","0.550905693506887","0.609960455593308"
"3","1985","16-34 y.","Full Time","37","0.0199885691295399","0.0137604967657856","0.0262166414932942"
"3","1985","16-34 y.","Part Time","12","","",""
"3","1985","16-34 y.","Not Working","23","","",""
"3","1985","35-65 y.","Full Time","42","0.0102491258291846","0.00666175299457046","0.0138364986637988"
"3","1985","35-65 y.","Part Time","10","","",""
