"ple0097","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Neither","1999","Urban Area","Male","52","0.0128015251444488","0.00946121614183253","0.016141834147065","3"
"Neither","1999","Urban Area","Female","20","","","","3"
"Neither","1999","Rural Area","Male","32","0.0143558858965809","0.00948497021505285","0.019226801578109","3"
"Neither","1999","Rural Area","Female","8","","","","3"
"Private health insurance","1999","Urban Area","Male","548","0.146475711693113","0.135969544692368","0.156981878693858","2"
"Private health insurance","1999","Urban Area","Female","354","0.0864115181121981","0.0783651337707619","0.0944579024536342","2"
"Private health insurance","1999","Rural Area","Male","197","0.10358925910138","0.0911112173138233","0.116067300888937","2"
"Private health insurance","1999","Rural Area","Female","117","0.0580851567074887","0.048798514157637","0.0673717992573404","2"
"Public health insurance","1999","Urban Area","Male","3751","0.840722763162438","0.829849577368926","0.85159594895595","1"
"Public health insurance","1999","Urban Area","Female","4310","0.909711588713788","0.901504152483943","0.917919024943633","1"
"Public health insurance","1999","Rural Area","Male","2062","0.882054855002039","0.868847271104137","0.895262438899941","1"
"Public health insurance","1999","Rural Area","Female","2312","0.93730678072923","0.927682428884062","0.946931132574397","1"
"Neither","2000","Urban Area","Male","66","0.00899550141267457","0.00687626860789374","0.0111147342174554","3"
"Neither","2000","Urban Area","Female","28","","","","3"
"Neither","2000","Rural Area","Male","34","0.00737118685267418","0.00472664017623198","0.0100157335291164","3"
"Neither","2000","Rural Area","Female","13","","","","3"
"Private health insurance","2000","Urban Area","Male","1115","0.152715993593241","0.144642064475322","0.160789922711159","2"
"Private health insurance","2000","Urban Area","Female","742","0.0897562471217076","0.0836125731534253","0.0958999210899899","2"
"Private health insurance","2000","Rural Area","Male","436","0.11506757159123","0.105202037154424","0.124933106028035","2"
"Private health insurance","2000","Rural Area","Female","239","0.05558215583232","0.0487189778281424","0.0624453338364976","2"
"Public health insurance","2000","Urban Area","Male","6444","0.838288504994085","0.830024408708156","0.846552601280013","1"
"Public health insurance","2000","Urban Area","Female","7545","0.90701765963457","0.900775640836017","0.913259678433122","1"
"Public health insurance","2000","Rural Area","Male","3549","0.877561241556096","0.867427093067179","0.887695390045014","1"
"Public health insurance","2000","Rural Area","Female","4029","0.941326658678392","0.934286765541614","0.94836655181517","1"
"Neither","2001","Urban Area","Male","67","0.0113769852008039","0.00887804777994598","0.0138759226216619","3"
"Neither","2001","Urban Area","Female","19","","","","3"
"Neither","2001","Rural Area","Male","39","0.0128713944754091","0.00922009129444431","0.0165226976563739","3"
"Neither","2001","Rural Area","Female","6","","","","3"
"Private health insurance","2001","Urban Area","Male","1035","0.158021256408257","0.149426476800569","0.166616036015945","2"
"Private health insurance","2001","Urban Area","Female","701","0.0936921873019522","0.0871429906265637","0.100241383977341","2"
"Private health insurance","2001","Rural Area","Male","391","0.112206441215876","0.101982623077813","0.122430259353939","2"
"Private health insurance","2001","Rural Area","Female","210","0.0538903275715156","0.0467780848474791","0.0610025702955522","2"
"Public health insurance","2001","Urban Area","Male","5817","0.830601758390939","0.821763284206167","0.839440232575712","1"
"Public health insurance","2001","Urban Area","Female","6885","0.903922380893059","0.897299069591543","0.910545692194576","1"
"Public health insurance","2001","Rural Area","Male","3231","0.874922164308715","0.864206400939159","0.885637927678271","1"
"Public health insurance","2001","Rural Area","Female","3656","0.9445956357725","0.937389949128629","0.95180132241637","1"
"Neither","2002","Urban Area","Male","52","0.00633004565584168","0.00452767335554197","0.00813241795614139","3"
"Neither","2002","Urban Area","Female","17","","","","3"
"Neither","2002","Rural Area","Male","38","0.00851701020915836","0.00556876574839854","0.0114652546699182","3"
"Neither","2002","Rural Area","Female","10","","","","3"
"Private health insurance","2002","Urban Area","Male","1460","0.151178404821183","0.14303749220098","0.159319317441386","2"
"Private health insurance","2002","Urban Area","Female","1017","0.0901665484583424","0.083904278294083","0.0964288186226018","2"
"Private health insurance","2002","Rural Area","Male","517","0.112017814401404","0.101899155701698","0.122136473101111","2"
"Private health insurance","2002","Rural Area","Female","303","0.0532737432599093","0.0462586378467448","0.0602888486730738","2"
