"ple0097","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Neither","1999","West Germany","Male","66","0.0140362218290154","0.0107141014934577","0.0173583421645731","3"
"Neither","1999","West Germany","Female","25","","","","3"
"Neither","1999","East Germany","Male","18","","","","3"
"Neither","1999","East Germany","Female","3","","","","3"
"Private health insurance","1999","West Germany","Male","643","0.152380671709777","0.142231627708905","0.162529715710649","2"
"Private health insurance","1999","West Germany","Female","413","0.0893342514067135","0.0815390322179639","0.0971294705954631","2"
"Private health insurance","1999","East Germany","Male","102","0.0528566691840152","0.0425913039585153","0.0631220344095152","2"
"Private health insurance","1999","East Germany","Female","58","0.0281445617245212","0.0208561478357559","0.0354329756132865","2"
"Public health insurance","1999","West Germany","Male","4108","0.833583106461207","0.823065112295277","0.844101100627138","1"
"Public health insurance","1999","West Germany","Female","4705","0.905921316273269","0.897942642938035","0.913899989608502","1"
"Public health insurance","1999","East Germany","Male","1705","0.937152399887382","0.926018017897128","0.948286781877635","1"
"Public health insurance","1999","East Germany","Female","1917","0.970595982758272","0.963151105766729","0.978040859749815","1"
"Neither","2000","West Germany","Male","85","0.00949877406270121","0.00747642112107576","0.0115211270043267","3"
"Neither","2000","West Germany","Female","36","0.00363168024387682","0.0024240893453914","0.00483927114236223","3"
"Neither","2000","East Germany","Male","15","","","","3"
"Neither","2000","East Germany","Female","5","","","","3"
"Private health insurance","2000","West Germany","Male","1353","0.157647859919452","0.15005008287539","0.165245636963515","2"
"Private health insurance","2000","West Germany","Female","883","0.0915084340440842","0.0857201866376536","0.0972966814505148","2"
"Private health insurance","2000","East Germany","Male","198","0.0688561025343557","0.0594889734800168","0.0782232315886947","2"
"Private health insurance","2000","East Germany","Female","98","0.0270903957147068","0.02134198711646","0.0328388043129536","2"
"Public health insurance","2000","West Germany","Male","7399","0.832853366017846","0.825074276776076","0.840632455259617","1"
"Public health insurance","2000","West Germany","Female","8613","0.904859885712039","0.89896970558221","0.910750065841868","1"
"Public health insurance","2000","East Germany","Male","2594","0.927020025121831","0.917397849100421","0.93664220114324","1"
"Public health insurance","2000","East Germany","Female","2961","0.971623500823263","0.965744112798232","0.977502888848293","1"
"Neither","2001","West Germany","Male","88","0.0123303169596174","0.009903739706946","0.0147568942122887","3"
"Neither","2001","West Germany","Female","19","","","","3"
"Neither","2001","East Germany","Male","18","","","","3"
"Neither","2001","East Germany","Female","6","","","","3"
"Private health insurance","2001","West Germany","Male","1241","0.160612744525943","0.152539049742413","0.168686439309473","2"
"Private health insurance","2001","West Germany","Female","817","0.0931220656160453","0.0869969247723832","0.0992472064597074","2"
"Private health insurance","2001","East Germany","Male","185","0.0711178174390255","0.0613042410479566","0.0809313938300944","2"
"Private health insurance","2001","East Germany","Female","94","0.0313329781656788","0.0249143389004558","0.0377516174309018","2"
"Public health insurance","2001","West Germany","Male","6616","0.827056938514439","0.818740824855539","0.83537305217334","1"
"Public health insurance","2001","West Germany","Female","7811","0.904684545710515","0.898495187641725","0.910873903779306","1"
"Public health insurance","2001","East Germany","Male","2432","0.919117241446802","0.908706750397798","0.929527732495806","1"
"Public health insurance","2001","East Germany","Female","2730","0.966867563485719","0.960273318832551","0.973461808138886","1"
"Neither","2002","West Germany","Male","74","0.00684168543628857","0.00509187223036145","0.00859149864221569","3"
"Neither","2002","West Germany","Female","23","","","","3"
"Neither","2002","East Germany","Male","16","","","","3"
"Neither","2002","East Germany","Female","4","","","","3"
"Private health insurance","2002","West Germany","Male","1735","0.154957447780315","0.147275941078687","0.162638954481942","2"
"Private health insurance","2002","West Germany","Female","1193","0.0904720237246957","0.0845979169976774","0.0963461304517139","2"
"Private health insurance","2002","East Germany","Male","242","0.0707513146767381","0.0609796515247052","0.080522977828771","2"
"Private health insurance","2002","East Germany","Female","127","0.0274272982290095","0.0213906900882745","0.0334639063697444","2"
"Public health insurance","2002","West Germany","Male","6716","0.838200866783397","0.830383453987517","0.846018279579277","1"
"Public health insurance","2002","West Germany","Female","7945","0.907271010726001","0.901331469108448","0.913210552343554","1"
"Public health insurance","2002","East Germany","Male","2387","0.921490767806653","0.911240360750314","0.931741174862992","1"
"Public health insurance","2002","East Germany","Female","2681","0.97130427680309","0.965133687093765","0.977474866512415","1"
"Neither","2003","West Germany","Male","80","0.0095264226275088","0.0074135019666767","0.0116393432883409","3"
"Neither","2003","West Germany","Female","28","","","","3"
"Neither","2003","East Germany","Male","19","","","","3"
"Neither","2003","East Germany","Female","2","","","","3"
"Private health insurance","2003","West Germany","Male","1611","0.152368661933694","0.144551517261151","0.160185806606237","2"
"Private health insurance","2003","West Germany","Female","1133","0.089846333589221","0.0838645167963268","0.0958281503821151","2"
"Private health insurance","2003","East Germany","Male","244","0.0766249509697887","0.066386812359639","0.0868630895799384","2"
"Private health insurance","2003","East Germany","Female","135","0.0288620331623509","0.0226341237426984","0.0350899425820035","2"
"Public health insurance","2003","West Germany","Male","6428","0.838104915438797","0.830092511317181","0.846117319560413","1"
"Public health insurance","2003","West Germany","Female","7618","0.907113900307728","0.901041899214684","0.913185901400772","1"
"Public health insurance","2003","East Germany","Male","2330","0.915390140410258","0.904678390242469","0.926101890578048","1"
"Public health insurance","2003","East Germany","Female","2639","0.970470162270926","0.964172781060744","0.976767543481109","1"
"Neither","2004","West Germany","Male","","","","","3"
"Neither","2004","West Germany","Female","","","","","3"
"Neither","2004","East Germany","Male","","","","","3"
"Neither","2004","East Germany","Female","","","","","3"
"Private health insurance","2004","West Germany","Male","1571","0.153052543264884","0.145071700264841","0.161033386264926","2"
"Private health insurance","2004","West Germany","Female","1105","0.0888314910360654","0.082785134415463","0.0948778476566678","2"
"Private health insurance","2004","East Germany","Male","245","0.0790165070144862","0.0684228461890468","0.0896101678399257","2"
"Private health insurance","2004","East Germany","Female","133","0.0269809086027904","0.0209096461025119","0.0330521711030689","2"
"Public health insurance","2004","West Germany","Male","6247","0.846947456735116","0.838966613735074","0.854928299735159","1"
"Public health insurance","2004","West Germany","Female","7400","0.911168508963935","0.905122152343332","0.917214865584537","1"
"Public health insurance","2004","East Germany","Male","2246","0.920983492985514","0.910389832160074","0.931577153810953","1"
"Public health insurance","2004","East Germany","Female","2603","0.97301909139721","0.966947828896931","0.979090353897488","1"
"Neither","2005","West Germany","Male","","","","","3"
"Neither","2005","West Germany","Female","","","","","3"
"Neither","2005","East Germany","Male","","","","","3"
"Neither","2005","East Germany","Female","","","","","3"
"Private health insurance","2005","West Germany","Male","1491","0.153326833055006","0.145120435725055","0.161533230384957","2"
"Private health insurance","2005","West Germany","Female","1074","0.0925719295090775","0.0862826339658164","0.0988612250523387","2"
"Private health insurance","2005","East Germany","Male","230","0.0794248468617618","0.0685796173474773","0.0902700763760462","2"
"Private health insurance","2005","East Germany","Female","122","0.0254604382248725","0.0194207981176492","0.0315000783320958","2"
"Public health insurance","2005","West Germany","Male","5914","0.846673166944994","0.838466769615043","0.854879564274944","1"
"Public health insurance","2005","West Germany","Female","7084","0.907428070490923","0.901138774947661","0.913717366034184","1"
"Public health insurance","2005","East Germany","Male","2158","0.920575153138238","0.909729923623954","0.931420382652523","1"
"Public health insurance","2005","East Germany","Female","2491","0.974539561775127","0.968499921667904","0.980579201882351","1"
"Neither","2006","West Germany","Male","","","","","3"
"Neither","2006","West Germany","Female","","","","","3"
"Neither","2006","East Germany","Male","","","","","3"
"Neither","2006","East Germany","Female","","","","","3"
"Private health insurance","2006","West Germany","Male","1641","0.162591300708828","0.154455047667343","0.170727553750313","2"
"Private health insurance","2006","West Germany","Female","1144","0.0933410869575623","0.0872435925428834","0.0994385813722411","2"
"Private health insurance","2006","East Germany","Male","244","0.0862297693771489","0.0752549100664207","0.0972046286878771","2"
"Private health insurance","2006","East Germany","Female","127","0.0263974001914633","0.0204012946952607","0.0323935056876658","2"
"Public health insurance","2006","West Germany","Male","6260","0.837408699291172","0.829272446249687","0.845544952332657","1"
"Public health insurance","2006","West Germany","Female","7600","0.906658913042438","0.900561418627759","0.912756407457117","1"
"Public health insurance","2006","East Germany","Male","2269","0.913770230622851","0.902795371312123","0.924745089933579","1"
"Public health insurance","2006","East Germany","Female","2619","0.973602599808537","0.967606494312334","0.979598705304739","1"
"Neither","2007","West Germany","Male","","","","","3"
"Neither","2007","West Germany","Female","","","","","3"
"Neither","2007","East Germany","Male","","","","","3"
"Neither","2007","East Germany","Female","","","","","3"
"Private health insurance","2007","West Germany","Male","1504","0.164105239994257","0.1556009015907","0.172609578397813","2"
"Private health insurance","2007","West Germany","Female","1065","0.0921025362431141","0.0858179469510408","0.0983871255351875","2"
