"ple0097","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Neither","1999","Hesse","middle vocational","3","","","","3"
"Neither","1999","Rhineland-Palatinate,Saarland","vocational + Abi","","","","","3"
"Neither","1999","Rhineland-Palatinate,Saarland","middle vocational","2","","","","3"
"Neither","1999","Hesse","vocational + Abi","","","","","3"
"Neither","1999","Hesse","higher vocational","","","","","3"
"Neither","1999","Hesse","higher education","","","","","3"
"Neither","1999","Rhineland-Palatinate,Saarland","in school","","","","","3"
"Neither","1999","Rhineland-Palatinate,Saarland","general elemantary","3","","","","3"
"Neither","1999","Rhineland-Palatinate,Saarland","inadequately","","","","","3"
"Neither","1999","Lower Saxony","higher vocational","3","","","","3"
"Neither","1999","Lower Saxony","higher education","1","","","","3"
"Neither","1999","Bremen","in school","","","","","3"
"Neither","1999","Bremen","inadequately","","","","","3"
"Neither","1999","Rhineland-Palatinate,Saarland","higher vocational","1","","","","3"
"Neither","1999","Rhineland-Palatinate,Saarland","higher education","","","","","3"
"Neither","1999","Baden-Württemberg","in school","","","","","3"
"Neither","1999","Baden-Württemberg","inadequately","","","","","3"
"Neither","1999","Baden-Württemberg","general elemantary","1","","","","3"
"Neither","1999","Baden-Württemberg","middle vocational","6","","","","3"
"Neither","1999","Baden-Württemberg","vocational + Abi","2","","","","3"
"Neither","1999","Baden-Württemberg","higher vocational","2","","","","3"
"Neither","1999","Baden-Württemberg","higher education","2","","","","3"
"Neither","1999","Brandenburg","inadequately","","","","","3"
"Neither","1999","Brandenburg","general elemantary","","","","","3"
"Neither","1999","Brandenburg","middle vocational","2","","","","3"
"Neither","1999","Brandenburg","vocational + Abi","","","","","3"
"Neither","1999","Brandenburg","higher vocational","","","","","3"
"Neither","1999","Saxony","higher vocational","","","","","3"
"Neither","1999","Saxony","higher education","2","","","","3"
"Neither","1999","Saxony-Anhalt","in school","","","","","3"
"Neither","1999","Saxony-Anhalt","inadequately","","","","","3"
"Neither","1999","Saxony-Anhalt","general elemantary","","","","","3"
"Neither","1999","Saxony-Anhalt","middle vocational","","","","","3"
"Neither","1999","Saxony-Anhalt","vocational + Abi","1","","","","3"
"Neither","1999","Bremen","general elemantary","","","","","3"
"Neither","1999","Bremen","middle vocational","","","","","3"
"Neither","1999","Bremen","vocational + Abi","","","","","3"
"Neither","1999","Bremen","higher vocational","","","","","3"
"Neither","1999","Bremen","higher education","1","","","","3"
"Neither","1999","North Rhine-Westphalia","in school","","","","","3"
"Neither","1999","North Rhine-Westphalia","inadequately","","","","","3"
"Neither","1999","North Rhine-Westphalia","general elemantary","2","","","","3"
"Neither","1999","North Rhine-Westphalia","middle vocational","14","","","","3"
"Neither","1999","North Rhine-Westphalia","vocational + Abi","1","","","","3"
"Neither","1999","North Rhine-Westphalia","higher vocational","1","","","","3"
"Neither","1999","North Rhine-Westphalia","higher education","2","","","","3"
"Neither","1999","Hesse","in school","","","","","3"
"Neither","1999","Hesse","inadequately","","","","","3"
"Neither","1999","Hesse","general elemantary","","","","","3"
"Neither","1999","Bavaria","in school","","","","","3"
"Neither","1999","Bavaria","inadequately","1","","","","3"
"Neither","1999","Bavaria","general elemantary","2","","","","3"
"Neither","1999","Bavaria","middle vocational","8","","","","3"
"Neither","1999","Bavaria","vocational + Abi","1","","","","3"
"Neither","1999","Bavaria","higher vocational","3","","","","3"
"Neither","1999","Bavaria","higher education","2","","","","3"
"Neither","1999","Berlin","in school","","","","","3"
"Neither","1999","Berlin","inadequately","","","","","3"
"Neither","1999","Berlin","general elemantary","1","","","","3"
"Neither","1999","Berlin","middle vocational","","","","","3"
"Neither","1999","Berlin","vocational + Abi","","","","","3"
"Neither","1999","Berlin","higher vocational","","","","","3"
"Neither","1999","Berlin","higher education","1","","","","3"
"Neither","1999","Brandenburg","in school","","","","","3"
"Neither","1999","Brandenburg","higher education","1","","","","3"
"Neither","1999","Mecklenburg-Western Pomerania","in school","","","","","3"
"Neither","1999","Mecklenburg-Western Pomerania","inadequately","","","","","3"
"Neither","1999","Mecklenburg-Western Pomerania","general elemantary","","","","","3"
"Neither","1999","Mecklenburg-Western Pomerania","middle vocational","3","","","","3"
"Neither","1999","Mecklenburg-Western Pomerania","vocational + Abi","","","","","3"
"Neither","1999","Mecklenburg-Western Pomerania","higher vocational","","","","","3"
"Neither","1999","Mecklenburg-Western Pomerania","higher education","","","","","3"
"Neither","1999","Saxony","in school","","","","","3"
"Neither","1999","Saxony","inadequately","","","","","3"
"Neither","1999","Saxony","general elemantary","","","","","3"
"Neither","1999","Saxony","middle vocational","7","","","","3"
"Neither","1999","Saxony","vocational + Abi","","","","","3"
"Neither","1999","Saxony-Anhalt","higher vocational","","","","","3"
"Neither","1999","Saxony-Anhalt","higher education","","","","","3"
"Neither","1999","Thuringia","in school","1","","","","3"
"Neither","1999","Thuringia","inadequately","","","","","3"
"Neither","1999","Thuringia","general elemantary","1","","","","3"
"Neither","1999","Thuringia","middle vocational","2","","","","3"
"Neither","1999","Thuringia","vocational + Abi","","","","","3"
"Neither","1999","Thuringia","higher vocational","","","","","3"
"Neither","1999","Thuringia","higher education","","","","","3"
"Neither","1999","Schleswig-Holstein","in school","","","","","3"
"Neither","1999","Schleswig-Holstein","inadequately","","","","","3"
"Neither","1999","Schleswig-Holstein","general elemantary","1","","","","3"
"Neither","1999","Schleswig-Holstein","middle vocational","6","","","","3"
"Neither","1999","Schleswig-Holstein","vocational + Abi","","","","","3"
"Neither","1999","Schleswig-Holstein","higher vocational","","","","","3"
"Neither","1999","Schleswig-Holstein","higher education","2","","","","3"
"Neither","1999","Hamburg","in school","","","","","3"
"Neither","1999","Hamburg","inadequately","","","","","3"
"Neither","1999","Hamburg","general elemantary","","","","","3"
"Neither","1999","Hamburg","middle vocational","1","","","","3"
"Neither","1999","Hamburg","vocational + Abi","","","","","3"
"Neither","1999","Hamburg","higher vocational","","","","","3"
"Neither","1999","Hamburg","higher education","","","","","3"
"Neither","1999","Lower Saxony","in school","","","","","3"
"Neither","1999","Lower Saxony","inadequately","","","","","3"
"Neither","1999","Lower Saxony","general elemantary","2","","","","3"
"Neither","1999","Lower Saxony","middle vocational","11","","","","3"
"Neither","1999","Lower Saxony","vocational + Abi","","","","","3"
"Private health insurance","1999","Baden-Württemberg","in school","6","","","","2"
"Private health insurance","1999","North Rhine-Westphalia","inadequately","1","","","","2"
"Private health insurance","1999","Baden-Württemberg","general elemantary","8","","","","2"
"Private health insurance","1999","Hesse","middle vocational","36","0.0925176347768966","0.0650666730430057","0.119968596510788","2"
"Private health insurance","1999","North Rhine-Westphalia","in school","21","","","","2"
"Private health insurance","1999","Hesse","vocational + Abi","5","","","","2"
"Private health insurance","1999","North Rhine-Westphalia","middle vocational","123","0.0884228068514647","0.0731646826956631","0.103680931007266","2"
"Private health insurance","1999","Lower Saxony","higher vocational","7","","","","2"
"Private health insurance","1999","Lower Saxony","higher education","48","0.409572490676788","0.324381868946488","0.494763112407088","2"
"Private health insurance","1999","Baden-Württemberg","inadequately","1","","","","2"
"Private health insurance","1999","Bremen","inadequately","","","","","2"
"Private health insurance","1999","Baden-Württemberg","middle vocational","56","0.0694856538335313","0.0516294772129712","0.0873418304540914","2"
"Private health insurance","1999","Hesse","higher vocational","11","","","","2"
"Private health insurance","1999","North Rhine-Westphalia","general elemantary","17","","","","2"
"Private health insurance","1999","Rhineland-Palatinate,Saarland","middle vocational","41","0.130611036733104","0.0969946184968872","0.164227454969321","2"
"Private health insurance","1999","Rhineland-Palatinate,Saarland","vocational + Abi","1","","","","2"
"Private health insurance","1999","Rhineland-Palatinate,Saarland","higher vocational","5","","","","2"
"Private health insurance","1999","Rhineland-Palatinate,Saarland","higher education","25","","","","2"
"Private health insurance","1999","Rhineland-Palatinate,Saarland","general elemantary","9","","","","2"
"Private health insurance","1999","Bremen","in school","","","","","2"
"Private health insurance","1999","Bremen","general elemantary","1","","","","2"
"Private health insurance","1999","Bremen","vocational + Abi","","","","","2"
"Private health insurance","1999","Bremen","higher vocational","","","","","2"
"Private health insurance","1999","Bremen","higher education","","","","","2"
"Private health insurance","1999","Schleswig-Holstein","in school","3","","","","2"
"Private health insurance","1999","Schleswig-Holstein","inadequately","","","","","2"
"Private health insurance","1999","Bremen","middle vocational","2","","","","2"
"Private health insurance","1999","North Rhine-Westphalia","higher education","90","0.329125786143744","0.276985633479263","0.381265938808225","2"
"Private health insurance","1999","Hesse","in school","2","","","","2"
"Private health insurance","1999","Hesse","inadequately","","","","","2"
"Private health insurance","1999","Hesse","general elemantary","6","","","","2"
"Private health insurance","1999","Hesse","higher education","32","0.291924539164732","0.210916059916223","0.372933018413241","2"
