"ple0097","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Neither","1999","Not Working","higher vocational","","","","","3"
"Neither","1999","Not Working","higher education","1","","","","3"
"Neither","1999","Not Working","in school","1","","","","3"
"Neither","1999","Not Working","inadequately","1","","","","3"
"Neither","1999","Not Working","general elemantary","7","","","","3"
"Neither","1999","Not Working","middle vocational","14","","","","3"
"Neither","1999","Not Working","vocational + Abi","1","","","","3"
"Neither","1999","Full Time","in school","","","","","3"
"Neither","1999","Full Time","inadequately","","","","","3"
"Neither","1999","Full Time","general elemantary","4","","","","3"
"Neither","1999","Full Time","middle vocational","41","0.0151691581455506","0.0108178816295406","0.0195204346615607","3"
"Neither","1999","Full Time","vocational + Abi","3","","","","3"
"Neither","1999","Full Time","higher vocational","9","","","","3"
"Neither","1999","Full Time","higher education","10","","","","3"
"Neither","1999","Part Time","in school","","","","","3"
"Neither","1999","Part Time","inadequately","","","","","3"
"Neither","1999","Part Time","general elemantary","2","","","","3"
"Neither","1999","Part Time","middle vocational","10","","","","3"
"Neither","1999","Part Time","vocational + Abi","1","","","","3"
"Neither","1999","Part Time","higher vocational","1","","","","3"
"Neither","1999","Part Time","higher education","3","","","","3"
"Private health insurance","1999","Full Time","general elemantary","28","","","","2"
"Private health insurance","1999","Not Working","in school","36","0.181409352827971","0.135946490412552","0.22687221524339","2"
"Private health insurance","1999","Not Working","inadequately","","","","","2"
"Private health insurance","1999","Not Working","general elemantary","38","0.0326110727579824","0.0228578874499487","0.0423642580660162","2"
"Private health insurance","1999","Not Working","higher vocational","15","","","","2"
"Private health insurance","1999","Not Working","higher education","57","0.181920499828323","0.145286708542575","0.21855429111407","2"
"Private health insurance","1999","Full Time","in school","","","","","2"
"Private health insurance","1999","Full Time","inadequately","2","","","","2"
"Private health insurance","1999","Full Time","higher vocational","69","0.196530306966088","0.160719258464669","0.232341355467507","2"
"Private health insurance","1999","Full Time","higher education","303","0.310189619555903","0.283695582690831","0.336683656420975","2"
"Private health insurance","1999","Full Time","middle vocational","258","0.0976755661171381","0.0871066743557955","0.108244457878481","2"
"Private health insurance","1999","Full Time","vocational + Abi","27","","","","2"
"Private health insurance","1999","Not Working","middle vocational","149","0.0716938350994871","0.0612634418289446","0.0821242283700297","2"
"Private health insurance","1999","Not Working","vocational + Abi","8","","","","2"
"Private health insurance","1999","Part Time","in school","13","","","","2"
"Private health insurance","1999","Part Time","inadequately","1","","","","2"
"Private health insurance","1999","Part Time","general elemantary","10","","","","2"
"Private health insurance","1999","Part Time","middle vocational","78","0.0608017431184275","0.0490373341984075","0.0725661520384475","2"
"Private health insurance","1999","Part Time","vocational + Abi","8","","","","2"
"Private health insurance","1999","Part Time","higher vocational","25","","","","2"
"Private health insurance","1999","Part Time","higher education","68","0.220373490291487","0.17836517508429","0.262381805498683","2"
"Public health insurance","1999","Full Time","in school","2","","","","1"
"Public health insurance","1999","Full Time","inadequately","114","0.996601260004052","0.986010215730892","1.00719230427721","1"
"Public health insurance","1999","Full Time","general elemantary","652","0.937164894050527","0.918979227576285","0.95535056052477","1"
"Public health insurance","1999","Full Time","middle vocational","2732","0.887155275737311","0.875891199726733","0.89841935174789","1"
"Public health insurance","1999","Full Time","vocational + Abi","244","0.880166142769843","0.84171184293503","0.918620442604656","1"
"Public health insurance","1999","Full Time","higher vocational","395","0.787105918292769","0.750215302570463","0.823996534015075","1"
